test all
test0_dr xxmd xxmf pepper_1,test0_dr xxmd xxmf pepper_2,test0_dr xxmd xxmf pepper_5,test0_dr xxmd xxmf pepper_4,test0_dr xxmd xxmf pepper_3,test0_coke_1,test0_coke_2,test0_coke_5,test0_coke_4,test0_coke_3,test0_schweppes_1,test0_schweppes_2,test0_schweppes_5,test0_schweppes_4,test0_schweppes_3,test1_dr xxmd xxmf pepper_1,test1_dr xxmd xxmf pepper_2,test1_dr xxmd xxmf pepper_5,test1_dr xxmd xxmf pepper_4,test1_dr xxmd xxmf pepper_3,test1_coke_1,test1_coke_2,test1_coke_5,test1_coke_4,test1_coke_3,test1_schweppes_1,test1_schweppes_2,test1_schweppes_5,test1_schweppes_4,test1_schweppes_3,test2_dr xxmd xxmf pepper_1,test2_dr xxmd xxmf pepper_2,test2_dr xxmd xxmf pepper_5,test2_dr xxmd xxmf pepper_4,test2_dr xxmd xxmf pepper_3,test2_coke_1,test2_coke_2,test2_coke_5,test2_coke_4,test2_coke_3,test2_schweppes_1,test2_schweppes_2,test2_schweppes_5,test2_schweppes_4,test2_schweppes_3
dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,coke,schweppes,schweppes,schweppes,schweppes,schweppes,schweppes,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,dr xxmd xxmf pepper,dr xxmd xxmf pepper,schweppes,dr xxmd xxmf pepper,schweppes,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,coke,schweppes,schweppes,schweppes,schweppes,schweppes
0.94902825,0.9632709,0.7963679,0.7472242,0.8388491,0.75130403,0.55663943,0.5290409,0.7863129,0.84804267,0.90982497,0.49537852,0.9023121,0.8590774,0.73358095,0.5282867,0.6973284,0.85813075,0.7367569,0.5919682,0.88492745,0.6073506,0.5501819,0.38809186,0.60794973,0.64560705,0.617847,0.6603474,0.499923,0.86472523,0.9057982,0.9712002,0.7127577,0.79991466,0.79694074,0.5686949,0.6911572,0.7086613,0.7207347,0.55803424,0.4692096,0.765351,0.8570925,0.9085772,0.6671156
test0
test0_dr xxmd xxmf pepper_1,test0_dr xxmd xxmf pepper_2,test0_dr xxmd xxmf pepper_5,test0_dr xxmd xxmf pepper_4,test0_dr xxmd xxmf pepper_3,test0_coke_1,test0_coke_2,test0_coke_5,test0_coke_4,test0_coke_3,test0_schweppes_1,test0_schweppes_2,test0_schweppes_5,test0_schweppes_4,test0_schweppes_3
dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,coke,schweppes,schweppes,schweppes,schweppes,schweppes
0.94902825,0.9632709,0.7963679,0.7472242,0.8388491,0.75130403,0.55663943,0.5290409,0.7863129,0.84804267,0.90982497,0.49537852,0.9023121,0.8590774,0.73358095
test
test1_dr xxmd xxmf pepper_1,test1_dr xxmd xxmf pepper_2,test1_dr xxmd xxmf pepper_5,test1_dr xxmd xxmf pepper_4,test1_dr xxmd xxmf pepper_3,test1_coke_1,test1_coke_2,test1_coke_5,test1_coke_4,test1_coke_3,test1_schweppes_1,test1_schweppes_2,test1_schweppes_5,test1_schweppes_4,test1_schweppes_3
schweppes,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,dr xxmd xxmf pepper,dr xxmd xxmf pepper,schweppes,dr xxmd xxmf pepper,schweppes
0.5282867,0.6973284,0.85813075,0.7367569,0.5919682,0.88492745,0.6073506,0.5501819,0.38809186,0.60794973,0.64560705,0.617847,0.6603474,0.499923,0.86472523
