test all
test0_dr xxmd xxmf pepper_1,test0_dr xxmd xxmf pepper_2,test0_dr xxmd xxmf pepper_5,test0_dr xxmd xxmf pepper_4,test0_dr xxmd xxmf pepper_3,test0_coke_1,test0_coke_2,test0_coke_5,test0_coke_4,test0_coke_3,test0_schweppes_1,test0_schweppes_2,test0_schweppes_5,test0_schweppes_4,test0_schweppes_3,test1_dr xxmd xxmf pepper_1,test1_dr xxmd xxmf pepper_2,test1_dr xxmd xxmf pepper_5,test1_dr xxmd xxmf pepper_4,test1_dr xxmd xxmf pepper_3,test1_coke_1,test1_coke_2,test1_coke_5,test1_coke_4,test1_coke_3,test1_schweppes_1,test1_schweppes_2,test1_schweppes_5,test1_schweppes_4,test1_schweppes_3,test2_dr xxmd xxmf pepper_1,test2_dr xxmd xxmf pepper_2,test2_dr xxmd xxmf pepper_5,test2_dr xxmd xxmf pepper_4,test2_dr xxmd xxmf pepper_3,test2_coke_1,test2_coke_2,test2_coke_5,test2_coke_4,test2_coke_3,test2_schweppes_1,test2_schweppes_2,test2_schweppes_5,test2_schweppes_4,test2_schweppes_3
dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,coke,schweppes,dr xxmd xxmf pepper,schweppes,schweppes,schweppes,schweppes,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,dr xxmd xxmf pepper,dr xxmd xxmf pepper,schweppes,dr xxmd xxmf pepper,schweppes,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,coke,schweppes,schweppes,schweppes,schweppes,schweppes
0.9564121,0.96902084,0.8202203,0.7742141,0.8395611,0.77098036,0.6158098,0.6182851,0.8409117,0.88669187,0.89194053,0.52099687,0.8849856,0.83830845,0.6943192,0.50272405,0.731414,0.8782677,0.7521704,0.653399,0.8971254,0.65462613,0.6155012,0.4562586,0.64570415,0.6608745,0.6462166,0.64404774,0.5217449,0.8568868,0.91014,0.974238,0.7442757,0.7945576,0.8004861,0.61431444,0.73297745,0.74839824,0.7557826,0.6239274,0.4358307,0.74366426,0.83757186,0.888774,0.64899516
test0
test0_dr xxmd xxmf pepper_1,test0_dr xxmd xxmf pepper_2,test0_dr xxmd xxmf pepper_5,test0_dr xxmd xxmf pepper_4,test0_dr xxmd xxmf pepper_3,test0_coke_1,test0_coke_2,test0_coke_5,test0_coke_4,test0_coke_3,test0_schweppes_1,test0_schweppes_2,test0_schweppes_5,test0_schweppes_4,test0_schweppes_3
dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,coke,schweppes,dr xxmd xxmf pepper,schweppes,schweppes,schweppes
0.9564121,0.96902084,0.8202203,0.7742141,0.8395611,0.77098036,0.6158098,0.6182851,0.8409117,0.88669187,0.89194053,0.52099687,0.8849856,0.83830845,0.6943192
test
test1_dr xxmd xxmf pepper_1,test1_dr xxmd xxmf pepper_2,test1_dr xxmd xxmf pepper_5,test1_dr xxmd xxmf pepper_4,test1_dr xxmd xxmf pepper_3,test1_coke_1,test1_coke_2,test1_coke_5,test1_coke_4,test1_coke_3,test1_schweppes_1,test1_schweppes_2,test1_schweppes_5,test1_schweppes_4,test1_schweppes_3
schweppes,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,dr xxmd xxmf pepper,coke,coke,coke,coke,dr xxmd xxmf pepper,dr xxmd xxmf pepper,schweppes,dr xxmd xxmf pepper,schweppes
0.50272405,0.731414,0.8782677,0.7521704,0.653399,0.8971254,0.65462613,0.6155012,0.4562586,0.64570415,0.6608745,0.6462166,0.64404774,0.5217449,0.8568868
