test all
test0_cherrios_1,test0_cherrios_2,test0_cherrios_5,test0_cherrios_4,test0_cherrios_3,test0_cornpops_1,test0_cornpops_2,test0_cornpops_5,test0_cornpops_4,test0_cornpops_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3,test1_cherrios_1,test1_cherrios_2,test1_cherrios_5,test1_cherrios_4,test1_cherrios_3,test1_cornpops_1,test1_cornpops_2,test1_cornpops_5,test1_cornpops_4,test1_cornpops_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3,test2_cherrios_1,test2_cherrios_2,test2_cherrios_5,test2_cherrios_4,test2_cherrios_3,test2_cornpops_1,test2_cornpops_2,test2_cornpops_5,test2_cornpops_4,test2_cornpops_3,test2_apple xxmf jacks_1,test2_apple xxmf jacks_2,test2_apple xxmf jacks_5,test2_apple xxmf jacks_4,test2_apple xxmf jacks_3
cherrios,cherrios,cherrios,cherrios,cherrios,cornpops,cornpops,cornpops,cornpops,cornpops,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,cherrios,cherrios,cherrios,cherrios,cherrios,cornpops,cornpops,cornpops,cornpops,cornpops,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,cherrios,cherrios,cherrios,cherrios,cherrios,cornpops,cornpops,cornpops,cornpops,cornpops,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks
0.9086549,0.9743284,0.9341837,0.9262778,0.900513,0.861881,0.9363182,0.8106511,0.9636655,0.8195163,0.995095,0.99335206,0.9891732,0.9992193,0.9984805,0.95851547,0.80844843,0.81393635,0.82416034,0.79238945,0.9083387,0.74554795,0.8399434,0.85082746,0.8846247,0.9951741,0.9837901,0.96085215,0.9831913,0.9733142,0.9796651,0.95650464,0.93842614,0.96459156,0.9628479,0.8937322,0.80075914,0.9585938,0.8384316,0.9425615,0.9981641,0.95583755,0.9963899,0.9907307,0.98562664
test0
test0_cherrios_1,test0_cherrios_2,test0_cherrios_5,test0_cherrios_4,test0_cherrios_3,test0_cornpops_1,test0_cornpops_2,test0_cornpops_5,test0_cornpops_4,test0_cornpops_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3
cherrios,cherrios,cherrios,cherrios,cherrios,cornpops,cornpops,cornpops,cornpops,cornpops,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks
0.9086549,0.9743284,0.9341837,0.9262778,0.900513,0.861881,0.9363182,0.8106511,0.9636655,0.8195163,0.995095,0.99335206,0.9891732,0.9992193,0.9984805
test
test1_cherrios_1,test1_cherrios_2,test1_cherrios_5,test1_cherrios_4,test1_cherrios_3,test1_cornpops_1,test1_cornpops_2,test1_cornpops_5,test1_cornpops_4,test1_cornpops_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3
cherrios,cherrios,cherrios,cherrios,cherrios,cornpops,cornpops,cornpops,cornpops,cornpops,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks
0.95851547,0.80844843,0.81393635,0.82416034,0.79238945,0.9083387,0.74554795,0.8399434,0.85082746,0.8846247,0.9951741,0.9837901,0.96085215,0.9831913,0.9733142
