test all
test0_italian xxmf seasoning_1,test0_italian xxmf seasoning_2,test0_italian xxmf seasoning_5,test0_italian xxmf seasoning_4,test0_italian xxmf seasoning_3,test0_ground xxmf cinnamon_1,test0_ground xxmf cinnamon_2,test0_ground xxmf cinnamon_5,test0_ground xxmf cinnamon_4,test0_ground xxmf cinnamon_3,test0_basil xxmf leaves_1,test0_basil xxmf leaves_2,test0_basil xxmf leaves_5,test0_basil xxmf leaves_4,test0_basil xxmf leaves_3,test1_italian xxmf seasoning_1,test1_italian xxmf seasoning_2,test1_italian xxmf seasoning_5,test1_italian xxmf seasoning_4,test1_italian xxmf seasoning_3,test1_ground xxmf cinnamon_1,test1_ground xxmf cinnamon_2,test1_ground xxmf cinnamon_5,test1_ground xxmf cinnamon_4,test1_ground xxmf cinnamon_3,test1_basil xxmf leaves_1,test1_basil xxmf leaves_2,test1_basil xxmf leaves_5,test1_basil xxmf leaves_4,test1_basil xxmf leaves_3
italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves
0.70847315,0.53917605,0.92419964,0.6849096,0.6761401,0.7423342,0.91485596,0.85509634,0.86750287,0.8853396,0.7180911,0.8969509,0.943384,0.9237783,0.83766025,0.9058017,0.9483353,0.84404945,0.6942143,0.92921376,0.8763604,0.80797786,0.46434566,0.81112015,0.9120451,0.9433429,0.89867836,0.92304134,0.75555253,0.5027466
test0
test0_italian xxmf seasoning_1,test0_italian xxmf seasoning_2,test0_italian xxmf seasoning_5,test0_italian xxmf seasoning_4,test0_italian xxmf seasoning_3,test0_ground xxmf cinnamon_1,test0_ground xxmf cinnamon_2,test0_ground xxmf cinnamon_5,test0_ground xxmf cinnamon_4,test0_ground xxmf cinnamon_3,test0_basil xxmf leaves_1,test0_basil xxmf leaves_2,test0_basil xxmf leaves_5,test0_basil xxmf leaves_4,test0_basil xxmf leaves_3
italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves
0.70847315,0.53917605,0.92419964,0.6849096,0.6761401,0.7423342,0.91485596,0.85509634,0.86750287,0.8853396,0.7180911,0.8969509,0.943384,0.9237783,0.83766025
test
test1_italian xxmf seasoning_1,test1_italian xxmf seasoning_2,test1_italian xxmf seasoning_5,test1_italian xxmf seasoning_4,test1_italian xxmf seasoning_3,test1_ground xxmf cinnamon_1,test1_ground xxmf cinnamon_2,test1_ground xxmf cinnamon_5,test1_ground xxmf cinnamon_4,test1_ground xxmf cinnamon_3,test1_basil xxmf leaves_1,test1_basil xxmf leaves_2,test1_basil xxmf leaves_5,test1_basil xxmf leaves_4,test1_basil xxmf leaves_3
italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,italian xxmf seasoning,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,ground xxmf cinnamon,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves,basil xxmf leaves
0.9058017,0.9483353,0.84404945,0.6942143,0.92921376,0.8763604,0.80797786,0.46434566,0.81112015,0.9120451,0.9433429,0.89867836,0.92304134,0.75555253,0.5027466
