test all
test0_cilantro xxmf leaves xxmf _1,test0_cilantro xxmf leaves xxmf _2,test0_cilantro xxmf leaves xxmf _5,test0_cilantro xxmf leaves xxmf _4,test0_cilantro xxmf leaves xxmf _3,test0_caraway xxmf seeds xxmf _1,test0_caraway xxmf seeds xxmf _2,test0_caraway xxmf seeds xxmf _5,test0_caraway xxmf seeds xxmf _4,test0_caraway xxmf seeds xxmf _3,test0_ground xxmf ginger_1,test0_ground xxmf ginger_2,test0_ground xxmf ginger_5,test0_ground xxmf ginger_4,test0_ground xxmf ginger_3,test1_cilantro xxmf leaves xxmf _1,test1_cilantro xxmf leaves xxmf _2,test1_cilantro xxmf leaves xxmf _5,test1_cilantro xxmf leaves xxmf _4,test1_cilantro xxmf leaves xxmf _3,test1_caraway xxmf seeds xxmf _1,test1_caraway xxmf seeds xxmf _2,test1_caraway xxmf seeds xxmf _5,test1_caraway xxmf seeds xxmf _4,test1_caraway xxmf seeds xxmf _3,test1_ground xxmf ginger_1,test1_ground xxmf ginger_2,test1_ground xxmf ginger_5,test1_ground xxmf ginger_4,test1_ground xxmf ginger_3,test2_cilantro xxmf leaves xxmf _1,test2_cilantro xxmf leaves xxmf _2,test2_cilantro xxmf leaves xxmf _5,test2_cilantro xxmf leaves xxmf _4,test2_cilantro xxmf leaves xxmf _3,test2_caraway xxmf seeds xxmf _1,test2_caraway xxmf seeds xxmf _2,test2_caraway xxmf seeds xxmf _5,test2_caraway xxmf seeds xxmf _4,test2_caraway xxmf seeds xxmf _3,test2_ground xxmf ginger_1,test2_ground xxmf ginger_2,test2_ground xxmf ginger_5,test2_ground xxmf ginger_4,test2_ground xxmf ginger_3
cilantro xxmf leaves xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,cilantro xxmf leaves xxmf,caraway xxmf seeds xxmf,cilantro xxmf leaves xxmf,cilantro xxmf leaves xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,ground xxmf ginger,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf
0.5765517,0.5202009,0.5550871,0.7675133,0.5623419,0.9876297,0.9007079,0.91340417,0.9380239,0.8935343,0.7157613,0.74077547,0.8235901,0.84977454,0.748078,0.68031776,0.7196161,0.7294775,0.52937376,0.6954253,0.9669854,0.88347405,0.85758865,0.89513654,0.81908196,0.5569646,0.641013,0.65997547,0.71942717,0.5906901,0.8273879,0.86535245,0.5162405,0.5871029,0.58048344,0.9226808,0.89204025,0.7404349,0.8851486,0.7561475,0.5829814,0.70572245,0.56639564,0.5683319,0.5238727
test0
test0_cilantro xxmf leaves xxmf _1,test0_cilantro xxmf leaves xxmf _2,test0_cilantro xxmf leaves xxmf _5,test0_cilantro xxmf leaves xxmf _4,test0_cilantro xxmf leaves xxmf _3,test0_caraway xxmf seeds xxmf _1,test0_caraway xxmf seeds xxmf _2,test0_caraway xxmf seeds xxmf _5,test0_caraway xxmf seeds xxmf _4,test0_caraway xxmf seeds xxmf _3,test0_ground xxmf ginger_1,test0_ground xxmf ginger_2,test0_ground xxmf ginger_5,test0_ground xxmf ginger_4,test0_ground xxmf ginger_3
cilantro xxmf leaves xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf
0.5765517,0.5202009,0.5550871,0.7675133,0.5623419,0.9876297,0.9007079,0.91340417,0.9380239,0.8935343,0.7157613,0.74077547,0.8235901,0.84977454,0.748078
test
test1_cilantro xxmf leaves xxmf _1,test1_cilantro xxmf leaves xxmf _2,test1_cilantro xxmf leaves xxmf _5,test1_cilantro xxmf leaves xxmf _4,test1_cilantro xxmf leaves xxmf _3,test1_caraway xxmf seeds xxmf _1,test1_caraway xxmf seeds xxmf _2,test1_caraway xxmf seeds xxmf _5,test1_caraway xxmf seeds xxmf _4,test1_caraway xxmf seeds xxmf _3,test1_ground xxmf ginger_1,test1_ground xxmf ginger_2,test1_ground xxmf ginger_5,test1_ground xxmf ginger_4,test1_ground xxmf ginger_3
caraway xxmf seeds xxmf,cilantro xxmf leaves xxmf,caraway xxmf seeds xxmf,cilantro xxmf leaves xxmf,cilantro xxmf leaves xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,ground xxmf ginger,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf,caraway xxmf seeds xxmf
0.68031776,0.7196161,0.7294775,0.52937376,0.6954253,0.9669854,0.88347405,0.85758865,0.89513654,0.81908196,0.5569646,0.641013,0.65997547,0.71942717,0.5906901
