test all
test0_tortilla xxmf chip_1,test0_tortilla xxmf chip_2,test0_tortilla xxmf chip_5,test0_tortilla xxmf chip_4,test0_tortilla xxmf chip_3,test0_pretzels_1,test0_pretzels_2,test0_pretzels_5,test0_pretzels_4,test0_pretzels_3,test0_popcorn_1,test0_popcorn_2,test0_popcorn_5,test0_popcorn_4,test0_popcorn_3,test1_tortilla xxmf chip_1,test1_tortilla xxmf chip_2,test1_tortilla xxmf chip_5,test1_tortilla xxmf chip_4,test1_tortilla xxmf chip_3,test1_pretzels_1,test1_pretzels_2,test1_pretzels_5,test1_pretzels_4,test1_pretzels_3,test1_popcorn_1,test1_popcorn_2,test1_popcorn_5,test1_popcorn_4,test1_popcorn_3,test2_tortilla xxmf chip_1,test2_tortilla xxmf chip_2,test2_tortilla xxmf chip_5,test2_tortilla xxmf chip_4,test2_tortilla xxmf chip_3,test2_pretzels_1,test2_pretzels_2,test2_pretzels_5,test2_pretzels_4,test2_pretzels_3,test2_popcorn_1,test2_popcorn_2,test2_popcorn_5,test2_popcorn_4,test2_popcorn_3
tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,pretzels,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,pretzels,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels
0.6524219,0.64934695,0.49054077,0.5094015,0.45899916,0.88894737,0.9421242,0.7847185,0.8425786,0.8161763,0.45161167,0.6103669,0.9005216,0.68441725,0.5602413,0.850506,0.53851664,0.8967396,0.88933766,0.6190579,0.9776243,0.95563084,0.95193356,0.95795816,0.8209589,0.6472308,0.49499732,0.5594442,0.7668311,0.624467,0.7913132,0.8902794,0.6399464,0.59306026,0.7006236,0.97008574,0.9620662,0.9826308,0.98620075,0.98720133,0.59384286,0.8024115,0.46861172,0.88765645,0.86587906
test0
test0_tortilla xxmf chip_1,test0_tortilla xxmf chip_2,test0_tortilla xxmf chip_5,test0_tortilla xxmf chip_4,test0_tortilla xxmf chip_3,test0_pretzels_1,test0_pretzels_2,test0_pretzels_5,test0_pretzels_4,test0_pretzels_3,test0_popcorn_1,test0_popcorn_2,test0_popcorn_5,test0_popcorn_4,test0_popcorn_3
tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,pretzels,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip
0.6524219,0.64934695,0.49054077,0.5094015,0.45899916,0.88894737,0.9421242,0.7847185,0.8425786,0.8161763,0.45161167,0.6103669,0.9005216,0.68441725,0.5602413
test
test1_tortilla xxmf chip_1,test1_tortilla xxmf chip_2,test1_tortilla xxmf chip_5,test1_tortilla xxmf chip_4,test1_tortilla xxmf chip_3,test1_pretzels_1,test1_pretzels_2,test1_pretzels_5,test1_pretzels_4,test1_pretzels_3,test1_popcorn_1,test1_popcorn_2,test1_popcorn_5,test1_popcorn_4,test1_popcorn_3
tortilla xxmf chip,pretzels,tortilla xxmf chip,tortilla xxmf chip,tortilla xxmf chip,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels,pretzels
0.850506,0.53851664,0.8967396,0.88933766,0.6190579,0.9776243,0.95563084,0.95193356,0.95795816,0.8209589,0.6472308,0.49499732,0.5594442,0.7668311,0.624467
