test all
test0_ground xxmf mustard_1,test0_ground xxmf mustard_2,test0_ground xxmf mustard_5,test0_ground xxmf mustard_4,test0_ground xxmf mustard_3,test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3,test1_ground xxmf mustard_1,test1_ground xxmf mustard_2,test1_ground xxmf mustard_5,test1_ground xxmf mustard_4,test1_ground xxmf mustard_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3,test2_ground xxmf mustard_1,test2_ground xxmf mustard_2,test2_ground xxmf mustard_5,test2_ground xxmf mustard_4,test2_ground xxmf mustard_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_garlic xxmf powder_1,test2_garlic xxmf powder_2,test2_garlic xxmf powder_5,test2_garlic xxmf powder_4,test2_garlic xxmf powder_3
ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.52554387,0.8467363,0.9147253,0.8600644,0.8649346,0.53899604,0.56325805,0.6793821,0.9181107,0.9192833,0.9549193,0.92602503,0.798771,0.9649365,0.974269,0.49115667,0.85804963,0.88146335,0.4967647,0.536539,0.7443696,0.8964933,0.64665985,0.8869785,0.6718729,0.8864361,0.8541392,0.93414176,0.9664883,0.6084116,0.6589663,0.7058694,0.71581584,0.66405725,0.5136619,0.5540727,0.7456806,0.58333987,0.7888002,0.64315397,0.8603561,0.94576496,0.9169429,0.9442259,0.9266058
test0
test0_ground xxmf mustard_1,test0_ground xxmf mustard_2,test0_ground xxmf mustard_5,test0_ground xxmf mustard_4,test0_ground xxmf mustard_3,test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_garlic xxmf powder_1,test0_garlic xxmf powder_2,test0_garlic xxmf powder_5,test0_garlic xxmf powder_4,test0_garlic xxmf powder_3
ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.52554387,0.8467363,0.9147253,0.8600644,0.8649346,0.53899604,0.56325805,0.6793821,0.9181107,0.9192833,0.9549193,0.92602503,0.798771,0.9649365,0.974269
test
test1_ground xxmf mustard_1,test1_ground xxmf mustard_2,test1_ground xxmf mustard_5,test1_ground xxmf mustard_4,test1_ground xxmf mustard_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_garlic xxmf powder_1,test1_garlic xxmf powder_2,test1_garlic xxmf powder_5,test1_garlic xxmf powder_4,test1_garlic xxmf powder_3
ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,ground xxmf mustard,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder,garlic xxmf powder
0.49115667,0.85804963,0.88146335,0.4967647,0.536539,0.7443696,0.8964933,0.64665985,0.8869785,0.6718729,0.8864361,0.8541392,0.93414176,0.9664883,0.6084116
