test all
test0_monster xxmf zero_1,test0_monster xxmf zero_2,test0_monster xxmf zero_5,test0_monster xxmf zero_4,test0_monster xxmf zero_3,test0_monster_1,test0_monster_2,test0_monster_5,test0_monster_4,test0_monster_3,test0_red xxmf bull_1,test0_red xxmf bull_2,test0_red xxmf bull_5,test0_red xxmf bull_4,test0_red xxmf bull_3
monster xxmf zero,monster xxmf zero,monster xxmf zero,monster xxmf zero,monster xxmf zero,monster,monster,monster,monster,monster,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull
0.9750103,0.96614087,0.99248576,0.9749255,0.99682933,0.7053679,0.9356738,0.5683374,0.67597777,0.6931711,0.9508897,0.99644166,0.9903537,0.9922241,0.9937577
test0
test0_monster xxmf zero_1,test0_monster xxmf zero_2,test0_monster xxmf zero_5,test0_monster xxmf zero_4,test0_monster xxmf zero_3,test0_monster_1,test0_monster_2,test0_monster_5,test0_monster_4,test0_monster_3,test0_red xxmf bull_1,test0_red xxmf bull_2,test0_red xxmf bull_5,test0_red xxmf bull_4,test0_red xxmf bull_3
monster xxmf zero,monster xxmf zero,monster xxmf zero,monster xxmf zero,monster xxmf zero,monster,monster,monster,monster,monster,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull
0.9750103,0.96614087,0.99248576,0.9749255,0.99682933,0.7053679,0.9356738,0.5683374,0.67597777,0.6931711,0.9508897,0.99644166,0.9903537,0.9922241,0.9937577
test



