test all
test0_pet xxmf 3_1,test0_pet xxmf 3_2,test0_pet xxmf 3_5,test0_pet xxmf 3_4,test0_pet xxmf 3_3,test0_pet xxmf 2_1,test0_pet xxmf 2_2,test0_pet xxmf 2_5,test0_pet xxmf 2_4,test0_pet xxmf 2_3,test0_pet xxmf 1_1,test0_pet xxmf 1_2,test0_pet xxmf 1_5,test0_pet xxmf 1_4,test0_pet xxmf 1_3,test1_pet xxmf 3_1,test1_pet xxmf 3_2,test1_pet xxmf 3_5,test1_pet xxmf 3_4,test1_pet xxmf 3_3,test1_pet xxmf 2_1,test1_pet xxmf 2_2,test1_pet xxmf 2_5,test1_pet xxmf 2_4,test1_pet xxmf 2_3,test1_pet xxmf 1_1,test1_pet xxmf 1_2,test1_pet xxmf 1_5,test1_pet xxmf 1_4,test1_pet xxmf 1_3,test2_pet xxmf 3_1,test2_pet xxmf 3_2,test2_pet xxmf 3_5,test2_pet xxmf 3_4,test2_pet xxmf 3_3,test2_pet xxmf 2_1,test2_pet xxmf 2_2,test2_pet xxmf 2_5,test2_pet xxmf 2_4,test2_pet xxmf 2_3,test2_pet xxmf 1_1,test2_pet xxmf 1_2,test2_pet xxmf 1_5,test2_pet xxmf 1_4,test2_pet xxmf 1_3
pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 1,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 3,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1
0.8911915,0.8289177,0.8154153,0.8522813,0.7076897,0.9854876,0.88113564,0.9751908,0.97685575,0.96438974,0.9747931,0.9882202,0.99171513,0.99484634,0.9916618,0.93740326,0.89119595,0.8808084,0.7117946,0.8229389,0.88175446,0.93337303,0.98018986,0.9808632,0.9705019,0.62382936,0.93996197,0.9541535,0.86863196,0.986521,0.740703,0.57623154,0.6521523,0.8731752,0.91966414,0.8643577,0.8956019,0.93988353,0.9590261,0.9474568,0.9410615,0.980142,0.8596936,0.8625169,0.94214576
test0
test0_pet xxmf 3_1,test0_pet xxmf 3_2,test0_pet xxmf 3_5,test0_pet xxmf 3_4,test0_pet xxmf 3_3,test0_pet xxmf 2_1,test0_pet xxmf 2_2,test0_pet xxmf 2_5,test0_pet xxmf 2_4,test0_pet xxmf 2_3,test0_pet xxmf 1_1,test0_pet xxmf 1_2,test0_pet xxmf 1_5,test0_pet xxmf 1_4,test0_pet xxmf 1_3
pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 1,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 3,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1
0.8911915,0.8289177,0.8154153,0.8522813,0.7076897,0.9854876,0.88113564,0.9751908,0.97685575,0.96438974,0.9747931,0.9882202,0.99171513,0.99484634,0.9916618
test
test1_pet xxmf 3_1,test1_pet xxmf 3_2,test1_pet xxmf 3_5,test1_pet xxmf 3_4,test1_pet xxmf 3_3,test1_pet xxmf 2_1,test1_pet xxmf 2_2,test1_pet xxmf 2_5,test1_pet xxmf 2_4,test1_pet xxmf 2_3,test1_pet xxmf 1_1,test1_pet xxmf 1_2,test1_pet xxmf 1_5,test1_pet xxmf 1_4,test1_pet xxmf 1_3
pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1
0.93740326,0.89119595,0.8808084,0.7117946,0.8229389,0.88175446,0.93337303,0.98018986,0.9808632,0.9705019,0.62382936,0.93996197,0.9541535,0.86863196,0.986521
