test all
test0_pet xxmf 3_1,test0_pet xxmf 3_2,test0_pet xxmf 3_5,test0_pet xxmf 3_4,test0_pet xxmf 3_3,test0_pet xxmf 2_1,test0_pet xxmf 2_2,test0_pet xxmf 2_5,test0_pet xxmf 2_4,test0_pet xxmf 2_3,test0_pet xxmf 1_1,test0_pet xxmf 1_2,test0_pet xxmf 1_5,test0_pet xxmf 1_4,test0_pet xxmf 1_3,test1_pet xxmf 3_1,test1_pet xxmf 3_2,test1_pet xxmf 3_5,test1_pet xxmf 3_4,test1_pet xxmf 3_3,test1_pet xxmf 2_1,test1_pet xxmf 2_2,test1_pet xxmf 2_5,test1_pet xxmf 2_4,test1_pet xxmf 2_3,test1_pet xxmf 1_1,test1_pet xxmf 1_2,test1_pet xxmf 1_5,test1_pet xxmf 1_4,test1_pet xxmf 1_3,test2_pet xxmf 3_1,test2_pet xxmf 3_2,test2_pet xxmf 3_5,test2_pet xxmf 3_4,test2_pet xxmf 3_3,test2_pet xxmf 2_1,test2_pet xxmf 2_2,test2_pet xxmf 2_5,test2_pet xxmf 2_4,test2_pet xxmf 2_3,test2_pet xxmf 1_1,test2_pet xxmf 1_2,test2_pet xxmf 1_5,test2_pet xxmf 1_4,test2_pet xxmf 1_3
pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 1,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 3,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1
0.87893754,0.82383794,0.799552,0.84019834,0.68596554,0.98459506,0.8768807,0.9727663,0.9772356,0.9656583,0.97369486,0.98775846,0.99184954,0.9947172,0.9915548,0.9329712,0.8873538,0.8674778,0.6851865,0.80646914,0.8776198,0.9361603,0.9800939,0.981766,0.9708388,0.6238121,0.937127,0.9538705,0.86723274,0.9865774,0.7132861,0.5360828,0.63784415,0.8767246,0.91942203,0.86219966,0.9001937,0.9434388,0.9609939,0.9495955,0.93943524,0.9800946,0.85957634,0.86325127,0.9422108
test0
test0_pet xxmf 3_1,test0_pet xxmf 3_2,test0_pet xxmf 3_5,test0_pet xxmf 3_4,test0_pet xxmf 3_3,test0_pet xxmf 2_1,test0_pet xxmf 2_2,test0_pet xxmf 2_5,test0_pet xxmf 2_4,test0_pet xxmf 2_3,test0_pet xxmf 1_1,test0_pet xxmf 1_2,test0_pet xxmf 1_5,test0_pet xxmf 1_4,test0_pet xxmf 1_3
pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 1,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 3,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1
0.87893754,0.82383794,0.799552,0.84019834,0.68596554,0.98459506,0.8768807,0.9727663,0.9772356,0.9656583,0.97369486,0.98775846,0.99184954,0.9947172,0.9915548
test
test1_pet xxmf 3_1,test1_pet xxmf 3_2,test1_pet xxmf 3_5,test1_pet xxmf 3_4,test1_pet xxmf 3_3,test1_pet xxmf 2_1,test1_pet xxmf 2_2,test1_pet xxmf 2_5,test1_pet xxmf 2_4,test1_pet xxmf 2_3,test1_pet xxmf 1_1,test1_pet xxmf 1_2,test1_pet xxmf 1_5,test1_pet xxmf 1_4,test1_pet xxmf 1_3
pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 3,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 2,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1,pet xxmf 1
0.9329712,0.8873538,0.8674778,0.6851865,0.80646914,0.8776198,0.9361603,0.9800939,0.981766,0.9708388,0.6238121,0.937127,0.9538705,0.86723274,0.9865774
