test all
test0_patato xxmf chips_1,test0_patato xxmf chips_2,test0_patato xxmf chips_5,test0_patato xxmf chips_4,test0_patato xxmf chips_3,test0_walkers_1,test0_walkers_2,test0_walkers_5,test0_walkers_4,test0_walkers_3,test0_matchmakers_1,test0_matchmakers_2,test0_matchmakers_5,test0_matchmakers_4,test0_matchmakers_3,test1_patato xxmf chips_1,test1_patato xxmf chips_2,test1_patato xxmf chips_5,test1_patato xxmf chips_4,test1_patato xxmf chips_3,test1_walkers_1,test1_walkers_2,test1_walkers_5,test1_walkers_4,test1_walkers_3,test1_matchmakers_1,test1_matchmakers_2,test1_matchmakers_5,test1_matchmakers_4,test1_matchmakers_3,test2_patato xxmf chips_1,test2_patato xxmf chips_2,test2_patato xxmf chips_5,test2_patato xxmf chips_4,test2_patato xxmf chips_3,test2_walkers_1,test2_walkers_2,test2_walkers_5,test2_walkers_4,test2_walkers_3,test2_matchmakers_1,test2_matchmakers_2,test2_matchmakers_5,test2_matchmakers_4,test2_matchmakers_3
patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,matchmakers,matchmakers,matchmakers,matchmakers,matchmakers,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,patato xxmf chips,matchmakers,matchmakers,matchmakers,matchmakers,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,matchmakers,matchmakers,matchmakers,matchmakers,matchmakers
0.9693136,0.98011506,0.97737175,0.96652985,0.95900255,0.9979615,0.99581236,0.98668265,0.98645276,0.9940791,0.9916713,0.9979354,0.996971,0.9989324,0.9981217,0.98123115,0.95727223,0.9474849,0.97868997,0.9765172,0.99034554,0.9930813,0.9784492,0.9905936,0.98899776,0.9796213,0.98467124,0.9904777,0.9956601,0.9956814,0.9565551,0.93800753,0.9707582,0.9508221,0.9500516,0.9963018,0.9924965,0.94946855,0.993468,0.94961816,0.9925212,0.9951213,0.9955023,0.9949698,0.98951626
test0
test0_patato xxmf chips_1,test0_patato xxmf chips_2,test0_patato xxmf chips_5,test0_patato xxmf chips_4,test0_patato xxmf chips_3,test0_walkers_1,test0_walkers_2,test0_walkers_5,test0_walkers_4,test0_walkers_3,test0_matchmakers_1,test0_matchmakers_2,test0_matchmakers_5,test0_matchmakers_4,test0_matchmakers_3
patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,matchmakers,matchmakers,matchmakers,matchmakers,matchmakers
0.9693136,0.98011506,0.97737175,0.96652985,0.95900255,0.9979615,0.99581236,0.98668265,0.98645276,0.9940791,0.9916713,0.9979354,0.996971,0.9989324,0.9981217
test
test1_patato xxmf chips_1,test1_patato xxmf chips_2,test1_patato xxmf chips_5,test1_patato xxmf chips_4,test1_patato xxmf chips_3,test1_walkers_1,test1_walkers_2,test1_walkers_5,test1_walkers_4,test1_walkers_3,test1_matchmakers_1,test1_matchmakers_2,test1_matchmakers_5,test1_matchmakers_4,test1_matchmakers_3
patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,patato xxmf chips,matchmakers,matchmakers,matchmakers,matchmakers
0.98123115,0.95727223,0.9474849,0.97868997,0.9765172,0.99034554,0.9930813,0.9784492,0.9905936,0.98899776,0.9796213,0.98467124,0.9904777,0.9956601,0.9956814
