test all
test0_patato xxmf chips_1,test0_patato xxmf chips_2,test0_patato xxmf chips_5,test0_patato xxmf chips_4,test0_patato xxmf chips_3,test0_walkers_1,test0_walkers_2,test0_walkers_5,test0_walkers_4,test0_walkers_3,test0_matchmakers_1,test0_matchmakers_2,test0_matchmakers_5,test0_matchmakers_4,test0_matchmakers_3,test1_patato xxmf chips_1,test1_patato xxmf chips_2,test1_patato xxmf chips_5,test1_patato xxmf chips_4,test1_patato xxmf chips_3,test1_walkers_1,test1_walkers_2,test1_walkers_5,test1_walkers_4,test1_walkers_3,test1_matchmakers_1,test1_matchmakers_2,test1_matchmakers_5,test1_matchmakers_4,test1_matchmakers_3,test2_patato xxmf chips_1,test2_patato xxmf chips_2,test2_patato xxmf chips_5,test2_patato xxmf chips_4,test2_patato xxmf chips_3,test2_walkers_1,test2_walkers_2,test2_walkers_5,test2_walkers_4,test2_walkers_3,test2_matchmakers_1,test2_matchmakers_2,test2_matchmakers_5,test2_matchmakers_4,test2_matchmakers_3
patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,matchmakers,matchmakers,matchmakers,matchmakers,matchmakers,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,patato xxmf chips,matchmakers,matchmakers,matchmakers,matchmakers,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,matchmakers,matchmakers,matchmakers,matchmakers,matchmakers
0.9688477,0.9801829,0.97699785,0.96587056,0.95834297,0.9981718,0.99621826,0.9875568,0.9883329,0.9947817,0.990489,0.9976109,0.99659425,0.99879324,0.99784184,0.98064584,0.9573246,0.94344676,0.9768008,0.97564393,0.99037653,0.9932753,0.9724171,0.9878291,0.9863197,0.9780161,0.9830976,0.9897649,0.9952301,0.99511945,0.95308393,0.93187225,0.968114,0.94665956,0.94557446,0.99599814,0.99167913,0.94227195,0.9929329,0.9382633,0.99178153,0.9945838,0.9951067,0.9945263,0.9886331
test0
test0_patato xxmf chips_1,test0_patato xxmf chips_2,test0_patato xxmf chips_5,test0_patato xxmf chips_4,test0_patato xxmf chips_3,test0_walkers_1,test0_walkers_2,test0_walkers_5,test0_walkers_4,test0_walkers_3,test0_matchmakers_1,test0_matchmakers_2,test0_matchmakers_5,test0_matchmakers_4,test0_matchmakers_3
patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,matchmakers,matchmakers,matchmakers,matchmakers,matchmakers
0.9688477,0.9801829,0.97699785,0.96587056,0.95834297,0.9981718,0.99621826,0.9875568,0.9883329,0.9947817,0.990489,0.9976109,0.99659425,0.99879324,0.99784184
test
test1_patato xxmf chips_1,test1_patato xxmf chips_2,test1_patato xxmf chips_5,test1_patato xxmf chips_4,test1_patato xxmf chips_3,test1_walkers_1,test1_walkers_2,test1_walkers_5,test1_walkers_4,test1_walkers_3,test1_matchmakers_1,test1_matchmakers_2,test1_matchmakers_5,test1_matchmakers_4,test1_matchmakers_3
patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,patato xxmf chips,walkers,walkers,walkers,walkers,walkers,patato xxmf chips,matchmakers,matchmakers,matchmakers,matchmakers
0.98064584,0.9573246,0.94344676,0.9768008,0.97564393,0.99037653,0.9932753,0.9724171,0.9878291,0.9863197,0.9780161,0.9830976,0.9897649,0.9952301,0.99511945
