test all
test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_life_1,test0_life_2,test0_life_5,test0_life_4,test0_life_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_life_1,test1_life_2,test1_life_5,test1_life_4,test1_life_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3
cheerios,cheerios,cheerios,cheerios,cheerios,life,life,life,life,life,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,cheerios,cheerios,cheerios,cheerios,cheerios,life,life,life,life,life,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks
0.69408786,0.72391135,0.6969793,0.6149237,0.66413826,0.62492645,0.6342343,0.7911293,0.77378297,0.6319065,0.9265483,0.87165225,0.884401,0.90816456,0.959797,0.65316534,0.53153193,0.54639196,0.62951016,0.67535245,0.807191,0.86266893,0.8750064,0.8864265,0.8754202,0.8280223,0.73205954,0.70707715,0.76337814,0.80330735
test0
test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_life_1,test0_life_2,test0_life_5,test0_life_4,test0_life_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3
cheerios,cheerios,cheerios,cheerios,cheerios,life,life,life,life,life,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks
0.69408786,0.72391135,0.6969793,0.6149237,0.66413826,0.62492645,0.6342343,0.7911293,0.77378297,0.6319065,0.9265483,0.87165225,0.884401,0.90816456,0.959797
test
test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_life_1,test1_life_2,test1_life_5,test1_life_4,test1_life_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3
cheerios,cheerios,cheerios,cheerios,cheerios,life,life,life,life,life,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks
0.65316534,0.53153193,0.54639196,0.62951016,0.67535245,0.807191,0.86266893,0.8750064,0.8864265,0.8754202,0.8280223,0.73205954,0.70707715,0.76337814,0.80330735
