test all
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_thyme xxmf leaf_1,test0_thyme xxmf leaf_2,test0_thyme xxmf leaf_5,test0_thyme xxmf leaf_4,test0_thyme xxmf leaf_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_thyme xxmf leaf_1,test1_thyme xxmf leaf_2,test1_thyme xxmf leaf_5,test1_thyme xxmf leaf_4,test1_thyme xxmf leaf_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_thyme xxmf leaf_1,test2_thyme xxmf leaf_2,test2_thyme xxmf leaf_5,test2_thyme xxmf leaf_4,test2_thyme xxmf leaf_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,chili xxmf powder,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,chili xxmf powder,onion xxmf powder,thyme xxmf leaf,thyme xxmf leaf,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder
0.89160335,0.98147947,0.9163319,0.8648743,0.9219055,0.6195178,0.6970438,0.3815301,0.89286,0.70216244,0.61305654,0.83461684,0.8834217,0.8403622,0.83491313,0.90025395,0.7359155,0.48884302,0.8005821,0.8068398,0.53094053,0.5250552,0.37743774,0.7373614,0.39725408,0.897059,0.7731537,0.578649,0.5668522,0.6674546,0.7762352,0.97451925,0.85540944,0.8003132,0.50952476,0.5345908,0.4528663,0.81959736,0.7208349,0.42727035,0.5517848,0.5263672,0.7305298,0.5409509,0.5318138
test0
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_thyme xxmf leaf_1,test0_thyme xxmf leaf_2,test0_thyme xxmf leaf_5,test0_thyme xxmf leaf_4,test0_thyme xxmf leaf_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,chili xxmf powder,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf
0.89160335,0.98147947,0.9163319,0.8648743,0.9219055,0.6195178,0.6970438,0.3815301,0.89286,0.70216244,0.61305654,0.83461684,0.8834217,0.8403622,0.83491313
test
test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_thyme xxmf leaf_1,test1_thyme xxmf leaf_2,test1_thyme xxmf leaf_5,test1_thyme xxmf leaf_4,test1_thyme xxmf leaf_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,chili xxmf powder,onion xxmf powder,thyme xxmf leaf,thyme xxmf leaf,onion xxmf powder,thyme xxmf leaf
0.90025395,0.7359155,0.48884302,0.8005821,0.8068398,0.53094053,0.5250552,0.37743774,0.7373614,0.39725408,0.897059,0.7731537,0.578649,0.5668522,0.6674546
