test all
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_thyme xxmf leaf_1,test0_thyme xxmf leaf_2,test0_thyme xxmf leaf_5,test0_thyme xxmf leaf_4,test0_thyme xxmf leaf_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_thyme xxmf leaf_1,test1_thyme xxmf leaf_2,test1_thyme xxmf leaf_5,test1_thyme xxmf leaf_4,test1_thyme xxmf leaf_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_thyme xxmf leaf_1,test2_thyme xxmf leaf_2,test2_thyme xxmf leaf_5,test2_thyme xxmf leaf_4,test2_thyme xxmf leaf_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,chili xxmf powder,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,thyme xxmf leaf,thyme xxmf leaf,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,thyme xxmf leaf,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,onion xxmf powder
0.9148897,0.9835359,0.92001396,0.87517905,0.9202984,0.6373116,0.75969726,0.45414576,0.89255255,0.65202224,0.50823015,0.8035217,0.83021677,0.79682744,0.81411827,0.92243785,0.7126341,0.4810636,0.80552185,0.80438805,0.602898,0.4548708,0.38374546,0.7369419,0.4491258,0.91184723,0.8099795,0.59787816,0.513994,0.72062933,0.7950585,0.97456217,0.8990313,0.8318628,0.54418015,0.5568773,0.4360102,0.82088953,0.73285174,0.44746545,0.6188128,0.54306805,0.67206615,0.5045997,0.50161564
test0
test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_thyme xxmf leaf_1,test0_thyme xxmf leaf_2,test0_thyme xxmf leaf_5,test0_thyme xxmf leaf_4,test0_thyme xxmf leaf_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,chili xxmf powder,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf,thyme xxmf leaf
0.9148897,0.9835359,0.92001396,0.87517905,0.9202984,0.6373116,0.75969726,0.45414576,0.89255255,0.65202224,0.50823015,0.8035217,0.83021677,0.79682744,0.81411827
test
test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_thyme xxmf leaf_1,test1_thyme xxmf leaf_2,test1_thyme xxmf leaf_5,test1_thyme xxmf leaf_4,test1_thyme xxmf leaf_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,onion xxmf powder,thyme xxmf leaf,onion xxmf powder,thyme xxmf leaf,thyme xxmf leaf,onion xxmf powder,thyme xxmf leaf
0.92243785,0.7126341,0.4810636,0.80552185,0.80438805,0.602898,0.4548708,0.38374546,0.7369419,0.4491258,0.91184723,0.8099795,0.59787816,0.513994,0.72062933
