test all
test0_evian_1,test0_evian_2,test0_evian_5,test0_evian_4,test0_evian_3,test0_smart xxmf water_1,test0_smart xxmf water_2,test0_smart xxmf water_5,test0_smart xxmf water_4,test0_smart xxmf water_3,test0_cheese_1,test0_cheese_2,test0_cheese_5,test0_cheese_4,test0_cheese_3,test1_evian_1,test1_evian_2,test1_evian_5,test1_evian_4,test1_evian_3,test1_smart xxmf water_1,test1_smart xxmf water_2,test1_smart xxmf water_5,test1_smart xxmf water_4,test1_smart xxmf water_3,test1_cheese_1,test1_cheese_2,test1_cheese_5,test1_cheese_4,test1_cheese_3,test2_evian_1,test2_evian_2,test2_evian_5,test2_evian_4,test2_evian_3,test2_smart xxmf water_1,test2_smart xxmf water_2,test2_smart xxmf water_5,test2_smart xxmf water_4,test2_smart xxmf water_3,test2_cheese_1,test2_cheese_2,test2_cheese_5,test2_cheese_4,test2_cheese_3
evian,evian,evian,evian,evian,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,cheese,cheese,cheese,cheese,cheese,evian,smart xxmf water,smart xxmf water,evian,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,evian,cheese,smart xxmf water,evian,smart xxmf water,smart xxmf water,smart xxmf water,evian,evian,evian,evian,evian,evian,smart xxmf water,smart xxmf water,evian,smart xxmf water,smart xxmf water,smart xxmf water,evian
0.7189381,0.8353638,0.7876867,0.74842197,0.8018022,0.86980814,0.99261004,0.9679524,0.9880706,0.7833154,0.98951906,0.98236763,0.96858484,0.80247283,0.87666965,0.72508734,0.7370754,0.9509356,0.68858,0.50802845,0.90679157,0.8128113,0.9647525,0.9625489,0.6223007,0.5422428,0.8684297,0.90383625,0.73535645,0.6261583,0.6286035,0.5645624,0.80739844,0.92545813,0.73122466,0.60948354,0.6845326,0.5929903,0.52407104,0.70200425,0.4822183,0.5081906,0.65234584,0.52897996,0.8688662
test0
test0_evian_1,test0_evian_2,test0_evian_5,test0_evian_4,test0_evian_3,test0_smart xxmf water_1,test0_smart xxmf water_2,test0_smart xxmf water_5,test0_smart xxmf water_4,test0_smart xxmf water_3,test0_cheese_1,test0_cheese_2,test0_cheese_5,test0_cheese_4,test0_cheese_3
evian,evian,evian,evian,evian,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,cheese,cheese,cheese,cheese,cheese
0.7189381,0.8353638,0.7876867,0.74842197,0.8018022,0.86980814,0.99261004,0.9679524,0.9880706,0.7833154,0.98951906,0.98236763,0.96858484,0.80247283,0.87666965
test
test1_evian_1,test1_evian_2,test1_evian_5,test1_evian_4,test1_evian_3,test1_smart xxmf water_1,test1_smart xxmf water_2,test1_smart xxmf water_5,test1_smart xxmf water_4,test1_smart xxmf water_3,test1_cheese_1,test1_cheese_2,test1_cheese_5,test1_cheese_4,test1_cheese_3
evian,smart xxmf water,smart xxmf water,evian,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,evian,cheese,smart xxmf water,evian,smart xxmf water
0.72508734,0.7370754,0.9509356,0.68858,0.50802845,0.90679157,0.8128113,0.9647525,0.9625489,0.6223007,0.5422428,0.8684297,0.90383625,0.73535645,0.6261583
