test all
test0_evian_1,test0_evian_2,test0_evian_5,test0_evian_4,test0_evian_3,test0_smart xxmf water_1,test0_smart xxmf water_2,test0_smart xxmf water_5,test0_smart xxmf water_4,test0_smart xxmf water_3,test0_cheese_1,test0_cheese_2,test0_cheese_5,test0_cheese_4,test0_cheese_3,test1_evian_1,test1_evian_2,test1_evian_5,test1_evian_4,test1_evian_3,test1_smart xxmf water_1,test1_smart xxmf water_2,test1_smart xxmf water_5,test1_smart xxmf water_4,test1_smart xxmf water_3,test1_cheese_1,test1_cheese_2,test1_cheese_5,test1_cheese_4,test1_cheese_3,test2_evian_1,test2_evian_2,test2_evian_5,test2_evian_4,test2_evian_3,test2_smart xxmf water_1,test2_smart xxmf water_2,test2_smart xxmf water_5,test2_smart xxmf water_4,test2_smart xxmf water_3,test2_cheese_1,test2_cheese_2,test2_cheese_5,test2_cheese_4,test2_cheese_3
evian,evian,evian,evian,evian,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,cheese,cheese,cheese,cheese,cheese,evian,smart xxmf water,smart xxmf water,evian,evian,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,evian,cheese,smart xxmf water,evian,evian,smart xxmf water,evian,evian,evian,evian,evian,evian,evian,evian,smart xxmf water,evian,smart xxmf water,smart xxmf water,evian,evian
0.8028703,0.9001419,0.85615975,0.8254994,0.88225543,0.8574935,0.9906392,0.96583176,0.98609805,0.7249255,0.99296993,0.9874248,0.9788104,0.84145087,0.9060339,0.7401471,0.6838613,0.93783,0.7598447,0.508579,0.8720678,0.76637083,0.9708962,0.95947945,0.5792363,0.6259415,0.9095438,0.87573284,0.83503175,0.50231314,0.4972945,0.50990075,0.8869228,0.9101901,0.75496256,0.6978556,0.80204785,0.732806,0.59049106,0.59984815,0.47393918,0.450104,0.5648488,0.550564,0.88404655
test0
test0_evian_1,test0_evian_2,test0_evian_5,test0_evian_4,test0_evian_3,test0_smart xxmf water_1,test0_smart xxmf water_2,test0_smart xxmf water_5,test0_smart xxmf water_4,test0_smart xxmf water_3,test0_cheese_1,test0_cheese_2,test0_cheese_5,test0_cheese_4,test0_cheese_3
evian,evian,evian,evian,evian,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,cheese,cheese,cheese,cheese,cheese
0.8028703,0.9001419,0.85615975,0.8254994,0.88225543,0.8574935,0.9906392,0.96583176,0.98609805,0.7249255,0.99296993,0.9874248,0.9788104,0.84145087,0.9060339
test
test1_evian_1,test1_evian_2,test1_evian_5,test1_evian_4,test1_evian_3,test1_smart xxmf water_1,test1_smart xxmf water_2,test1_smart xxmf water_5,test1_smart xxmf water_4,test1_smart xxmf water_3,test1_cheese_1,test1_cheese_2,test1_cheese_5,test1_cheese_4,test1_cheese_3
evian,smart xxmf water,smart xxmf water,evian,evian,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,smart xxmf water,evian,cheese,smart xxmf water,evian,evian
0.7401471,0.6838613,0.93783,0.7598447,0.508579,0.8720678,0.76637083,0.9708962,0.95947945,0.5792363,0.6259415,0.9095438,0.87573284,0.83503175,0.50231314
