test all
test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3,test0_thyme xxmf leaves_1,test0_thyme xxmf leaves_2,test0_thyme xxmf leaves_5,test0_thyme xxmf leaves_4,test0_thyme xxmf leaves_3,test0_rosemary xxmf leaves_1,test0_rosemary xxmf leaves_2,test0_rosemary xxmf leaves_5,test0_rosemary xxmf leaves_4,test0_rosemary xxmf leaves_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3,test1_thyme xxmf leaves_1,test1_thyme xxmf leaves_2,test1_thyme xxmf leaves_5,test1_thyme xxmf leaves_4,test1_thyme xxmf leaves_3,test1_rosemary xxmf leaves_1,test1_rosemary xxmf leaves_2,test1_rosemary xxmf leaves_5,test1_rosemary xxmf leaves_4,test1_rosemary xxmf leaves_3,test2_ground xxmf cumin_1,test2_ground xxmf cumin_2,test2_ground xxmf cumin_5,test2_ground xxmf cumin_4,test2_ground xxmf cumin_3,test2_thyme xxmf leaves_1,test2_thyme xxmf leaves_2,test2_thyme xxmf leaves_5,test2_thyme xxmf leaves_4,test2_thyme xxmf leaves_3,test2_rosemary xxmf leaves_1,test2_rosemary xxmf leaves_2,test2_rosemary xxmf leaves_5,test2_rosemary xxmf leaves_4,test2_rosemary xxmf leaves_3
rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,thyme xxmf leaves,ground xxmf cumin,ground xxmf cumin,ground xxmf cumin,rosemary xxmf leaves,thyme xxmf leaves,ground xxmf cumin,ground xxmf cumin,ground xxmf cumin,ground xxmf cumin,rosemary xxmf leaves,rosemary xxmf leaves,ground xxmf cumin,rosemary xxmf leaves,ground xxmf cumin,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,thyme xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,thyme xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves
0.7861281,0.7472805,0.7325935,0.8715169,0.86696196,0.8426696,0.8661524,0.8117621,0.8342391,0.8470157,0.76160544,0.8727822,0.85627085,0.78494525,0.8679419,0.43477473,0.8435134,0.81541294,0.8918508,0.5512657,0.52030486,0.64226854,0.62515587,0.90521926,0.56687,0.6527362,0.5571028,0.67002094,0.67034405,0.9504556,0.7717651,0.57833177,0.7694213,0.69285417,0.52528435,0.6188879,0.5055596,0.7461305,0.77478355,0.4514336,0.74091977,0.6878347,0.49006838,0.7530451,0.78575146
test0
test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3,test0_thyme xxmf leaves_1,test0_thyme xxmf leaves_2,test0_thyme xxmf leaves_5,test0_thyme xxmf leaves_4,test0_thyme xxmf leaves_3,test0_rosemary xxmf leaves_1,test0_rosemary xxmf leaves_2,test0_rosemary xxmf leaves_5,test0_rosemary xxmf leaves_4,test0_rosemary xxmf leaves_3
rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves,rosemary xxmf leaves
0.7861281,0.7472805,0.7325935,0.8715169,0.86696196,0.8426696,0.8661524,0.8117621,0.8342391,0.8470157,0.76160544,0.8727822,0.85627085,0.78494525,0.8679419
test
test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3,test1_thyme xxmf leaves_1,test1_thyme xxmf leaves_2,test1_thyme xxmf leaves_5,test1_thyme xxmf leaves_4,test1_thyme xxmf leaves_3,test1_rosemary xxmf leaves_1,test1_rosemary xxmf leaves_2,test1_rosemary xxmf leaves_5,test1_rosemary xxmf leaves_4,test1_rosemary xxmf leaves_3
thyme xxmf leaves,ground xxmf cumin,ground xxmf cumin,ground xxmf cumin,rosemary xxmf leaves,thyme xxmf leaves,ground xxmf cumin,ground xxmf cumin,ground xxmf cumin,ground xxmf cumin,rosemary xxmf leaves,rosemary xxmf leaves,ground xxmf cumin,rosemary xxmf leaves,ground xxmf cumin
0.43477473,0.8435134,0.81541294,0.8918508,0.5512657,0.52030486,0.64226854,0.62515587,0.90521926,0.56687,0.6527362,0.5571028,0.67002094,0.67034405,0.9504556
