test all
test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_rosemary_1,test0_rosemary_2,test0_rosemary_5,test0_rosemary_4,test0_rosemary_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_rosemary_1,test1_rosemary_2,test1_rosemary_5,test1_rosemary_4,test1_rosemary_3,test2_paprika_1,test2_paprika_2,test2_paprika_5,test2_paprika_4,test2_paprika_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_rosemary_1,test2_rosemary_2,test2_rosemary_5,test2_rosemary_4,test2_rosemary_3
paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,rosemary,paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,chili xxmf powder,paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,rosemary
0.89370584,0.8666793,0.9324165,0.8243294,0.9224438,0.865608,0.92157936,0.70357496,0.74128413,0.6822482,0.97691196,0.97306424,0.48781323,0.9144008,0.9956126,0.9238635,0.8221542,0.84020764,0.80888224,0.9450298,0.40921533,0.7334764,0.79523695,0.914259,0.7669279,0.9392496,0.9932749,0.7690068,0.9955864,0.68477225,0.9270841,0.88256127,0.77650654,0.5419603,0.8886052,0.57118595,0.70688874,0.5659296,0.6165427,0.6085924,0.99659425,0.997678,0.9907561,0.94065624,0.99615294
test0
test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_rosemary_1,test0_rosemary_2,test0_rosemary_5,test0_rosemary_4,test0_rosemary_3
paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,rosemary
0.89370584,0.8666793,0.9324165,0.8243294,0.9224438,0.865608,0.92157936,0.70357496,0.74128413,0.6822482,0.97691196,0.97306424,0.48781323,0.9144008,0.9956126
test
test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_rosemary_1,test1_rosemary_2,test1_rosemary_5,test1_rosemary_4,test1_rosemary_3
paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,chili xxmf powder
0.9238635,0.8221542,0.84020764,0.80888224,0.9450298,0.40921533,0.7334764,0.79523695,0.914259,0.7669279,0.9392496,0.9932749,0.7690068,0.9955864,0.68477225
