test all
test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_rosemary_1,test0_rosemary_2,test0_rosemary_5,test0_rosemary_4,test0_rosemary_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_rosemary_1,test1_rosemary_2,test1_rosemary_5,test1_rosemary_4,test1_rosemary_3,test2_paprika_1,test2_paprika_2,test2_paprika_5,test2_paprika_4,test2_paprika_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_rosemary_1,test2_rosemary_2,test2_rosemary_5,test2_rosemary_4,test2_rosemary_3
paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,rosemary,paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,chili xxmf powder,paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,rosemary
0.89360416,0.8706479,0.9406114,0.8176882,0.9331547,0.9281516,0.952262,0.78530455,0.83951706,0.74862015,0.9609684,0.95982814,0.4814398,0.89676213,0.99555176,0.93444705,0.8346408,0.8558531,0.87039334,0.9406218,0.56953704,0.8207875,0.8495531,0.8876691,0.84109515,0.9407579,0.99065053,0.6765823,0.9923469,0.78262234,0.9149308,0.91333807,0.8638845,0.63602203,0.8842578,0.6803285,0.8124193,0.6715474,0.69762915,0.7472407,0.99409455,0.99591064,0.9623197,0.89090973,0.9936625
test0
test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_rosemary_1,test0_rosemary_2,test0_rosemary_5,test0_rosemary_4,test0_rosemary_3
paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,rosemary
0.89360416,0.8706479,0.9406114,0.8176882,0.9331547,0.9281516,0.952262,0.78530455,0.83951706,0.74862015,0.9609684,0.95982814,0.4814398,0.89676213,0.99555176
test
test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_rosemary_1,test1_rosemary_2,test1_rosemary_5,test1_rosemary_4,test1_rosemary_3
paprika,paprika,paprika,paprika,paprika,chili xxmf powder,chili xxmf powder,chili xxmf powder,rosemary,chili xxmf powder,rosemary,rosemary,rosemary,rosemary,chili xxmf powder
0.93444705,0.8346408,0.8558531,0.87039334,0.9406218,0.56953704,0.8207875,0.8495531,0.8876691,0.84109515,0.9407579,0.99065053,0.6765823,0.9923469,0.78262234
