test all
test0_ground xxmf coriander_1,test0_ground xxmf coriander_2,test0_ground xxmf coriander_5,test0_ground xxmf coriander_4,test0_ground xxmf coriander_3,test0_poppy xxmf seed_1,test0_poppy xxmf seed_2,test0_poppy xxmf seed_5,test0_poppy xxmf seed_4,test0_poppy xxmf seed_3,test0_curry xxmf powder_1,test0_curry xxmf powder_2,test0_curry xxmf powder_5,test0_curry xxmf powder_4,test0_curry xxmf powder_3,test1_ground xxmf coriander_1,test1_ground xxmf coriander_2,test1_ground xxmf coriander_5,test1_ground xxmf coriander_4,test1_ground xxmf coriander_3,test1_poppy xxmf seed_1,test1_poppy xxmf seed_2,test1_poppy xxmf seed_5,test1_poppy xxmf seed_4,test1_poppy xxmf seed_3,test1_curry xxmf powder_1,test1_curry xxmf powder_2,test1_curry xxmf powder_5,test1_curry xxmf powder_4,test1_curry xxmf powder_3,test2_ground xxmf coriander_1,test2_ground xxmf coriander_2,test2_ground xxmf coriander_5,test2_ground xxmf coriander_4,test2_ground xxmf coriander_3,test2_poppy xxmf seed_1,test2_poppy xxmf seed_2,test2_poppy xxmf seed_5,test2_poppy xxmf seed_4,test2_poppy xxmf seed_3,test2_curry xxmf powder_1,test2_curry xxmf powder_2,test2_curry xxmf powder_5,test2_curry xxmf powder_4,test2_curry xxmf powder_3
ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,poppy xxmf seed,ground xxmf coriander,poppy xxmf seed,poppy xxmf seed,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,poppy xxmf seed,poppy xxmf seed,poppy xxmf seed,ground xxmf coriander,poppy xxmf seed,curry xxmf powder,ground xxmf coriander,ground xxmf coriander,curry xxmf powder,curry xxmf powder,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,poppy xxmf seed,poppy xxmf seed,poppy xxmf seed,poppy xxmf seed,curry xxmf powder,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander
0.68261874,0.8004561,0.9264197,0.80238134,0.8583831,0.7328923,0.71542543,0.50498253,0.54191244,0.68368226,0.55287164,0.43368924,0.51319575,0.5887462,0.41535527,0.8416029,0.6168966,0.78624,0.93964446,0.7952966,0.63940215,0.89703554,0.81234735,0.8033134,0.72965825,0.93354005,0.55888414,0.54631084,0.6935688,0.45286742,0.92251563,0.5090293,0.44914502,0.6116704,0.7378586,0.68283683,0.8680798,0.5243698,0.6738614,0.88989294,0.6898357,0.6942752,0.48589146,0.38103572,0.5759393
test0
test0_ground xxmf coriander_1,test0_ground xxmf coriander_2,test0_ground xxmf coriander_5,test0_ground xxmf coriander_4,test0_ground xxmf coriander_3,test0_poppy xxmf seed_1,test0_poppy xxmf seed_2,test0_poppy xxmf seed_5,test0_poppy xxmf seed_4,test0_poppy xxmf seed_3,test0_curry xxmf powder_1,test0_curry xxmf powder_2,test0_curry xxmf powder_5,test0_curry xxmf powder_4,test0_curry xxmf powder_3
ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,poppy xxmf seed,ground xxmf coriander,poppy xxmf seed,poppy xxmf seed,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander
0.68261874,0.8004561,0.9264197,0.80238134,0.8583831,0.7328923,0.71542543,0.50498253,0.54191244,0.68368226,0.55287164,0.43368924,0.51319575,0.5887462,0.41535527
test
test1_ground xxmf coriander_1,test1_ground xxmf coriander_2,test1_ground xxmf coriander_5,test1_ground xxmf coriander_4,test1_ground xxmf coriander_3,test1_poppy xxmf seed_1,test1_poppy xxmf seed_2,test1_poppy xxmf seed_5,test1_poppy xxmf seed_4,test1_poppy xxmf seed_3,test1_curry xxmf powder_1,test1_curry xxmf powder_2,test1_curry xxmf powder_5,test1_curry xxmf powder_4,test1_curry xxmf powder_3
ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,ground xxmf coriander,poppy xxmf seed,poppy xxmf seed,poppy xxmf seed,ground xxmf coriander,poppy xxmf seed,curry xxmf powder,ground xxmf coriander,ground xxmf coriander,curry xxmf powder,curry xxmf powder
0.8416029,0.6168966,0.78624,0.93964446,0.7952966,0.63940215,0.89703554,0.81234735,0.8033134,0.72965825,0.93354005,0.55888414,0.54631084,0.6935688,0.45286742
