test all
test0_perrier_1,test0_perrier_2,test0_perrier_5,test0_perrier_4,test0_perrier_3,test0_nestle_1,test0_nestle_2,test0_nestle_5,test0_nestle_4,test0_nestle_3,test0_aloe xxmf vera_1,test0_aloe xxmf vera_2,test0_aloe xxmf vera_5,test0_aloe xxmf vera_4,test0_aloe xxmf vera_3
perrier,perrier,perrier,perrier,perrier,nestle,nestle,nestle,perrier,perrier,aloe xxmf vera,aloe xxmf vera,aloe xxmf vera,aloe xxmf vera,aloe xxmf vera
0.87755847,0.9403957,0.864343,0.8958052,0.8552285,0.9945787,0.97759116,0.9818809,0.547833,0.9642829,0.97533095,0.97513527,0.9841516,0.994091,0.98348236
test0
test0_perrier_1,test0_perrier_2,test0_perrier_5,test0_perrier_4,test0_perrier_3,test0_nestle_1,test0_nestle_2,test0_nestle_5,test0_nestle_4,test0_nestle_3,test0_aloe xxmf vera_1,test0_aloe xxmf vera_2,test0_aloe xxmf vera_5,test0_aloe xxmf vera_4,test0_aloe xxmf vera_3
perrier,perrier,perrier,perrier,perrier,nestle,nestle,nestle,perrier,perrier,aloe xxmf vera,aloe xxmf vera,aloe xxmf vera,aloe xxmf vera,aloe xxmf vera
0.87755847,0.9403957,0.864343,0.8958052,0.8552285,0.9945787,0.97759116,0.9818809,0.547833,0.9642829,0.97533095,0.97513527,0.9841516,0.994091,0.98348236
test



