test all
test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_cajun xxmf spice_1,test0_cajun xxmf spice_2,test0_cajun xxmf spice_5,test0_cajun xxmf spice_4,test0_cajun xxmf spice_3,test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_cajun xxmf spice_1,test1_cajun xxmf spice_2,test1_cajun xxmf spice_5,test1_cajun xxmf spice_4,test1_cajun xxmf spice_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_cajun xxmf spice_1,test2_cajun xxmf spice_2,test2_cajun xxmf spice_5,test2_cajun xxmf spice_4,test2_cajun xxmf spice_3,test2_ground xxmf cumin_1,test2_ground xxmf cumin_2,test2_ground xxmf cumin_5,test2_ground xxmf cumin_4,test2_ground xxmf cumin_3
cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice
0.65445244,0.8761575,0.82787836,0.6741472,0.8080074,0.8000908,0.6912802,0.85426587,0.7291986,0.7159944,0.54076725,0.9700141,0.66319495,0.8638104,0.74644476,0.8775028,0.9333967,0.96356034,0.9730574,0.9591324,0.9551633,0.9874685,0.9881593,0.9872493,0.9745712,0.96474993,0.9635318,0.9908462,0.9921765,0.98110056,0.97137195,0.9813349,0.98012584,0.9470301,0.65553164,0.9911471,0.9962011,0.99201185,0.99463105,0.9921719,0.9768698,0.98791784,0.99505854,0.98773545,0.9957444
test0
test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_cajun xxmf spice_1,test0_cajun xxmf spice_2,test0_cajun xxmf spice_5,test0_cajun xxmf spice_4,test0_cajun xxmf spice_3,test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3
cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice
0.65445244,0.8761575,0.82787836,0.6741472,0.8080074,0.8000908,0.6912802,0.85426587,0.7291986,0.7159944,0.54076725,0.9700141,0.66319495,0.8638104,0.74644476
test
test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_cajun xxmf spice_1,test1_cajun xxmf spice_2,test1_cajun xxmf spice_5,test1_cajun xxmf spice_4,test1_cajun xxmf spice_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3
cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice
0.8775028,0.9333967,0.96356034,0.9730574,0.9591324,0.9551633,0.9874685,0.9881593,0.9872493,0.9745712,0.96474993,0.9635318,0.9908462,0.9921765,0.98110056
