test all
test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_cajun xxmf spice_1,test0_cajun xxmf spice_2,test0_cajun xxmf spice_5,test0_cajun xxmf spice_4,test0_cajun xxmf spice_3,test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_cajun xxmf spice_1,test1_cajun xxmf spice_2,test1_cajun xxmf spice_5,test1_cajun xxmf spice_4,test1_cajun xxmf spice_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3,test2_cajun xxmf spice_1,test2_cajun xxmf spice_2,test2_cajun xxmf spice_5,test2_cajun xxmf spice_4,test2_cajun xxmf spice_3,test2_ground xxmf cumin_1,test2_ground xxmf cumin_2,test2_ground xxmf cumin_5,test2_ground xxmf cumin_4,test2_ground xxmf cumin_3
cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice
0.6515127,0.87467104,0.8289267,0.66934127,0.8112768,0.7947654,0.68765664,0.86773396,0.75135195,0.7330763,0.54847777,0.96888083,0.66598237,0.86590385,0.7518664,0.87544,0.93648964,0.9643784,0.9746232,0.9609853,0.9558616,0.988535,0.9895139,0.9889254,0.97610056,0.9661174,0.9659435,0.9922322,0.9931538,0.98326516,0.97409385,0.98292935,0.98311055,0.9530744,0.66611266,0.9928276,0.9969805,0.9938351,0.99575186,0.9933941,0.98030454,0.9898184,0.9960075,0.99008137,0.9966821
test0
test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test0_cajun xxmf spice_1,test0_cajun xxmf spice_2,test0_cajun xxmf spice_5,test0_cajun xxmf spice_4,test0_cajun xxmf spice_3,test0_ground xxmf cumin_1,test0_ground xxmf cumin_2,test0_ground xxmf cumin_5,test0_ground xxmf cumin_4,test0_ground xxmf cumin_3
cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice
0.6515127,0.87467104,0.8289267,0.66934127,0.8112768,0.7947654,0.68765664,0.86773396,0.75135195,0.7330763,0.54847777,0.96888083,0.66598237,0.86590385,0.7518664
test
test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test1_cajun xxmf spice_1,test1_cajun xxmf spice_2,test1_cajun xxmf spice_5,test1_cajun xxmf spice_4,test1_cajun xxmf spice_3,test1_ground xxmf cumin_1,test1_ground xxmf cumin_2,test1_ground xxmf cumin_5,test1_ground xxmf cumin_4,test1_ground xxmf cumin_3
cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice,cajun xxmf spice
0.87544,0.93648964,0.9643784,0.9746232,0.9609853,0.9558616,0.988535,0.9895139,0.9889254,0.97610056,0.9661174,0.9659435,0.9922322,0.9931538,0.98326516
