test all
test0_coffee_1,test0_coffee_2,test0_coffee_5,test0_coffee_4,test0_coffee_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3,test0_red xxmf bull_1,test0_red xxmf bull_2,test0_red xxmf bull_5,test0_red xxmf bull_4,test0_red xxmf bull_3,test1_coffee_1,test1_coffee_2,test1_coffee_5,test1_coffee_4,test1_coffee_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3,test1_red xxmf bull_1,test1_red xxmf bull_2,test1_red xxmf bull_5,test1_red xxmf bull_4,test1_red xxmf bull_3,test2_coffee_1,test2_coffee_2,test2_coffee_5,test2_coffee_4,test2_coffee_3,test2_water_1,test2_water_2,test2_water_5,test2_water_4,test2_water_3,test2_red xxmf bull_1,test2_red xxmf bull_2,test2_red xxmf bull_5,test2_red xxmf bull_4,test2_red xxmf bull_3
red xxmf bull,coffee,coffee,red xxmf bull,coffee,red xxmf bull,red xxmf bull,water,red xxmf bull,coffee,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,coffee,coffee,coffee,water,red xxmf bull,red xxmf bull,red xxmf bull,water,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,coffee,coffee,coffee,water,red xxmf bull,red xxmf bull,water,water,water,red xxmf bull,red xxmf bull,water,red xxmf bull,red xxmf bull,red xxmf bull
0.7546413,0.95573103,0.98943007,0.97591966,0.98666674,0.54312927,0.66242486,0.75551355,0.53941107,0.97815156,0.9894163,0.98618966,0.9928524,0.9899687,0.96495515,0.45065346,0.90332985,0.947954,0.98559433,0.5225008,0.6032058,0.77031314,0.5886105,0.56725025,0.39253566,0.9726887,0.9938129,0.79896283,0.83902234,0.857329,0.98300123,0.99217755,0.9916539,0.5701563,0.96254724,0.5060601,0.48288506,0.5700423,0.5932291,0.735379,0.7279358,0.49547693,0.82936144,0.8917308,0.8225393
test0
test0_coffee_1,test0_coffee_2,test0_coffee_5,test0_coffee_4,test0_coffee_3,test0_water_1,test0_water_2,test0_water_5,test0_water_4,test0_water_3,test0_red xxmf bull_1,test0_red xxmf bull_2,test0_red xxmf bull_5,test0_red xxmf bull_4,test0_red xxmf bull_3
red xxmf bull,coffee,coffee,red xxmf bull,coffee,red xxmf bull,red xxmf bull,water,red xxmf bull,coffee,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull
0.7546413,0.95573103,0.98943007,0.97591966,0.98666674,0.54312927,0.66242486,0.75551355,0.53941107,0.97815156,0.9894163,0.98618966,0.9928524,0.9899687,0.96495515
test
test1_coffee_1,test1_coffee_2,test1_coffee_5,test1_coffee_4,test1_coffee_3,test1_water_1,test1_water_2,test1_water_5,test1_water_4,test1_water_3,test1_red xxmf bull_1,test1_red xxmf bull_2,test1_red xxmf bull_5,test1_red xxmf bull_4,test1_red xxmf bull_3
red xxmf bull,coffee,coffee,coffee,water,red xxmf bull,red xxmf bull,red xxmf bull,water,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull,red xxmf bull
0.45065346,0.90332985,0.947954,0.98559433,0.5225008,0.6032058,0.77031314,0.5886105,0.56725025,0.39253566,0.9726887,0.9938129,0.79896283,0.83902234,0.857329
