test all
test0_bubly xxmf _1,test0_bubly xxmf _2,test0_bubly xxmf _5,test0_bubly xxmf _4,test0_bubly xxmf _3,test0_spire xxmf cider_1,test0_spire xxmf cider_2,test0_spire xxmf cider_5,test0_spire xxmf cider_4,test0_spire xxmf cider_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3,test1_bubly xxmf _1,test1_bubly xxmf _2,test1_bubly xxmf _5,test1_bubly xxmf _4,test1_bubly xxmf _3,test1_spire xxmf cider_1,test1_spire xxmf cider_2,test1_spire xxmf cider_5,test1_spire xxmf cider_4,test1_spire xxmf cider_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3,test2_bubly xxmf _1,test2_bubly xxmf _2,test2_bubly xxmf _5,test2_bubly xxmf _4,test2_bubly xxmf _3,test2_spire xxmf cider_1,test2_spire xxmf cider_2,test2_spire xxmf cider_5,test2_spire xxmf cider_4,test2_spire xxmf cider_3,test2_coca xxmf cola_1,test2_coca xxmf cola_2,test2_coca xxmf cola_5,test2_coca xxmf cola_4,test2_coca xxmf cola_3
bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.98196685,0.9929026,0.993662,0.9971831,0.9941176,0.9972773,0.98913914,0.9901282,0.9959508,0.9970782,0.9973533,0.9944102,0.99873537,0.9928706,0.9988809,0.9932482,0.98390085,0.9908002,0.9843621,0.98722106,0.8355734,0.96170527,0.99730635,0.9912322,0.9734056,0.9987966,0.9903336,0.9968317,0.99631447,0.99220675,0.97255176,0.95358086,0.9550964,0.95043975,0.9691282,0.9726055,0.9478018,0.5968094,0.99667823,0.9601629,0.9855775,0.9513137,0.99114263,0.99043196,0.99748343
test0
test0_bubly xxmf _1,test0_bubly xxmf _2,test0_bubly xxmf _5,test0_bubly xxmf _4,test0_bubly xxmf _3,test0_spire xxmf cider_1,test0_spire xxmf cider_2,test0_spire xxmf cider_5,test0_spire xxmf cider_4,test0_spire xxmf cider_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3
bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.98196685,0.9929026,0.993662,0.9971831,0.9941176,0.9972773,0.98913914,0.9901282,0.9959508,0.9970782,0.9973533,0.9944102,0.99873537,0.9928706,0.9988809
test
test1_bubly xxmf _1,test1_bubly xxmf _2,test1_bubly xxmf _5,test1_bubly xxmf _4,test1_bubly xxmf _3,test1_spire xxmf cider_1,test1_spire xxmf cider_2,test1_spire xxmf cider_5,test1_spire xxmf cider_4,test1_spire xxmf cider_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3
bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.9932482,0.98390085,0.9908002,0.9843621,0.98722106,0.8355734,0.96170527,0.99730635,0.9912322,0.9734056,0.9987966,0.9903336,0.9968317,0.99631447,0.99220675
