test all
test0_bubly xxmf _1,test0_bubly xxmf _2,test0_bubly xxmf _5,test0_bubly xxmf _4,test0_bubly xxmf _3,test0_spire xxmf cider_1,test0_spire xxmf cider_2,test0_spire xxmf cider_5,test0_spire xxmf cider_4,test0_spire xxmf cider_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3,test1_bubly xxmf _1,test1_bubly xxmf _2,test1_bubly xxmf _5,test1_bubly xxmf _4,test1_bubly xxmf _3,test1_spire xxmf cider_1,test1_spire xxmf cider_2,test1_spire xxmf cider_5,test1_spire xxmf cider_4,test1_spire xxmf cider_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3,test2_bubly xxmf _1,test2_bubly xxmf _2,test2_bubly xxmf _5,test2_bubly xxmf _4,test2_bubly xxmf _3,test2_spire xxmf cider_1,test2_spire xxmf cider_2,test2_spire xxmf cider_5,test2_spire xxmf cider_4,test2_spire xxmf cider_3,test2_coca xxmf cola_1,test2_coca xxmf cola_2,test2_coca xxmf cola_5,test2_coca xxmf cola_4,test2_coca xxmf cola_3
bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.97807395,0.9918216,0.9927048,0.996792,0.99335796,0.9971495,0.98894775,0.9897714,0.9957344,0.99676406,0.99777347,0.99482805,0.998979,0.9937348,0.9991166,0.99239177,0.9822922,0.9896325,0.98252827,0.9858765,0.84615284,0.96254474,0.9968838,0.9917898,0.97636515,0.99899155,0.99170333,0.9973273,0.99680173,0.99309397,0.9702297,0.9519975,0.95403135,0.948867,0.96846235,0.97272444,0.9504448,0.57214093,0.99637043,0.96211326,0.98720086,0.95211595,0.99146956,0.99161726,0.9980312
test0
test0_bubly xxmf _1,test0_bubly xxmf _2,test0_bubly xxmf _5,test0_bubly xxmf _4,test0_bubly xxmf _3,test0_spire xxmf cider_1,test0_spire xxmf cider_2,test0_spire xxmf cider_5,test0_spire xxmf cider_4,test0_spire xxmf cider_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3
bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.97807395,0.9918216,0.9927048,0.996792,0.99335796,0.9971495,0.98894775,0.9897714,0.9957344,0.99676406,0.99777347,0.99482805,0.998979,0.9937348,0.9991166
test
test1_bubly xxmf _1,test1_bubly xxmf _2,test1_bubly xxmf _5,test1_bubly xxmf _4,test1_bubly xxmf _3,test1_spire xxmf cider_1,test1_spire xxmf cider_2,test1_spire xxmf cider_5,test1_spire xxmf cider_4,test1_spire xxmf cider_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3
bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,bubly xxmf,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,spire xxmf cider,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.99239177,0.9822922,0.9896325,0.98252827,0.9858765,0.84615284,0.96254474,0.9968838,0.9917898,0.97636515,0.99899155,0.99170333,0.9973273,0.99680173,0.99309397
