test all
test0_sesame xxmf seed_1,test0_sesame xxmf seed_2,test0_sesame xxmf seed_5,test0_sesame xxmf seed_4,test0_sesame xxmf seed_3,test0_fennel xxmf seed_1,test0_fennel xxmf seed_2,test0_fennel xxmf seed_5,test0_fennel xxmf seed_4,test0_fennel xxmf seed_3,test0_celery xxmf seed_1,test0_celery xxmf seed_2,test0_celery xxmf seed_5,test0_celery xxmf seed_4,test0_celery xxmf seed_3,test1_sesame xxmf seed_1,test1_sesame xxmf seed_2,test1_sesame xxmf seed_5,test1_sesame xxmf seed_4,test1_sesame xxmf seed_3,test1_fennel xxmf seed_1,test1_fennel xxmf seed_2,test1_fennel xxmf seed_5,test1_fennel xxmf seed_4,test1_fennel xxmf seed_3,test1_celery xxmf seed_1,test1_celery xxmf seed_2,test1_celery xxmf seed_5,test1_celery xxmf seed_4,test1_celery xxmf seed_3,test2_sesame xxmf seed_1,test2_sesame xxmf seed_2,test2_sesame xxmf seed_5,test2_sesame xxmf seed_4,test2_sesame xxmf seed_3,test2_fennel xxmf seed_1,test2_fennel xxmf seed_2,test2_fennel xxmf seed_5,test2_fennel xxmf seed_4,test2_fennel xxmf seed_3,test2_celery xxmf seed_1,test2_celery xxmf seed_2,test2_celery xxmf seed_5,test2_celery xxmf seed_4,test2_celery xxmf seed_3
sesame xxmf seed,fennel xxmf seed,sesame xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,celery xxmf seed,sesame xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,celery xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,celery xxmf seed,sesame xxmf seed,sesame xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,celery xxmf seed,celery xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,celery xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed
0.3521945,0.5765017,0.5008827,0.48168755,0.40666953,0.79576087,0.4821201,0.4507035,0.70108664,0.5446526,0.62808365,0.515115,0.510284,0.51744324,0.8676806,0.8450997,0.7140553,0.55282515,0.7848411,0.7338754,0.84132403,0.6473039,0.90518045,0.5636739,0.49271396,0.38687503,0.5075925,0.7482699,0.69777364,0.7423937,0.55984825,0.6364039,0.63991106,0.4648427,0.5782496,0.69029915,0.66815764,0.5726397,0.42582354,0.67002267,0.4720978,0.44587517,0.5406535,0.48270145,0.597579
test0
test0_sesame xxmf seed_1,test0_sesame xxmf seed_2,test0_sesame xxmf seed_5,test0_sesame xxmf seed_4,test0_sesame xxmf seed_3,test0_fennel xxmf seed_1,test0_fennel xxmf seed_2,test0_fennel xxmf seed_5,test0_fennel xxmf seed_4,test0_fennel xxmf seed_3,test0_celery xxmf seed_1,test0_celery xxmf seed_2,test0_celery xxmf seed_5,test0_celery xxmf seed_4,test0_celery xxmf seed_3
sesame xxmf seed,fennel xxmf seed,sesame xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,celery xxmf seed,sesame xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,celery xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed
0.3521945,0.5765017,0.5008827,0.48168755,0.40666953,0.79576087,0.4821201,0.4507035,0.70108664,0.5446526,0.62808365,0.515115,0.510284,0.51744324,0.8676806
test
test1_sesame xxmf seed_1,test1_sesame xxmf seed_2,test1_sesame xxmf seed_5,test1_sesame xxmf seed_4,test1_sesame xxmf seed_3,test1_fennel xxmf seed_1,test1_fennel xxmf seed_2,test1_fennel xxmf seed_5,test1_fennel xxmf seed_4,test1_fennel xxmf seed_3,test1_celery xxmf seed_1,test1_celery xxmf seed_2,test1_celery xxmf seed_5,test1_celery xxmf seed_4,test1_celery xxmf seed_3
sesame xxmf seed,sesame xxmf seed,celery xxmf seed,sesame xxmf seed,sesame xxmf seed,fennel xxmf seed,fennel xxmf seed,fennel xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,sesame xxmf seed,celery xxmf seed,celery xxmf seed
0.8450997,0.7140553,0.55282515,0.7848411,0.7338754,0.84132403,0.6473039,0.90518045,0.5636739,0.49271396,0.38687503,0.5075925,0.7482699,0.69777364,0.7423937
