test all
test0_crackers_1,test0_crackers_2,test0_crackers_5,test0_crackers_4,test0_crackers_3,test0_fruit xxmf cups_1,test0_fruit xxmf cups_2,test0_fruit xxmf cups_5,test0_fruit xxmf cups_4,test0_fruit xxmf cups_3,test0_chips_1,test0_chips_2,test0_chips_5,test0_chips_4,test0_chips_3,test1_crackers_1,test1_crackers_2,test1_crackers_5,test1_crackers_4,test1_crackers_3,test1_fruit xxmf cups_1,test1_fruit xxmf cups_2,test1_fruit xxmf cups_5,test1_fruit xxmf cups_4,test1_fruit xxmf cups_3,test1_chips_1,test1_chips_2,test1_chips_5,test1_chips_4,test1_chips_3,test2_crackers_1,test2_crackers_2,test2_crackers_5,test2_crackers_4,test2_crackers_3,test2_fruit xxmf cups_1,test2_fruit xxmf cups_2,test2_fruit xxmf cups_5,test2_fruit xxmf cups_4,test2_fruit xxmf cups_3,test2_chips_1,test2_chips_2,test2_chips_5,test2_chips_4,test2_chips_3
chips,chips,chips,chips,chips,chips,chips,fruit xxmf cups,chips,chips,chips,chips,chips,chips,chips,fruit xxmf cups,chips,chips,crackers,chips,fruit xxmf cups,fruit xxmf cups,crackers,chips,chips,chips,chips,crackers,chips,chips,crackers,crackers,crackers,crackers,crackers,crackers,fruit xxmf cups,fruit xxmf cups,fruit xxmf cups,fruit xxmf cups,crackers,chips,chips,chips,chips
0.6670058,0.64929044,0.77199656,0.59643525,0.95098495,0.7861289,0.9769398,0.45568997,0.54401326,0.7542366,0.9015638,0.95251,0.99136084,0.7509692,0.98407644,0.84391034,0.45852622,0.84461474,0.8092953,0.93230176,0.8546027,0.86285365,0.84590816,0.5410752,0.9916481,0.91971284,0.9410099,0.9396296,0.5994986,0.79263353,0.7457732,0.70400983,0.8550204,0.7853403,0.6907117,0.44935647,0.71728474,0.7229207,0.42277667,0.64933854,0.8411596,0.8532583,0.9517153,0.93787414,0.79313064
test0
test0_crackers_1,test0_crackers_2,test0_crackers_5,test0_crackers_4,test0_crackers_3,test0_fruit xxmf cups_1,test0_fruit xxmf cups_2,test0_fruit xxmf cups_5,test0_fruit xxmf cups_4,test0_fruit xxmf cups_3,test0_chips_1,test0_chips_2,test0_chips_5,test0_chips_4,test0_chips_3
chips,chips,chips,chips,chips,chips,chips,fruit xxmf cups,chips,chips,chips,chips,chips,chips,chips
0.6670058,0.64929044,0.77199656,0.59643525,0.95098495,0.7861289,0.9769398,0.45568997,0.54401326,0.7542366,0.9015638,0.95251,0.99136084,0.7509692,0.98407644
test
test1_crackers_1,test1_crackers_2,test1_crackers_5,test1_crackers_4,test1_crackers_3,test1_fruit xxmf cups_1,test1_fruit xxmf cups_2,test1_fruit xxmf cups_5,test1_fruit xxmf cups_4,test1_fruit xxmf cups_3,test1_chips_1,test1_chips_2,test1_chips_5,test1_chips_4,test1_chips_3
fruit xxmf cups,chips,chips,crackers,chips,fruit xxmf cups,fruit xxmf cups,crackers,chips,chips,chips,chips,crackers,chips,chips
0.84391034,0.45852622,0.84461474,0.8092953,0.93230176,0.8546027,0.86285365,0.84590816,0.5410752,0.9916481,0.91971284,0.9410099,0.9396296,0.5994986,0.79263353
