test all
test0_crackers_1,test0_crackers_2,test0_crackers_5,test0_crackers_4,test0_crackers_3,test0_fruit xxmf cups_1,test0_fruit xxmf cups_2,test0_fruit xxmf cups_5,test0_fruit xxmf cups_4,test0_fruit xxmf cups_3,test0_chips_1,test0_chips_2,test0_chips_5,test0_chips_4,test0_chips_3,test1_crackers_1,test1_crackers_2,test1_crackers_5,test1_crackers_4,test1_crackers_3,test1_fruit xxmf cups_1,test1_fruit xxmf cups_2,test1_fruit xxmf cups_5,test1_fruit xxmf cups_4,test1_fruit xxmf cups_3,test1_chips_1,test1_chips_2,test1_chips_5,test1_chips_4,test1_chips_3,test2_crackers_1,test2_crackers_2,test2_crackers_5,test2_crackers_4,test2_crackers_3,test2_fruit xxmf cups_1,test2_fruit xxmf cups_2,test2_fruit xxmf cups_5,test2_fruit xxmf cups_4,test2_fruit xxmf cups_3,test2_chips_1,test2_chips_2,test2_chips_5,test2_chips_4,test2_chips_3
chips,chips,chips,chips,chips,chips,chips,fruit xxmf cups,chips,chips,chips,chips,chips,chips,chips,fruit xxmf cups,chips,chips,crackers,chips,fruit xxmf cups,fruit xxmf cups,crackers,chips,chips,chips,chips,crackers,chips,chips,crackers,crackers,crackers,crackers,crackers,crackers,fruit xxmf cups,fruit xxmf cups,crackers,fruit xxmf cups,crackers,chips,chips,chips,chips
0.6438108,0.6437243,0.78775096,0.5838131,0.95250905,0.77860516,0.9792947,0.49244022,0.5722392,0.7208566,0.8929876,0.9603073,0.99224573,0.77018785,0.9877115,0.77870077,0.48842388,0.8521688,0.8079034,0.9420403,0.7746722,0.8133222,0.84690195,0.58302015,0.9931987,0.92503583,0.9297639,0.9278225,0.6056162,0.79330534,0.77022856,0.67953676,0.8593666,0.7799231,0.68281597,0.42053935,0.6202121,0.6245455,0.4153546,0.5329505,0.85975176,0.8702013,0.955534,0.94137007,0.810741
test0
test0_crackers_1,test0_crackers_2,test0_crackers_5,test0_crackers_4,test0_crackers_3,test0_fruit xxmf cups_1,test0_fruit xxmf cups_2,test0_fruit xxmf cups_5,test0_fruit xxmf cups_4,test0_fruit xxmf cups_3,test0_chips_1,test0_chips_2,test0_chips_5,test0_chips_4,test0_chips_3
chips,chips,chips,chips,chips,chips,chips,fruit xxmf cups,chips,chips,chips,chips,chips,chips,chips
0.6438108,0.6437243,0.78775096,0.5838131,0.95250905,0.77860516,0.9792947,0.49244022,0.5722392,0.7208566,0.8929876,0.9603073,0.99224573,0.77018785,0.9877115
test
test1_crackers_1,test1_crackers_2,test1_crackers_5,test1_crackers_4,test1_crackers_3,test1_fruit xxmf cups_1,test1_fruit xxmf cups_2,test1_fruit xxmf cups_5,test1_fruit xxmf cups_4,test1_fruit xxmf cups_3,test1_chips_1,test1_chips_2,test1_chips_5,test1_chips_4,test1_chips_3
fruit xxmf cups,chips,chips,crackers,chips,fruit xxmf cups,fruit xxmf cups,crackers,chips,chips,chips,chips,crackers,chips,chips
0.77870077,0.48842388,0.8521688,0.8079034,0.9420403,0.7746722,0.8133222,0.84690195,0.58302015,0.9931987,0.92503583,0.9297639,0.9278225,0.6056162,0.79330534
