test all
test0_raisins xxmf _1,test0_raisins xxmf _2,test0_raisins xxmf _5,test0_raisins xxmf _4,test0_raisins xxmf _3,test0_wafers xxmf _1,test0_wafers xxmf _2,test0_wafers xxmf _5,test0_wafers xxmf _4,test0_wafers xxmf _3,test0_peanuts xxmf _1,test0_peanuts xxmf _2,test0_peanuts xxmf _5,test0_peanuts xxmf _4,test0_peanuts xxmf _3,test1_raisins xxmf _1,test1_raisins xxmf _2,test1_raisins xxmf _5,test1_raisins xxmf _4,test1_raisins xxmf _3,test1_wafers xxmf _1,test1_wafers xxmf _2,test1_wafers xxmf _5,test1_wafers xxmf _4,test1_wafers xxmf _3,test1_peanuts xxmf _1,test1_peanuts xxmf _2,test1_peanuts xxmf _5,test1_peanuts xxmf _4,test1_peanuts xxmf _3,test2_raisins xxmf _1,test2_raisins xxmf _2,test2_raisins xxmf _5,test2_raisins xxmf _4,test2_raisins xxmf _3,test2_wafers xxmf _1,test2_wafers xxmf _2,test2_wafers xxmf _5,test2_wafers xxmf _4,test2_wafers xxmf _3,test2_peanuts xxmf _1,test2_peanuts xxmf _2,test2_peanuts xxmf _5,test2_peanuts xxmf _4,test2_peanuts xxmf _3
raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,raisins xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf
0.97701454,0.97471696,0.9065158,0.96878874,0.92408794,0.96501344,0.9634394,0.8058214,0.97612566,0.6876617,0.94991595,0.7712422,0.89712495,0.96950936,0.9673277,0.977866,0.90003365,0.9209865,0.9706478,0.9673999,0.81423753,0.9353042,0.9074656,0.95323336,0.9205044,0.68502134,0.655036,0.9248039,0.94541514,0.92425036,0.94531,0.9470703,0.95304656,0.9273444,0.9583695,0.9629603,0.95984304,0.9628114,0.97975314,0.8653685,0.867102,0.8662014,0.9284348,0.84749526,0.909449
test0
test0_raisins xxmf _1,test0_raisins xxmf _2,test0_raisins xxmf _5,test0_raisins xxmf _4,test0_raisins xxmf _3,test0_wafers xxmf _1,test0_wafers xxmf _2,test0_wafers xxmf _5,test0_wafers xxmf _4,test0_wafers xxmf _3,test0_peanuts xxmf _1,test0_peanuts xxmf _2,test0_peanuts xxmf _5,test0_peanuts xxmf _4,test0_peanuts xxmf _3
raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,raisins xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf
0.97701454,0.97471696,0.9065158,0.96878874,0.92408794,0.96501344,0.9634394,0.8058214,0.97612566,0.6876617,0.94991595,0.7712422,0.89712495,0.96950936,0.9673277
test
test1_raisins xxmf _1,test1_raisins xxmf _2,test1_raisins xxmf _5,test1_raisins xxmf _4,test1_raisins xxmf _3,test1_wafers xxmf _1,test1_wafers xxmf _2,test1_wafers xxmf _5,test1_wafers xxmf _4,test1_wafers xxmf _3,test1_peanuts xxmf _1,test1_peanuts xxmf _2,test1_peanuts xxmf _5,test1_peanuts xxmf _4,test1_peanuts xxmf _3
raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf
0.977866,0.90003365,0.9209865,0.9706478,0.9673999,0.81423753,0.9353042,0.9074656,0.95323336,0.9205044,0.68502134,0.655036,0.9248039,0.94541514,0.92425036
