test all
test0_raisins xxmf _1,test0_raisins xxmf _2,test0_raisins xxmf _5,test0_raisins xxmf _4,test0_raisins xxmf _3,test0_wafers xxmf _1,test0_wafers xxmf _2,test0_wafers xxmf _5,test0_wafers xxmf _4,test0_wafers xxmf _3,test0_peanuts xxmf _1,test0_peanuts xxmf _2,test0_peanuts xxmf _5,test0_peanuts xxmf _4,test0_peanuts xxmf _3,test1_raisins xxmf _1,test1_raisins xxmf _2,test1_raisins xxmf _5,test1_raisins xxmf _4,test1_raisins xxmf _3,test1_wafers xxmf _1,test1_wafers xxmf _2,test1_wafers xxmf _5,test1_wafers xxmf _4,test1_wafers xxmf _3,test1_peanuts xxmf _1,test1_peanuts xxmf _2,test1_peanuts xxmf _5,test1_peanuts xxmf _4,test1_peanuts xxmf _3,test2_raisins xxmf _1,test2_raisins xxmf _2,test2_raisins xxmf _5,test2_raisins xxmf _4,test2_raisins xxmf _3,test2_wafers xxmf _1,test2_wafers xxmf _2,test2_wafers xxmf _5,test2_wafers xxmf _4,test2_wafers xxmf _3,test2_peanuts xxmf _1,test2_peanuts xxmf _2,test2_peanuts xxmf _5,test2_peanuts xxmf _4,test2_peanuts xxmf _3
raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,raisins xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf
0.97528684,0.9763509,0.92785347,0.96719325,0.9359876,0.9583986,0.95982176,0.75377744,0.97236675,0.6278182,0.9472977,0.7221512,0.9025492,0.9661456,0.9704293,0.97898966,0.89334077,0.9259078,0.97456145,0.9694877,0.77483904,0.92111987,0.8826076,0.9324384,0.89122623,0.71308976,0.6781271,0.92680454,0.9442818,0.9253529,0.9443637,0.9465895,0.9513782,0.9259178,0.9569967,0.9558045,0.9522454,0.95751053,0.9778155,0.8438233,0.85954535,0.8767614,0.9068953,0.84645134,0.9199058
test0
test0_raisins xxmf _1,test0_raisins xxmf _2,test0_raisins xxmf _5,test0_raisins xxmf _4,test0_raisins xxmf _3,test0_wafers xxmf _1,test0_wafers xxmf _2,test0_wafers xxmf _5,test0_wafers xxmf _4,test0_wafers xxmf _3,test0_peanuts xxmf _1,test0_peanuts xxmf _2,test0_peanuts xxmf _5,test0_peanuts xxmf _4,test0_peanuts xxmf _3
raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,raisins xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf
0.97528684,0.9763509,0.92785347,0.96719325,0.9359876,0.9583986,0.95982176,0.75377744,0.97236675,0.6278182,0.9472977,0.7221512,0.9025492,0.9661456,0.9704293
test
test1_raisins xxmf _1,test1_raisins xxmf _2,test1_raisins xxmf _5,test1_raisins xxmf _4,test1_raisins xxmf _3,test1_wafers xxmf _1,test1_wafers xxmf _2,test1_wafers xxmf _5,test1_wafers xxmf _4,test1_wafers xxmf _3,test1_peanuts xxmf _1,test1_peanuts xxmf _2,test1_peanuts xxmf _5,test1_peanuts xxmf _4,test1_peanuts xxmf _3
raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,raisins xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,wafers xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf,peanuts xxmf
0.97898966,0.89334077,0.9259078,0.97456145,0.9694877,0.77483904,0.92111987,0.8826076,0.9324384,0.89122623,0.71308976,0.6781271,0.92680454,0.9442818,0.9253529
