test all
test0_apple xxmf bits_1,test0_apple xxmf bits_2,test0_apple xxmf bits_5,test0_apple xxmf bits_4,test0_apple xxmf bits_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_sugar xxmf flakes_1,test0_sugar xxmf flakes_2,test0_sugar xxmf flakes_5,test0_sugar xxmf flakes_4,test0_sugar xxmf flakes_3,test1_apple xxmf bits_1,test1_apple xxmf bits_2,test1_apple xxmf bits_5,test1_apple xxmf bits_4,test1_apple xxmf bits_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_sugar xxmf flakes_1,test1_sugar xxmf flakes_2,test1_sugar xxmf flakes_5,test1_sugar xxmf flakes_4,test1_sugar xxmf flakes_3,test2_apple xxmf bits_1,test2_apple xxmf bits_2,test2_apple xxmf bits_5,test2_apple xxmf bits_4,test2_apple xxmf bits_3,test2_cheerios_1,test2_cheerios_2,test2_cheerios_5,test2_cheerios_4,test2_cheerios_3,test2_sugar xxmf flakes_1,test2_sugar xxmf flakes_2,test2_sugar xxmf flakes_5,test2_sugar xxmf flakes_4,test2_sugar xxmf flakes_3
apple xxmf bits,apple xxmf bits,apple xxmf bits,apple xxmf bits,sugar xxmf flakes,cheerios,cheerios,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,apple xxmf bits,apple xxmf bits,apple xxmf bits,sugar xxmf flakes,sugar xxmf flakes,cheerios,sugar xxmf flakes,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,apple xxmf bits,apple xxmf bits,apple xxmf bits,sugar xxmf flakes,apple xxmf bits,cheerios,cheerios,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes
0.866383,0.73922014,0.7508156,0.84297717,0.5202935,0.7620738,0.6662409,0.6104402,0.5076084,0.7596702,0.99574184,0.99751925,0.99221694,0.9981858,0.9919193,0.8587824,0.9099368,0.6312185,0.9074111,0.578622,0.69720125,0.616977,0.775256,0.7828552,0.49646646,0.9828705,0.99254215,0.98119444,0.9917378,0.99416673,0.92994964,0.8412385,0.6689523,0.6333116,0.90508986,0.845098,0.68590105,0.7750341,0.8382145,0.6599296,0.9871882,0.9879274,0.9882039,0.98866445,0.9955344
test0
test0_apple xxmf bits_1,test0_apple xxmf bits_2,test0_apple xxmf bits_5,test0_apple xxmf bits_4,test0_apple xxmf bits_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_sugar xxmf flakes_1,test0_sugar xxmf flakes_2,test0_sugar xxmf flakes_5,test0_sugar xxmf flakes_4,test0_sugar xxmf flakes_3
apple xxmf bits,apple xxmf bits,apple xxmf bits,apple xxmf bits,sugar xxmf flakes,cheerios,cheerios,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes
0.866383,0.73922014,0.7508156,0.84297717,0.5202935,0.7620738,0.6662409,0.6104402,0.5076084,0.7596702,0.99574184,0.99751925,0.99221694,0.9981858,0.9919193
test
test1_apple xxmf bits_1,test1_apple xxmf bits_2,test1_apple xxmf bits_5,test1_apple xxmf bits_4,test1_apple xxmf bits_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_sugar xxmf flakes_1,test1_sugar xxmf flakes_2,test1_sugar xxmf flakes_5,test1_sugar xxmf flakes_4,test1_sugar xxmf flakes_3
apple xxmf bits,apple xxmf bits,apple xxmf bits,sugar xxmf flakes,sugar xxmf flakes,cheerios,sugar xxmf flakes,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes
0.8587824,0.9099368,0.6312185,0.9074111,0.578622,0.69720125,0.616977,0.775256,0.7828552,0.49646646,0.9828705,0.99254215,0.98119444,0.9917378,0.99416673
