test all
test0_apple xxmf bits_1,test0_apple xxmf bits_2,test0_apple xxmf bits_5,test0_apple xxmf bits_4,test0_apple xxmf bits_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_sugar xxmf flakes_1,test0_sugar xxmf flakes_2,test0_sugar xxmf flakes_5,test0_sugar xxmf flakes_4,test0_sugar xxmf flakes_3,test1_apple xxmf bits_1,test1_apple xxmf bits_2,test1_apple xxmf bits_5,test1_apple xxmf bits_4,test1_apple xxmf bits_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_sugar xxmf flakes_1,test1_sugar xxmf flakes_2,test1_sugar xxmf flakes_5,test1_sugar xxmf flakes_4,test1_sugar xxmf flakes_3,test2_apple xxmf bits_1,test2_apple xxmf bits_2,test2_apple xxmf bits_5,test2_apple xxmf bits_4,test2_apple xxmf bits_3,test2_cheerios_1,test2_cheerios_2,test2_cheerios_5,test2_cheerios_4,test2_cheerios_3,test2_sugar xxmf flakes_1,test2_sugar xxmf flakes_2,test2_sugar xxmf flakes_5,test2_sugar xxmf flakes_4,test2_sugar xxmf flakes_3
apple xxmf bits,apple xxmf bits,apple xxmf bits,apple xxmf bits,apple xxmf bits,cheerios,cheerios,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,apple xxmf bits,apple xxmf bits,apple xxmf bits,sugar xxmf flakes,sugar xxmf flakes,cheerios,sugar xxmf flakes,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,apple xxmf bits,apple xxmf bits,apple xxmf bits,sugar xxmf flakes,apple xxmf bits,cheerios,cheerios,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes
0.89247936,0.7288324,0.79701525,0.8645198,0.49055687,0.7970135,0.72055733,0.63019335,0.5508508,0.79058075,0.9955314,0.9977216,0.9932569,0.9980432,0.9936405,0.86383426,0.8951805,0.632316,0.9241147,0.5958094,0.7208358,0.5602489,0.76032513,0.8181575,0.5348111,0.9868008,0.9938991,0.9829405,0.99240726,0.9955514,0.94032484,0.8440107,0.6768993,0.5867633,0.9135678,0.862743,0.71597856,0.797194,0.86131376,0.69899017,0.9887456,0.98823917,0.98818564,0.98873293,0.9952944
test0
test0_apple xxmf bits_1,test0_apple xxmf bits_2,test0_apple xxmf bits_5,test0_apple xxmf bits_4,test0_apple xxmf bits_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_sugar xxmf flakes_1,test0_sugar xxmf flakes_2,test0_sugar xxmf flakes_5,test0_sugar xxmf flakes_4,test0_sugar xxmf flakes_3
apple xxmf bits,apple xxmf bits,apple xxmf bits,apple xxmf bits,apple xxmf bits,cheerios,cheerios,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes
0.89247936,0.7288324,0.79701525,0.8645198,0.49055687,0.7970135,0.72055733,0.63019335,0.5508508,0.79058075,0.9955314,0.9977216,0.9932569,0.9980432,0.9936405
test
test1_apple xxmf bits_1,test1_apple xxmf bits_2,test1_apple xxmf bits_5,test1_apple xxmf bits_4,test1_apple xxmf bits_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_sugar xxmf flakes_1,test1_sugar xxmf flakes_2,test1_sugar xxmf flakes_5,test1_sugar xxmf flakes_4,test1_sugar xxmf flakes_3
apple xxmf bits,apple xxmf bits,apple xxmf bits,sugar xxmf flakes,sugar xxmf flakes,cheerios,sugar xxmf flakes,cheerios,cheerios,cheerios,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes,sugar xxmf flakes
0.86383426,0.8951805,0.632316,0.9241147,0.5958094,0.7208358,0.5602489,0.76032513,0.8181575,0.5348111,0.9868008,0.9938991,0.9829405,0.99240726,0.9955514
