test all
test0_mountain xxmf dew_1,test0_mountain xxmf dew_2,test0_mountain xxmf dew_5,test0_mountain xxmf dew_4,test0_mountain xxmf dew_3,test0_7up_1,test0_7up_2,test0_7up_5,test0_7up_4,test0_7up_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3,test1_mountain xxmf dew_1,test1_mountain xxmf dew_2,test1_mountain xxmf dew_5,test1_mountain xxmf dew_4,test1_mountain xxmf dew_3,test1_7up_1,test1_7up_2,test1_7up_5,test1_7up_4,test1_7up_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3,test2_mountain xxmf dew_1,test2_mountain xxmf dew_2,test2_mountain xxmf dew_5,test2_mountain xxmf dew_4,test2_mountain xxmf dew_3,test2_7up_1,test2_7up_2,test2_7up_5,test2_7up_4,test2_7up_3,test2_coca xxmf cola_1,test2_coca xxmf cola_2,test2_coca xxmf cola_5,test2_coca xxmf cola_4,test2_coca xxmf cola_3
mountain xxmf dew,coca xxmf cola,mountain xxmf dew,7up,coca xxmf cola,7up,7up,7up,mountain xxmf dew,7up,7up,7up,coca xxmf cola,7up,7up,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,7up,7up,7up,7up,7up,7up,7up,7up,7up,7up,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,7up,7up,7up,7up,7up,7up,7up,coca xxmf cola,7up,7up
0.8716161,0.56837314,0.9039014,0.9316479,0.5444802,0.82417643,0.991219,0.5850611,0.41975936,0.98352736,0.98762834,0.9863521,0.53276914,0.9836594,0.9877345,0.7848263,0.84348875,0.5544482,0.84403574,0.73605984,0.98979574,0.9905004,0.987015,0.9980872,0.996824,0.976409,0.73138005,0.64686996,0.8116494,0.94266754,0.8207744,0.9078594,0.892116,0.88052523,0.74863994,0.9779117,0.9950895,0.9826082,0.9952064,0.9930628,0.88454497,0.59998417,0.6682091,0.86465913,0.83142024
test0
test0_mountain xxmf dew_1,test0_mountain xxmf dew_2,test0_mountain xxmf dew_5,test0_mountain xxmf dew_4,test0_mountain xxmf dew_3,test0_7up_1,test0_7up_2,test0_7up_5,test0_7up_4,test0_7up_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3
mountain xxmf dew,coca xxmf cola,mountain xxmf dew,7up,coca xxmf cola,7up,7up,7up,mountain xxmf dew,7up,7up,7up,coca xxmf cola,7up,7up
0.8716161,0.56837314,0.9039014,0.9316479,0.5444802,0.82417643,0.991219,0.5850611,0.41975936,0.98352736,0.98762834,0.9863521,0.53276914,0.9836594,0.9877345
test
test1_mountain xxmf dew_1,test1_mountain xxmf dew_2,test1_mountain xxmf dew_5,test1_mountain xxmf dew_4,test1_mountain xxmf dew_3,test1_7up_1,test1_7up_2,test1_7up_5,test1_7up_4,test1_7up_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3
mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,7up,7up,7up,7up,7up,7up,7up,7up,7up,7up
0.7848263,0.84348875,0.5544482,0.84403574,0.73605984,0.98979574,0.9905004,0.987015,0.9980872,0.996824,0.976409,0.73138005,0.64686996,0.8116494,0.94266754
