test all
test0_mountain xxmf dew_1,test0_mountain xxmf dew_2,test0_mountain xxmf dew_5,test0_mountain xxmf dew_4,test0_mountain xxmf dew_3,test0_7up_1,test0_7up_2,test0_7up_5,test0_7up_4,test0_7up_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3,test1_mountain xxmf dew_1,test1_mountain xxmf dew_2,test1_mountain xxmf dew_5,test1_mountain xxmf dew_4,test1_mountain xxmf dew_3,test1_7up_1,test1_7up_2,test1_7up_5,test1_7up_4,test1_7up_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3,test2_mountain xxmf dew_1,test2_mountain xxmf dew_2,test2_mountain xxmf dew_5,test2_mountain xxmf dew_4,test2_mountain xxmf dew_3,test2_7up_1,test2_7up_2,test2_7up_5,test2_7up_4,test2_7up_3,test2_coca xxmf cola_1,test2_coca xxmf cola_2,test2_coca xxmf cola_5,test2_coca xxmf cola_4,test2_coca xxmf cola_3
mountain xxmf dew,coca xxmf cola,mountain xxmf dew,7up,coca xxmf cola,7up,7up,7up,mountain xxmf dew,7up,7up,7up,coca xxmf cola,7up,7up,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,7up,7up,7up,7up,7up,7up,7up,7up,7up,7up,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,7up,7up,7up,7up,7up,7up,7up,coca xxmf cola,7up,7up
0.9096315,0.5806689,0.9290931,0.9408802,0.54569674,0.77558684,0.99167436,0.5985644,0.53124475,0.98170036,0.9882032,0.9839686,0.5139602,0.9826072,0.99002993,0.75897855,0.804715,0.5111731,0.81393737,0.6815164,0.99095577,0.992243,0.9888198,0.99803704,0.9972332,0.97969955,0.7695753,0.694331,0.824579,0.94764805,0.809712,0.9017695,0.9078022,0.8759482,0.7426273,0.9772309,0.9957938,0.9798606,0.9944905,0.99332905,0.8857947,0.6089688,0.66339797,0.8720208,0.8439528
test0
test0_mountain xxmf dew_1,test0_mountain xxmf dew_2,test0_mountain xxmf dew_5,test0_mountain xxmf dew_4,test0_mountain xxmf dew_3,test0_7up_1,test0_7up_2,test0_7up_5,test0_7up_4,test0_7up_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3
mountain xxmf dew,coca xxmf cola,mountain xxmf dew,7up,coca xxmf cola,7up,7up,7up,mountain xxmf dew,7up,7up,7up,coca xxmf cola,7up,7up
0.9096315,0.5806689,0.9290931,0.9408802,0.54569674,0.77558684,0.99167436,0.5985644,0.53124475,0.98170036,0.9882032,0.9839686,0.5139602,0.9826072,0.99002993
test
test1_mountain xxmf dew_1,test1_mountain xxmf dew_2,test1_mountain xxmf dew_5,test1_mountain xxmf dew_4,test1_mountain xxmf dew_3,test1_7up_1,test1_7up_2,test1_7up_5,test1_7up_4,test1_7up_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3
mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,mountain xxmf dew,7up,7up,7up,7up,7up,7up,7up,7up,7up,7up
0.75897855,0.804715,0.5111731,0.81393737,0.6815164,0.99095577,0.992243,0.9888198,0.99803704,0.9972332,0.97969955,0.7695753,0.694331,0.824579,0.94764805
