test all
test0_parsley_1,test0_parsley_2,test0_parsley_5,test0_parsley_4,test0_parsley_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test1_parsley_1,test1_parsley_2,test1_parsley_5,test1_parsley_4,test1_parsley_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3
parsley,parsley,parsley,parsley,parsley,paprika,cinnamon,paprika,paprika,paprika,paprika,parsley,parsley,parsley,parsley,paprika,parsley,parsley,parsley,parsley,paprika,paprika,paprika,paprika,paprika,paprika,parsley,parsley,paprika,paprika
0.9605654,0.9976674,0.9970974,0.7413479,0.99889743,0.44060248,0.3484284,0.50188303,0.472457,0.59627426,0.3833092,0.9489202,0.906459,0.8445833,0.9518949,0.46875155,0.9269049,0.9342009,0.9466238,0.89302707,0.57094544,0.51785994,0.62091243,0.59287983,0.5873045,0.58815527,0.5298466,0.56537604,0.59852654,0.63816726
test0
test0_parsley_1,test0_parsley_2,test0_parsley_5,test0_parsley_4,test0_parsley_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3
parsley,parsley,parsley,parsley,parsley,paprika,cinnamon,paprika,paprika,paprika,paprika,parsley,parsley,parsley,parsley
0.9605654,0.9976674,0.9970974,0.7413479,0.99889743,0.44060248,0.3484284,0.50188303,0.472457,0.59627426,0.3833092,0.9489202,0.906459,0.8445833,0.9518949
test
test1_parsley_1,test1_parsley_2,test1_parsley_5,test1_parsley_4,test1_parsley_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3
paprika,parsley,parsley,parsley,parsley,paprika,paprika,paprika,paprika,paprika,paprika,parsley,parsley,paprika,paprika
0.46875155,0.9269049,0.9342009,0.9466238,0.89302707,0.57094544,0.51785994,0.62091243,0.59287983,0.5873045,0.58815527,0.5298466,0.56537604,0.59852654,0.63816726
