test all
test0_tea_1,test0_tea_2,test0_tea_5,test0_tea_4,test0_tea_3,test0_milk_1,test0_milk_2,test0_milk_5,test0_milk_4,test0_milk_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3,test1_tea_1,test1_tea_2,test1_tea_5,test1_tea_4,test1_tea_3,test1_milk_1,test1_milk_2,test1_milk_5,test1_milk_4,test1_milk_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3,test2_tea_1,test2_tea_2,test2_tea_5,test2_tea_4,test2_tea_3,test2_milk_1,test2_milk_2,test2_milk_5,test2_milk_4,test2_milk_3,test2_coca xxmf cola_1,test2_coca xxmf cola_2,test2_coca xxmf cola_5,test2_coca xxmf cola_4,test2_coca xxmf cola_3
coca xxmf cola,tea,tea,tea,tea,milk,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,tea,tea,tea,tea,tea,coca xxmf cola,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,tea,tea,tea,tea,tea,milk,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.6737173,0.97830373,0.9756021,0.94179463,0.9164979,0.9890731,0.99227554,0.9911383,0.9898982,0.9965025,0.51229644,0.9762334,0.70074636,0.9472362,0.9149214,0.96799403,0.91084665,0.9726266,0.8744104,0.9341994,0.9031428,0.9951441,0.98757756,0.9836895,0.9956059,0.9408831,0.9161049,0.9659572,0.9777354,0.9274221,0.5902016,0.96534073,0.9645699,0.9311225,0.9099627,0.9973953,0.99621624,0.9937418,0.9893931,0.9864889,0.74765,0.92736375,0.9465441,0.88058275,0.8733514
test0
test0_tea_1,test0_tea_2,test0_tea_5,test0_tea_4,test0_tea_3,test0_milk_1,test0_milk_2,test0_milk_5,test0_milk_4,test0_milk_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3
coca xxmf cola,tea,tea,tea,tea,milk,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.6737173,0.97830373,0.9756021,0.94179463,0.9164979,0.9890731,0.99227554,0.9911383,0.9898982,0.9965025,0.51229644,0.9762334,0.70074636,0.9472362,0.9149214
test
test1_tea_1,test1_tea_2,test1_tea_5,test1_tea_4,test1_tea_3,test1_milk_1,test1_milk_2,test1_milk_5,test1_milk_4,test1_milk_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3
tea,tea,tea,tea,tea,coca xxmf cola,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.96799403,0.91084665,0.9726266,0.8744104,0.9341994,0.9031428,0.9951441,0.98757756,0.9836895,0.9956059,0.9408831,0.9161049,0.9659572,0.9777354,0.9274221
