test all
test0_tea_1,test0_tea_2,test0_tea_5,test0_tea_4,test0_tea_3,test0_milk_1,test0_milk_2,test0_milk_5,test0_milk_4,test0_milk_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3,test1_tea_1,test1_tea_2,test1_tea_5,test1_tea_4,test1_tea_3,test1_milk_1,test1_milk_2,test1_milk_5,test1_milk_4,test1_milk_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3,test2_tea_1,test2_tea_2,test2_tea_5,test2_tea_4,test2_tea_3,test2_milk_1,test2_milk_2,test2_milk_5,test2_milk_4,test2_milk_3,test2_coca xxmf cola_1,test2_coca xxmf cola_2,test2_coca xxmf cola_5,test2_coca xxmf cola_4,test2_coca xxmf cola_3
coca xxmf cola,tea,tea,tea,tea,milk,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,tea,tea,tea,tea,tea,coca xxmf cola,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,tea,tea,tea,tea,tea,milk,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.65081424,0.9786444,0.9747474,0.9433881,0.9253013,0.9888382,0.9924695,0.9906002,0.99065816,0.99631065,0.49961042,0.9776494,0.7073001,0.95171636,0.91935897,0.96972275,0.91048855,0.97285336,0.87502307,0.9343504,0.9044843,0.99535346,0.98764205,0.9834494,0.99540025,0.9436977,0.9189432,0.96818495,0.97929513,0.9346704,0.61810607,0.9692728,0.96391743,0.9346219,0.9130283,0.9972838,0.99614066,0.9936586,0.9896192,0.9865703,0.7638771,0.9333207,0.9493391,0.89492005,0.88444465
test0
test0_tea_1,test0_tea_2,test0_tea_5,test0_tea_4,test0_tea_3,test0_milk_1,test0_milk_2,test0_milk_5,test0_milk_4,test0_milk_3,test0_coca xxmf cola_1,test0_coca xxmf cola_2,test0_coca xxmf cola_5,test0_coca xxmf cola_4,test0_coca xxmf cola_3
coca xxmf cola,tea,tea,tea,tea,milk,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.65081424,0.9786444,0.9747474,0.9433881,0.9253013,0.9888382,0.9924695,0.9906002,0.99065816,0.99631065,0.49961042,0.9776494,0.7073001,0.95171636,0.91935897
test
test1_tea_1,test1_tea_2,test1_tea_5,test1_tea_4,test1_tea_3,test1_milk_1,test1_milk_2,test1_milk_5,test1_milk_4,test1_milk_3,test1_coca xxmf cola_1,test1_coca xxmf cola_2,test1_coca xxmf cola_5,test1_coca xxmf cola_4,test1_coca xxmf cola_3
tea,tea,tea,tea,tea,coca xxmf cola,milk,milk,milk,milk,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola,coca xxmf cola
0.96972275,0.91048855,0.97285336,0.87502307,0.9343504,0.9044843,0.99535346,0.98764205,0.9834494,0.99540025,0.9436977,0.9189432,0.96818495,0.97929513,0.9346704
