test all
test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3,test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3,test2_lucky xxmf charms_1,test2_lucky xxmf charms_2,test2_lucky xxmf charms_5,test2_lucky xxmf charms_4,test2_lucky xxmf charms_3,test2_cheerios_1,test2_cheerios_2,test2_cheerios_5,test2_cheerios_4,test2_cheerios_3,test2_apple xxmf jacks_1,test2_apple xxmf jacks_2,test2_apple xxmf jacks_5,test2_apple xxmf jacks_4,test2_apple xxmf jacks_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,lucky xxmf charms,lucky xxmf charms,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,cheerios,lucky xxmf charms,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms
0.983133,0.9907718,0.99727494,0.9963701,0.9956872,0.9853656,0.9919751,0.98902786,0.9911349,0.98822427,0.78520226,0.5867241,0.506002,0.5659764,0.5660736,0.9913611,0.9953791,0.99645764,0.9960569,0.98860735,0.98017794,0.9871975,0.9699163,0.97610664,0.9818351,0.45351857,0.4282571,0.4774166,0.5142306,0.5006881,0.9898114,0.9968274,0.99584335,0.98816186,0.99309796,0.98200166,0.9582671,0.90083575,0.9449156,0.9601909,0.37323135,0.41349244,0.47206244,0.52220213,0.39754632
test0
test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms
0.983133,0.9907718,0.99727494,0.9963701,0.9956872,0.9853656,0.9919751,0.98902786,0.9911349,0.98822427,0.78520226,0.5867241,0.506002,0.5659764,0.5660736
test
test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,lucky xxmf charms,lucky xxmf charms,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms
0.9913611,0.9953791,0.99645764,0.9960569,0.98860735,0.98017794,0.9871975,0.9699163,0.97610664,0.9818351,0.45351857,0.4282571,0.4774166,0.5142306,0.5006881
