test all
test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3,test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3,test2_lucky xxmf charms_1,test2_lucky xxmf charms_2,test2_lucky xxmf charms_5,test2_lucky xxmf charms_4,test2_lucky xxmf charms_3,test2_cheerios_1,test2_cheerios_2,test2_cheerios_5,test2_cheerios_4,test2_cheerios_3,test2_apple xxmf jacks_1,test2_apple xxmf jacks_2,test2_apple xxmf jacks_5,test2_apple xxmf jacks_4,test2_apple xxmf jacks_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,lucky xxmf charms,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,cheerios,lucky xxmf charms,apple xxmf jacks,apple xxmf jacks,cheerios
0.9804652,0.98913515,0.9970048,0.99598014,0.9950546,0.98564917,0.9924973,0.98884004,0.9914853,0.98872596,0.7901073,0.61219835,0.48979482,0.54677343,0.5526146,0.9905303,0.99506915,0.9959474,0.9955889,0.9876945,0.980305,0.9870784,0.9709671,0.97633594,0.98165625,0.43800363,0.42188492,0.49340725,0.52618194,0.4859708,0.9887466,0.9964132,0.99530596,0.98601276,0.99235076,0.9824645,0.95831746,0.90097964,0.94792944,0.96077573,0.3869307,0.38710386,0.47963834,0.5361897,0.38448155
test0
test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_apple xxmf jacks_1,test0_apple xxmf jacks_2,test0_apple xxmf jacks_5,test0_apple xxmf jacks_4,test0_apple xxmf jacks_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms
0.9804652,0.98913515,0.9970048,0.99598014,0.9950546,0.98564917,0.9924973,0.98884004,0.9914853,0.98872596,0.7901073,0.61219835,0.48979482,0.54677343,0.5526146
test
test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_apple xxmf jacks_1,test1_apple xxmf jacks_2,test1_apple xxmf jacks_5,test1_apple xxmf jacks_4,test1_apple xxmf jacks_3
lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,cheerios,cheerios,cheerios,cheerios,cheerios,lucky xxmf charms,apple xxmf jacks,apple xxmf jacks,apple xxmf jacks,lucky xxmf charms
0.9905303,0.99506915,0.9959474,0.9955889,0.9876945,0.980305,0.9870784,0.9709671,0.97633594,0.98165625,0.43800363,0.42188492,0.49340725,0.52618194,0.4859708
