test all
test0_cayenne xxmf pepper_1,test0_cayenne xxmf pepper_2,test0_cayenne xxmf pepper_5,test0_cayenne xxmf pepper_4,test0_cayenne xxmf pepper_3,test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test1_cayenne xxmf pepper_1,test1_cayenne xxmf pepper_2,test1_cayenne xxmf pepper_5,test1_cayenne xxmf pepper_4,test1_cayenne xxmf pepper_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test2_cayenne xxmf pepper_1,test2_cayenne xxmf pepper_2,test2_cayenne xxmf pepper_5,test2_cayenne xxmf pepper_4,test2_cayenne xxmf pepper_3,test2_cumin_1,test2_cumin_2,test2_cumin_5,test2_cumin_4,test2_cumin_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3
cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder
0.94126135,0.90102714,0.96864295,0.9204457,0.9597293,0.62352514,0.55746776,0.55929446,0.5301648,0.6324045,0.9505047,0.96718216,0.97173506,0.9737916,0.9748505,0.94801646,0.92848176,0.938079,0.873974,0.9027561,0.9746134,0.8456218,0.6864698,0.6332936,0.6767109,0.98687685,0.97628003,0.70240736,0.9559508,0.98704576,0.8514232,0.9258742,0.9098756,0.92375517,0.76048505,0.9515323,0.86689365,0.87025046,0.8248205,0.8868249,0.9870007,0.87812275,0.97853994,0.9731049,0.9873996
test0
test0_cayenne xxmf pepper_1,test0_cayenne xxmf pepper_2,test0_cayenne xxmf pepper_5,test0_cayenne xxmf pepper_4,test0_cayenne xxmf pepper_3,test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3
cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder
0.94126135,0.90102714,0.96864295,0.9204457,0.9597293,0.62352514,0.55746776,0.55929446,0.5301648,0.6324045,0.9505047,0.96718216,0.97173506,0.9737916,0.9748505
test
test1_cayenne xxmf pepper_1,test1_cayenne xxmf pepper_2,test1_cayenne xxmf pepper_5,test1_cayenne xxmf pepper_4,test1_cayenne xxmf pepper_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3
chili xxmf powder,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder
0.94801646,0.92848176,0.938079,0.873974,0.9027561,0.9746134,0.8456218,0.6864698,0.6332936,0.6767109,0.98687685,0.97628003,0.70240736,0.9559508,0.98704576
