test all
test0_cayenne xxmf pepper_1,test0_cayenne xxmf pepper_2,test0_cayenne xxmf pepper_5,test0_cayenne xxmf pepper_4,test0_cayenne xxmf pepper_3,test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3,test1_cayenne xxmf pepper_1,test1_cayenne xxmf pepper_2,test1_cayenne xxmf pepper_5,test1_cayenne xxmf pepper_4,test1_cayenne xxmf pepper_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3,test2_cayenne xxmf pepper_1,test2_cayenne xxmf pepper_2,test2_cayenne xxmf pepper_5,test2_cayenne xxmf pepper_4,test2_cayenne xxmf pepper_3,test2_cumin_1,test2_cumin_2,test2_cumin_5,test2_cumin_4,test2_cumin_3,test2_chili xxmf powder_1,test2_chili xxmf powder_2,test2_chili xxmf powder_5,test2_chili xxmf powder_4,test2_chili xxmf powder_3
cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder
0.93513334,0.91859674,0.972032,0.9391787,0.9678985,0.6119935,0.5248733,0.5045319,0.4647735,0.5616174,0.9401086,0.96152395,0.9679748,0.9698509,0.9708483,0.94779515,0.9275418,0.9339352,0.85777617,0.8931445,0.9764063,0.84569347,0.6960462,0.6292359,0.64901996,0.9869419,0.974362,0.6947753,0.95566666,0.98626167,0.8395862,0.92661655,0.91130775,0.91866225,0.79089266,0.94764066,0.8114121,0.8750913,0.80173266,0.8871901,0.9867577,0.8640791,0.9754479,0.9693127,0.985623
test0
test0_cayenne xxmf pepper_1,test0_cayenne xxmf pepper_2,test0_cayenne xxmf pepper_5,test0_cayenne xxmf pepper_4,test0_cayenne xxmf pepper_3,test0_cumin_1,test0_cumin_2,test0_cumin_5,test0_cumin_4,test0_cumin_3,test0_chili xxmf powder_1,test0_chili xxmf powder_2,test0_chili xxmf powder_5,test0_chili xxmf powder_4,test0_chili xxmf powder_3
cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder
0.93513334,0.91859674,0.972032,0.9391787,0.9678985,0.6119935,0.5248733,0.5045319,0.4647735,0.5616174,0.9401086,0.96152395,0.9679748,0.9698509,0.9708483
test
test1_cayenne xxmf pepper_1,test1_cayenne xxmf pepper_2,test1_cayenne xxmf pepper_5,test1_cayenne xxmf pepper_4,test1_cayenne xxmf pepper_3,test1_cumin_1,test1_cumin_2,test1_cumin_5,test1_cumin_4,test1_cumin_3,test1_chili xxmf powder_1,test1_chili xxmf powder_2,test1_chili xxmf powder_5,test1_chili xxmf powder_4,test1_chili xxmf powder_3
chili xxmf powder,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,cayenne xxmf pepper,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder,chili xxmf powder
0.94779515,0.9275418,0.9339352,0.85777617,0.8931445,0.9764063,0.84569347,0.6960462,0.6292359,0.64901996,0.9869419,0.974362,0.6947753,0.95566666,0.98626167
