test all
test0_pork xxmf rinds xxmf _1,test0_pork xxmf rinds xxmf _2,test0_pork xxmf rinds xxmf _5,test0_pork xxmf rinds xxmf _4,test0_pork xxmf rinds xxmf _3,test0_apples_1,test0_apples_2,test0_apples_5,test0_apples_4,test0_apples_3,test0_lunch xxmf meat xxmf _1,test0_lunch xxmf meat xxmf _2,test0_lunch xxmf meat xxmf _5,test0_lunch xxmf meat xxmf _4,test0_lunch xxmf meat xxmf _3,test1_pork xxmf rinds xxmf _1,test1_pork xxmf rinds xxmf _2,test1_pork xxmf rinds xxmf _5,test1_pork xxmf rinds xxmf _4,test1_pork xxmf rinds xxmf _3,test1_apples_1,test1_apples_2,test1_apples_5,test1_apples_4,test1_apples_3,test1_lunch xxmf meat xxmf _1,test1_lunch xxmf meat xxmf _2,test1_lunch xxmf meat xxmf _5,test1_lunch xxmf meat xxmf _4,test1_lunch xxmf meat xxmf _3,test2_pork xxmf rinds xxmf _1,test2_pork xxmf rinds xxmf _2,test2_pork xxmf rinds xxmf _5,test2_pork xxmf rinds xxmf _4,test2_pork xxmf rinds xxmf _3,test2_apples_1,test2_apples_2,test2_apples_5,test2_apples_4,test2_apples_3,test2_lunch xxmf meat xxmf _1,test2_lunch xxmf meat xxmf _2,test2_lunch xxmf meat xxmf _5,test2_lunch xxmf meat xxmf _4,test2_lunch xxmf meat xxmf _3
pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,apples,apples,apples,apples,apples,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,apples,apples,apples,apples,apples,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,apples,apples,apples,apples,apples,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf
0.9898162,0.9963368,0.9957344,0.99306834,0.99421704,0.91838837,0.9558909,0.9746198,0.96632487,0.9305787,0.95117897,0.9641964,0.9200981,0.8627522,0.96701485,0.99464875,0.9927918,0.99600804,0.9963319,0.99529845,0.9848809,0.95054317,0.9637913,0.96490777,0.97104305,0.91472715,0.8353705,0.94003224,0.9513484,0.9413256,0.9943441,0.9982663,0.9940361,0.99932086,0.9976439,0.9139003,0.9496803,0.9675694,0.918687,0.97342515,0.95884216,0.9729065,0.9456395,0.9679987,0.98562026
test0
test0_pork xxmf rinds xxmf _1,test0_pork xxmf rinds xxmf _2,test0_pork xxmf rinds xxmf _5,test0_pork xxmf rinds xxmf _4,test0_pork xxmf rinds xxmf _3,test0_apples_1,test0_apples_2,test0_apples_5,test0_apples_4,test0_apples_3,test0_lunch xxmf meat xxmf _1,test0_lunch xxmf meat xxmf _2,test0_lunch xxmf meat xxmf _5,test0_lunch xxmf meat xxmf _4,test0_lunch xxmf meat xxmf _3
pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,apples,apples,apples,apples,apples,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf
0.9898162,0.9963368,0.9957344,0.99306834,0.99421704,0.91838837,0.9558909,0.9746198,0.96632487,0.9305787,0.95117897,0.9641964,0.9200981,0.8627522,0.96701485
test
test1_pork xxmf rinds xxmf _1,test1_pork xxmf rinds xxmf _2,test1_pork xxmf rinds xxmf _5,test1_pork xxmf rinds xxmf _4,test1_pork xxmf rinds xxmf _3,test1_apples_1,test1_apples_2,test1_apples_5,test1_apples_4,test1_apples_3,test1_lunch xxmf meat xxmf _1,test1_lunch xxmf meat xxmf _2,test1_lunch xxmf meat xxmf _5,test1_lunch xxmf meat xxmf _4,test1_lunch xxmf meat xxmf _3
pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,pork xxmf rinds xxmf,apples,apples,apples,apples,apples,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf,lunch xxmf meat xxmf
0.99464875,0.9927918,0.99600804,0.9963319,0.99529845,0.9848809,0.95054317,0.9637913,0.96490777,0.97104305,0.91472715,0.8353705,0.94003224,0.9513484,0.9413256
