test all
test0_milk_1,test0_milk_2,test0_milk_5,test0_milk_4,test0_milk_3,test0_orange xxmf juice_1,test0_orange xxmf juice_2,test0_orange xxmf juice_5,test0_orange xxmf juice_4,test0_orange xxmf juice_3,test0_v8 xxmf juice_1,test0_v8 xxmf juice_2,test0_v8 xxmf juice_5,test0_v8 xxmf juice_4,test0_v8 xxmf juice_3,test1_milk_1,test1_milk_2,test1_milk_5,test1_milk_4,test1_milk_3,test1_orange xxmf juice_1,test1_orange xxmf juice_2,test1_orange xxmf juice_5,test1_orange xxmf juice_4,test1_orange xxmf juice_3,test1_v8 xxmf juice_1,test1_v8 xxmf juice_2,test1_v8 xxmf juice_5,test1_v8 xxmf juice_4,test1_v8 xxmf juice_3,test2_milk_1,test2_milk_2,test2_milk_5,test2_milk_4,test2_milk_3,test2_orange xxmf juice_1,test2_orange xxmf juice_2,test2_orange xxmf juice_5,test2_orange xxmf juice_4,test2_orange xxmf juice_3,test2_v8 xxmf juice_1,test2_v8 xxmf juice_2,test2_v8 xxmf juice_5,test2_v8 xxmf juice_4,test2_v8 xxmf juice_3
milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,milk,milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice
0.9903409,0.9912676,0.99813545,0.9981048,0.99771994,0.9929813,0.9955389,0.99712014,0.9968561,0.9946408,0.9845621,0.98310274,0.97669286,0.95955276,0.9824158,0.9878715,0.99492633,0.9925167,0.9651118,0.96479404,0.96876734,0.99825114,0.98986393,0.9879098,0.992535,0.9716635,0.98748636,0.9781181,0.9830079,0.96620685,0.9978041,0.98775464,0.9880251,0.99293363,0.97421163,0.9841532,0.9921853,0.97714406,0.98122907,0.9685342,0.9363529,0.93245804,0.8942224,0.92928725,0.8853714
test0
test0_milk_1,test0_milk_2,test0_milk_5,test0_milk_4,test0_milk_3,test0_orange xxmf juice_1,test0_orange xxmf juice_2,test0_orange xxmf juice_5,test0_orange xxmf juice_4,test0_orange xxmf juice_3,test0_v8 xxmf juice_1,test0_v8 xxmf juice_2,test0_v8 xxmf juice_5,test0_v8 xxmf juice_4,test0_v8 xxmf juice_3
milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice
0.9903409,0.9912676,0.99813545,0.9981048,0.99771994,0.9929813,0.9955389,0.99712014,0.9968561,0.9946408,0.9845621,0.98310274,0.97669286,0.95955276,0.9824158
test
test1_milk_1,test1_milk_2,test1_milk_5,test1_milk_4,test1_milk_3,test1_orange xxmf juice_1,test1_orange xxmf juice_2,test1_orange xxmf juice_5,test1_orange xxmf juice_4,test1_orange xxmf juice_3,test1_v8 xxmf juice_1,test1_v8 xxmf juice_2,test1_v8 xxmf juice_5,test1_v8 xxmf juice_4,test1_v8 xxmf juice_3
milk,milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice
0.9878715,0.99492633,0.9925167,0.9651118,0.96479404,0.96876734,0.99825114,0.98986393,0.9879098,0.992535,0.9716635,0.98748636,0.9781181,0.9830079,0.96620685
