test all
test0_milk_1,test0_milk_2,test0_milk_5,test0_milk_4,test0_milk_3,test0_orange xxmf juice_1,test0_orange xxmf juice_2,test0_orange xxmf juice_5,test0_orange xxmf juice_4,test0_orange xxmf juice_3,test0_v8 xxmf juice_1,test0_v8 xxmf juice_2,test0_v8 xxmf juice_5,test0_v8 xxmf juice_4,test0_v8 xxmf juice_3,test1_milk_1,test1_milk_2,test1_milk_5,test1_milk_4,test1_milk_3,test1_orange xxmf juice_1,test1_orange xxmf juice_2,test1_orange xxmf juice_5,test1_orange xxmf juice_4,test1_orange xxmf juice_3,test1_v8 xxmf juice_1,test1_v8 xxmf juice_2,test1_v8 xxmf juice_5,test1_v8 xxmf juice_4,test1_v8 xxmf juice_3,test2_milk_1,test2_milk_2,test2_milk_5,test2_milk_4,test2_milk_3,test2_orange xxmf juice_1,test2_orange xxmf juice_2,test2_orange xxmf juice_5,test2_orange xxmf juice_4,test2_orange xxmf juice_3,test2_v8 xxmf juice_1,test2_v8 xxmf juice_2,test2_v8 xxmf juice_5,test2_v8 xxmf juice_4,test2_v8 xxmf juice_3
milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,milk,milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice
0.9907425,0.99098516,0.9984926,0.99842983,0.9974789,0.9935108,0.99581605,0.9967861,0.99674606,0.99478614,0.9860821,0.9842978,0.9774982,0.95973337,0.983423,0.99014425,0.9949852,0.99266195,0.95928085,0.95840657,0.9627444,0.99833196,0.98860943,0.98788506,0.9942095,0.9707682,0.98750675,0.9770139,0.9823009,0.96440315,0.9978428,0.9855527,0.98704356,0.9916419,0.9706608,0.98833114,0.9938059,0.98091114,0.9856765,0.9773991,0.9348469,0.9280677,0.89663696,0.9320802,0.8745287
test0
test0_milk_1,test0_milk_2,test0_milk_5,test0_milk_4,test0_milk_3,test0_orange xxmf juice_1,test0_orange xxmf juice_2,test0_orange xxmf juice_5,test0_orange xxmf juice_4,test0_orange xxmf juice_3,test0_v8 xxmf juice_1,test0_v8 xxmf juice_2,test0_v8 xxmf juice_5,test0_v8 xxmf juice_4,test0_v8 xxmf juice_3
milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice
0.9907425,0.99098516,0.9984926,0.99842983,0.9974789,0.9935108,0.99581605,0.9967861,0.99674606,0.99478614,0.9860821,0.9842978,0.9774982,0.95973337,0.983423
test
test1_milk_1,test1_milk_2,test1_milk_5,test1_milk_4,test1_milk_3,test1_orange xxmf juice_1,test1_orange xxmf juice_2,test1_orange xxmf juice_5,test1_orange xxmf juice_4,test1_orange xxmf juice_3,test1_v8 xxmf juice_1,test1_v8 xxmf juice_2,test1_v8 xxmf juice_5,test1_v8 xxmf juice_4,test1_v8 xxmf juice_3
milk,milk,milk,milk,milk,milk,orange xxmf juice,orange xxmf juice,orange xxmf juice,orange xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice,v8 xxmf juice
0.99014425,0.9949852,0.99266195,0.95928085,0.95840657,0.9627444,0.99833196,0.98860943,0.98788506,0.9942095,0.9707682,0.98750675,0.9770139,0.9823009,0.96440315
