test all
test0_bay xxmf leaves_1,test0_bay xxmf leaves_2,test0_bay xxmf leaves_5,test0_bay xxmf leaves_4,test0_bay xxmf leaves_3,test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_crushed xxmf red xxmf pepper_1,test0_crushed xxmf red xxmf pepper_2,test0_crushed xxmf red xxmf pepper_5,test0_crushed xxmf red xxmf pepper_4,test0_crushed xxmf red xxmf pepper_3,test1_bay xxmf leaves_1,test1_bay xxmf leaves_2,test1_bay xxmf leaves_5,test1_bay xxmf leaves_4,test1_bay xxmf leaves_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_crushed xxmf red xxmf pepper_1,test1_crushed xxmf red xxmf pepper_2,test1_crushed xxmf red xxmf pepper_5,test1_crushed xxmf red xxmf pepper_4,test1_crushed xxmf red xxmf pepper_3,test2_bay xxmf leaves_1,test2_bay xxmf leaves_2,test2_bay xxmf leaves_5,test2_bay xxmf leaves_4,test2_bay xxmf leaves_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_crushed xxmf red xxmf pepper_1,test2_crushed xxmf red xxmf pepper_2,test2_crushed xxmf red xxmf pepper_5,test2_crushed xxmf red xxmf pepper_4,test2_crushed xxmf red xxmf pepper_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper
0.9845552,0.59251195,0.49063596,0.60157436,0.71992415,0.99190676,0.9981658,0.99448353,0.9977054,0.99364364,0.9311194,0.92180014,0.9564749,0.96167344,0.9583139,0.9679822,0.9688413,0.96511114,0.979198,0.9647315,0.6664095,0.59407973,0.65262794,0.44674167,0.46135777,0.7359745,0.92569375,0.74003345,0.8920947,0.7393648,0.9828614,0.97700864,0.92612433,0.9433693,0.9689257,0.56471,0.47156438,0.6128021,0.6301218,0.61906755,0.7704869,0.76059794,0.8005518,0.6888831,0.8310342
test0
test0_bay xxmf leaves_1,test0_bay xxmf leaves_2,test0_bay xxmf leaves_5,test0_bay xxmf leaves_4,test0_bay xxmf leaves_3,test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_crushed xxmf red xxmf pepper_1,test0_crushed xxmf red xxmf pepper_2,test0_crushed xxmf red xxmf pepper_5,test0_crushed xxmf red xxmf pepper_4,test0_crushed xxmf red xxmf pepper_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder
0.9845552,0.59251195,0.49063596,0.60157436,0.71992415,0.99190676,0.9981658,0.99448353,0.9977054,0.99364364,0.9311194,0.92180014,0.9564749,0.96167344,0.9583139
test
test1_bay xxmf leaves_1,test1_bay xxmf leaves_2,test1_bay xxmf leaves_5,test1_bay xxmf leaves_4,test1_bay xxmf leaves_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_crushed xxmf red xxmf pepper_1,test1_crushed xxmf red xxmf pepper_2,test1_crushed xxmf red xxmf pepper_5,test1_crushed xxmf red xxmf pepper_4,test1_crushed xxmf red xxmf pepper_3
bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper
0.9679822,0.9688413,0.96511114,0.979198,0.9647315,0.6664095,0.59407973,0.65262794,0.44674167,0.46135777,0.7359745,0.92569375,0.74003345,0.8920947,0.7393648
