test all
test0_bay xxmf leaves_1,test0_bay xxmf leaves_2,test0_bay xxmf leaves_5,test0_bay xxmf leaves_4,test0_bay xxmf leaves_3,test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_crushed xxmf red xxmf pepper_1,test0_crushed xxmf red xxmf pepper_2,test0_crushed xxmf red xxmf pepper_5,test0_crushed xxmf red xxmf pepper_4,test0_crushed xxmf red xxmf pepper_3,test1_bay xxmf leaves_1,test1_bay xxmf leaves_2,test1_bay xxmf leaves_5,test1_bay xxmf leaves_4,test1_bay xxmf leaves_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_crushed xxmf red xxmf pepper_1,test1_crushed xxmf red xxmf pepper_2,test1_crushed xxmf red xxmf pepper_5,test1_crushed xxmf red xxmf pepper_4,test1_crushed xxmf red xxmf pepper_3,test2_bay xxmf leaves_1,test2_bay xxmf leaves_2,test2_bay xxmf leaves_5,test2_bay xxmf leaves_4,test2_bay xxmf leaves_3,test2_onion xxmf powder_1,test2_onion xxmf powder_2,test2_onion xxmf powder_5,test2_onion xxmf powder_4,test2_onion xxmf powder_3,test2_crushed xxmf red xxmf pepper_1,test2_crushed xxmf red xxmf pepper_2,test2_crushed xxmf red xxmf pepper_5,test2_crushed xxmf red xxmf pepper_4,test2_crushed xxmf red xxmf pepper_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper
0.9856419,0.62517697,0.5242273,0.6402832,0.7439804,0.9926681,0.9984213,0.9950734,0.99805355,0.9945464,0.9405722,0.93490386,0.96180826,0.96720874,0.9662446,0.9654209,0.96266025,0.95620626,0.97228336,0.9537982,0.6859776,0.6173675,0.67156035,0.4757577,0.49264684,0.73962104,0.93292844,0.75377184,0.8911894,0.7426654,0.97911,0.96953154,0.89244145,0.9329237,0.962552,0.5924247,0.49428338,0.62161255,0.63867486,0.63753635,0.7886069,0.7852138,0.8122407,0.7083177,0.8453754
test0
test0_bay xxmf leaves_1,test0_bay xxmf leaves_2,test0_bay xxmf leaves_5,test0_bay xxmf leaves_4,test0_bay xxmf leaves_3,test0_onion xxmf powder_1,test0_onion xxmf powder_2,test0_onion xxmf powder_5,test0_onion xxmf powder_4,test0_onion xxmf powder_3,test0_crushed xxmf red xxmf pepper_1,test0_crushed xxmf red xxmf pepper_2,test0_crushed xxmf red xxmf pepper_5,test0_crushed xxmf red xxmf pepper_4,test0_crushed xxmf red xxmf pepper_3
onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder,onion xxmf powder
0.9856419,0.62517697,0.5242273,0.6402832,0.7439804,0.9926681,0.9984213,0.9950734,0.99805355,0.9945464,0.9405722,0.93490386,0.96180826,0.96720874,0.9662446
test
test1_bay xxmf leaves_1,test1_bay xxmf leaves_2,test1_bay xxmf leaves_5,test1_bay xxmf leaves_4,test1_bay xxmf leaves_3,test1_onion xxmf powder_1,test1_onion xxmf powder_2,test1_onion xxmf powder_5,test1_onion xxmf powder_4,test1_onion xxmf powder_3,test1_crushed xxmf red xxmf pepper_1,test1_crushed xxmf red xxmf pepper_2,test1_crushed xxmf red xxmf pepper_5,test1_crushed xxmf red xxmf pepper_4,test1_crushed xxmf red xxmf pepper_3
bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,bay xxmf leaves,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper,crushed xxmf red xxmf pepper
0.9654209,0.96266025,0.95620626,0.97228336,0.9537982,0.6859776,0.6173675,0.67156035,0.4757577,0.49264684,0.73962104,0.93292844,0.75377184,0.8911894,0.7426654
