test all
test0_dasani_1,test0_dasani_2,test0_dasani_5,test0_dasani_4,test0_dasani_3,test0_diet xxmf coke_1,test0_diet xxmf coke_2,test0_diet xxmf coke_5,test0_diet xxmf coke_4,test0_diet xxmf coke_3,test0_oral xxmf solution_1,test0_oral xxmf solution_2,test0_oral xxmf solution_5,test0_oral xxmf solution_4,test0_oral xxmf solution_3,test1_dasani_1,test1_dasani_2,test1_dasani_5,test1_dasani_4,test1_dasani_3,test1_diet xxmf coke_1,test1_diet xxmf coke_2,test1_diet xxmf coke_5,test1_diet xxmf coke_4,test1_diet xxmf coke_3,test1_oral xxmf solution_1,test1_oral xxmf solution_2,test1_oral xxmf solution_5,test1_oral xxmf solution_4,test1_oral xxmf solution_3,test2_dasani_1,test2_dasani_2,test2_dasani_5,test2_dasani_4,test2_dasani_3,test2_diet xxmf coke_1,test2_diet xxmf coke_2,test2_diet xxmf coke_5,test2_diet xxmf coke_4,test2_diet xxmf coke_3,test2_oral xxmf solution_1,test2_oral xxmf solution_2,test2_oral xxmf solution_5,test2_oral xxmf solution_4,test2_oral xxmf solution_3
dasani,dasani,dasani,dasani,dasani,dasani,diet xxmf coke,dasani,dasani,diet xxmf coke,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,oral xxmf solution,dasani,oral xxmf solution,oral xxmf solution,oral xxmf solution,dasani,dasani,dasani,dasani,dasani,diet xxmf coke,dasani,dasani,dasani,dasani,oral xxmf solution,oral xxmf solution,oral xxmf solution,oral xxmf solution,oral xxmf solution
0.88017184,0.68708104,0.90758896,0.94155055,0.48440075,0.6715885,0.50079,0.5121464,0.54946905,0.47004887,0.47779006,0.41396606,0.5880672,0.6719864,0.59021425,0.9086074,0.91280025,0.78198373,0.8928055,0.7740397,0.83035237,0.78505576,0.9115145,0.6242803,0.8020058,0.4438356,0.65909344,0.8011363,0.835395,0.7785484,0.8540086,0.7580782,0.9601767,0.8952413,0.9453397,0.44067934,0.58116984,0.53600526,0.61377823,0.8559331,0.632335,0.7938412,0.8595715,0.8662641,0.77830833
test0
test0_dasani_1,test0_dasani_2,test0_dasani_5,test0_dasani_4,test0_dasani_3,test0_diet xxmf coke_1,test0_diet xxmf coke_2,test0_diet xxmf coke_5,test0_diet xxmf coke_4,test0_diet xxmf coke_3,test0_oral xxmf solution_1,test0_oral xxmf solution_2,test0_oral xxmf solution_5,test0_oral xxmf solution_4,test0_oral xxmf solution_3
dasani,dasani,dasani,dasani,dasani,dasani,diet xxmf coke,dasani,dasani,diet xxmf coke,dasani,dasani,dasani,dasani,dasani
0.88017184,0.68708104,0.90758896,0.94155055,0.48440075,0.6715885,0.50079,0.5121464,0.54946905,0.47004887,0.47779006,0.41396606,0.5880672,0.6719864,0.59021425
test
test1_dasani_1,test1_dasani_2,test1_dasani_5,test1_dasani_4,test1_dasani_3,test1_diet xxmf coke_1,test1_diet xxmf coke_2,test1_diet xxmf coke_5,test1_diet xxmf coke_4,test1_diet xxmf coke_3,test1_oral xxmf solution_1,test1_oral xxmf solution_2,test1_oral xxmf solution_5,test1_oral xxmf solution_4,test1_oral xxmf solution_3
dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,oral xxmf solution,dasani,oral xxmf solution,oral xxmf solution,oral xxmf solution
0.9086074,0.91280025,0.78198373,0.8928055,0.7740397,0.83035237,0.78505576,0.9115145,0.6242803,0.8020058,0.4438356,0.65909344,0.8011363,0.835395,0.7785484
