test all
test0_dasani_1,test0_dasani_2,test0_dasani_5,test0_dasani_4,test0_dasani_3,test0_diet xxmf coke_1,test0_diet xxmf coke_2,test0_diet xxmf coke_5,test0_diet xxmf coke_4,test0_diet xxmf coke_3,test0_oral xxmf solution_1,test0_oral xxmf solution_2,test0_oral xxmf solution_5,test0_oral xxmf solution_4,test0_oral xxmf solution_3,test1_dasani_1,test1_dasani_2,test1_dasani_5,test1_dasani_4,test1_dasani_3,test1_diet xxmf coke_1,test1_diet xxmf coke_2,test1_diet xxmf coke_5,test1_diet xxmf coke_4,test1_diet xxmf coke_3,test1_oral xxmf solution_1,test1_oral xxmf solution_2,test1_oral xxmf solution_5,test1_oral xxmf solution_4,test1_oral xxmf solution_3,test2_dasani_1,test2_dasani_2,test2_dasani_5,test2_dasani_4,test2_dasani_3,test2_diet xxmf coke_1,test2_diet xxmf coke_2,test2_diet xxmf coke_5,test2_diet xxmf coke_4,test2_diet xxmf coke_3,test2_oral xxmf solution_1,test2_oral xxmf solution_2,test2_oral xxmf solution_5,test2_oral xxmf solution_4,test2_oral xxmf solution_3
dasani,dasani,dasani,dasani,dasani,dasani,diet xxmf coke,dasani,dasani,diet xxmf coke,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,oral xxmf solution,oral xxmf solution,oral xxmf solution,dasani,dasani,dasani,dasani,dasani,diet xxmf coke,dasani,dasani,dasani,dasani,oral xxmf solution,oral xxmf solution,oral xxmf solution,oral xxmf solution,oral xxmf solution
0.89566,0.71134436,0.9151118,0.94595194,0.53344274,0.67499787,0.50916934,0.51790434,0.5678294,0.47554293,0.47747308,0.4272997,0.6043751,0.6830244,0.5998162,0.9216502,0.9265894,0.84785706,0.9265102,0.8181879,0.8267482,0.80528533,0.9032329,0.6520736,0.82369006,0.4477619,0.6768752,0.78719264,0.8245174,0.73780245,0.875185,0.78842115,0.96873313,0.9108417,0.9490534,0.47427574,0.6112565,0.56654215,0.63800126,0.8456577,0.62499475,0.7814231,0.8519009,0.85769105,0.75892264
test0
test0_dasani_1,test0_dasani_2,test0_dasani_5,test0_dasani_4,test0_dasani_3,test0_diet xxmf coke_1,test0_diet xxmf coke_2,test0_diet xxmf coke_5,test0_diet xxmf coke_4,test0_diet xxmf coke_3,test0_oral xxmf solution_1,test0_oral xxmf solution_2,test0_oral xxmf solution_5,test0_oral xxmf solution_4,test0_oral xxmf solution_3
dasani,dasani,dasani,dasani,dasani,dasani,diet xxmf coke,dasani,dasani,diet xxmf coke,dasani,dasani,dasani,dasani,dasani
0.89566,0.71134436,0.9151118,0.94595194,0.53344274,0.67499787,0.50916934,0.51790434,0.5678294,0.47554293,0.47747308,0.4272997,0.6043751,0.6830244,0.5998162
test
test1_dasani_1,test1_dasani_2,test1_dasani_5,test1_dasani_4,test1_dasani_3,test1_diet xxmf coke_1,test1_diet xxmf coke_2,test1_diet xxmf coke_5,test1_diet xxmf coke_4,test1_diet xxmf coke_3,test1_oral xxmf solution_1,test1_oral xxmf solution_2,test1_oral xxmf solution_5,test1_oral xxmf solution_4,test1_oral xxmf solution_3
dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,dasani,oral xxmf solution,oral xxmf solution,oral xxmf solution
0.9216502,0.9265894,0.84785706,0.9265102,0.8181879,0.8267482,0.80528533,0.9032329,0.6520736,0.82369006,0.4477619,0.6768752,0.78719264,0.8245174,0.73780245
