test all
test0_pepper xxmf _1,test0_pepper xxmf _2,test0_pepper xxmf _5,test0_pepper xxmf _4,test0_pepper xxmf _3,test0_turmeric xxmf _1,test0_turmeric xxmf _2,test0_turmeric xxmf _5,test0_turmeric xxmf _4,test0_turmeric xxmf _3,test0_chilly xxmf _1,test0_chilly xxmf _2,test0_chilly xxmf _5,test0_chilly xxmf _4,test0_chilly xxmf _3,test1_pepper xxmf _1,test1_pepper xxmf _2,test1_pepper xxmf _5,test1_pepper xxmf _4,test1_pepper xxmf _3,test1_turmeric xxmf _1,test1_turmeric xxmf _2,test1_turmeric xxmf _5,test1_turmeric xxmf _4,test1_turmeric xxmf _3,test1_chilly xxmf _1,test1_chilly xxmf _2,test1_chilly xxmf _5,test1_chilly xxmf _4,test1_chilly xxmf _3
chilly xxmf,chilly xxmf,chilly xxmf,pepper xxmf,turmeric xxmf,turmeric xxmf,pepper xxmf,chilly xxmf,turmeric xxmf,chilly xxmf,chilly xxmf,chilly xxmf,turmeric xxmf,turmeric xxmf,chilly xxmf,pepper xxmf,pepper xxmf,pepper xxmf,pepper xxmf,pepper xxmf,pepper xxmf,pepper xxmf,turmeric xxmf,turmeric xxmf,turmeric xxmf,turmeric xxmf,pepper xxmf,chilly xxmf,chilly xxmf,pepper xxmf
0.48074186,0.6310112,0.4770694,0.8639322,0.48811564,0.47671977,0.6478185,0.54313385,0.8782137,0.5139818,0.69016564,0.37024197,0.6292375,0.8460089,0.45760196,0.9602698,0.895082,0.8788561,0.8909978,0.9458409,0.68151414,0.55805856,0.6717989,0.7269465,0.6751311,0.48747894,0.53641355,0.48197615,0.5269355,0.43219283
test0
test0_pepper xxmf _1,test0_pepper xxmf _2,test0_pepper xxmf _5,test0_pepper xxmf _4,test0_pepper xxmf _3,test0_turmeric xxmf _1,test0_turmeric xxmf _2,test0_turmeric xxmf _5,test0_turmeric xxmf _4,test0_turmeric xxmf _3,test0_chilly xxmf _1,test0_chilly xxmf _2,test0_chilly xxmf _5,test0_chilly xxmf _4,test0_chilly xxmf _3
chilly xxmf,chilly xxmf,chilly xxmf,pepper xxmf,turmeric xxmf,turmeric xxmf,pepper xxmf,chilly xxmf,turmeric xxmf,chilly xxmf,chilly xxmf,chilly xxmf,turmeric xxmf,turmeric xxmf,chilly xxmf
0.48074186,0.6310112,0.4770694,0.8639322,0.48811564,0.47671977,0.6478185,0.54313385,0.8782137,0.5139818,0.69016564,0.37024197,0.6292375,0.8460089,0.45760196
test
test1_pepper xxmf _1,test1_pepper xxmf _2,test1_pepper xxmf _5,test1_pepper xxmf _4,test1_pepper xxmf _3,test1_turmeric xxmf _1,test1_turmeric xxmf _2,test1_turmeric xxmf _5,test1_turmeric xxmf _4,test1_turmeric xxmf _3,test1_chilly xxmf _1,test1_chilly xxmf _2,test1_chilly xxmf _5,test1_chilly xxmf _4,test1_chilly xxmf _3
pepper xxmf,pepper xxmf,pepper xxmf,pepper xxmf,pepper xxmf,pepper xxmf,pepper xxmf,turmeric xxmf,turmeric xxmf,turmeric xxmf,turmeric xxmf,pepper xxmf,chilly xxmf,chilly xxmf,pepper xxmf
0.9602698,0.895082,0.8788561,0.8909978,0.9458409,0.68151414,0.55805856,0.6717989,0.7269465,0.6751311,0.48747894,0.53641355,0.48197615,0.5269355,0.43219283
