test all
test0_toasty xxmf os_1,test0_toasty xxmf os_2,test0_toasty xxmf os_5,test0_toasty xxmf os_4,test0_toasty xxmf os_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_wheat xxmf brand_1,test0_wheat xxmf brand_2,test0_wheat xxmf brand_5,test0_wheat xxmf brand_4,test0_wheat xxmf brand_3,test1_toasty xxmf os_1,test1_toasty xxmf os_2,test1_toasty xxmf os_5,test1_toasty xxmf os_4,test1_toasty xxmf os_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_wheat xxmf brand_1,test1_wheat xxmf brand_2,test1_wheat xxmf brand_5,test1_wheat xxmf brand_4,test1_wheat xxmf brand_3,test2_toasty xxmf os_1,test2_toasty xxmf os_2,test2_toasty xxmf os_5,test2_toasty xxmf os_4,test2_toasty xxmf os_3,test2_cheerios_1,test2_cheerios_2,test2_cheerios_5,test2_cheerios_4,test2_cheerios_3,test2_wheat xxmf brand_1,test2_wheat xxmf brand_2,test2_wheat xxmf brand_5,test2_wheat xxmf brand_4,test2_wheat xxmf brand_3
toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,toasty xxmf os
0.93476593,0.96764195,0.77346337,0.86967677,0.7900434,0.7578262,0.46697256,0.70078456,0.69686586,0.84161353,0.46129057,0.932277,0.5782297,0.88473624,0.866451,0.9755999,0.792082,0.9767587,0.8821183,0.9170639,0.6614876,0.66738343,0.8388413,0.7390234,0.80606365,0.7425835,0.89242905,0.9072045,0.80120176,0.7879741,0.9392664,0.96336395,0.8807661,0.934026,0.96161544,0.7431051,0.74194103,0.7829087,0.9874135,0.8770194,0.8435124,0.65872234,0.6964215,0.69844395,0.8797068
test0
test0_toasty xxmf os_1,test0_toasty xxmf os_2,test0_toasty xxmf os_5,test0_toasty xxmf os_4,test0_toasty xxmf os_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_wheat xxmf brand_1,test0_wheat xxmf brand_2,test0_wheat xxmf brand_5,test0_wheat xxmf brand_4,test0_wheat xxmf brand_3
toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand
0.93476593,0.96764195,0.77346337,0.86967677,0.7900434,0.7578262,0.46697256,0.70078456,0.69686586,0.84161353,0.46129057,0.932277,0.5782297,0.88473624,0.866451
test
test1_toasty xxmf os_1,test1_toasty xxmf os_2,test1_toasty xxmf os_5,test1_toasty xxmf os_4,test1_toasty xxmf os_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_wheat xxmf brand_1,test1_wheat xxmf brand_2,test1_wheat xxmf brand_5,test1_wheat xxmf brand_4,test1_wheat xxmf brand_3
toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand
0.9755999,0.792082,0.9767587,0.8821183,0.9170639,0.6614876,0.66738343,0.8388413,0.7390234,0.80606365,0.7425835,0.89242905,0.9072045,0.80120176,0.7879741
