test all
test0_toasty xxmf os_1,test0_toasty xxmf os_2,test0_toasty xxmf os_5,test0_toasty xxmf os_4,test0_toasty xxmf os_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_wheat xxmf brand_1,test0_wheat xxmf brand_2,test0_wheat xxmf brand_5,test0_wheat xxmf brand_4,test0_wheat xxmf brand_3,test1_toasty xxmf os_1,test1_toasty xxmf os_2,test1_toasty xxmf os_5,test1_toasty xxmf os_4,test1_toasty xxmf os_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_wheat xxmf brand_1,test1_wheat xxmf brand_2,test1_wheat xxmf brand_5,test1_wheat xxmf brand_4,test1_wheat xxmf brand_3,test2_toasty xxmf os_1,test2_toasty xxmf os_2,test2_toasty xxmf os_5,test2_toasty xxmf os_4,test2_toasty xxmf os_3,test2_cheerios_1,test2_cheerios_2,test2_cheerios_5,test2_cheerios_4,test2_cheerios_3,test2_wheat xxmf brand_1,test2_wheat xxmf brand_2,test2_wheat xxmf brand_5,test2_wheat xxmf brand_4,test2_wheat xxmf brand_3
toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,toasty xxmf os
0.95705444,0.9381634,0.8295993,0.86840636,0.8666137,0.88635075,0.49820676,0.9202459,0.85205173,0.940641,0.58157575,0.9290862,0.6029933,0.81954205,0.8051374,0.9803862,0.8744554,0.97841245,0.8855033,0.9393504,0.79005915,0.8041846,0.945956,0.8516618,0.88905996,0.693268,0.8622499,0.90723956,0.83089197,0.7359963,0.9425672,0.9446923,0.8842045,0.93982846,0.9731022,0.72518337,0.8501899,0.8270688,0.9760686,0.95881236,0.8653815,0.61840874,0.6674032,0.7034365,0.92376375
test0
test0_toasty xxmf os_1,test0_toasty xxmf os_2,test0_toasty xxmf os_5,test0_toasty xxmf os_4,test0_toasty xxmf os_3,test0_cheerios_1,test0_cheerios_2,test0_cheerios_5,test0_cheerios_4,test0_cheerios_3,test0_wheat xxmf brand_1,test0_wheat xxmf brand_2,test0_wheat xxmf brand_5,test0_wheat xxmf brand_4,test0_wheat xxmf brand_3
toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand
0.95705444,0.9381634,0.8295993,0.86840636,0.8666137,0.88635075,0.49820676,0.9202459,0.85205173,0.940641,0.58157575,0.9290862,0.6029933,0.81954205,0.8051374
test
test1_toasty xxmf os_1,test1_toasty xxmf os_2,test1_toasty xxmf os_5,test1_toasty xxmf os_4,test1_toasty xxmf os_3,test1_cheerios_1,test1_cheerios_2,test1_cheerios_5,test1_cheerios_4,test1_cheerios_3,test1_wheat xxmf brand_1,test1_wheat xxmf brand_2,test1_wheat xxmf brand_5,test1_wheat xxmf brand_4,test1_wheat xxmf brand_3
toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,toasty xxmf os,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand,wheat xxmf brand
0.9803862,0.8744554,0.97841245,0.8855033,0.9393504,0.79005915,0.8041846,0.945956,0.8516618,0.88905996,0.693268,0.8622499,0.90723956,0.83089197,0.7359963
