test all
test0_barbecue xxmf sauce_1,test0_barbecue xxmf sauce_2,test0_barbecue xxmf sauce_5,test0_barbecue xxmf sauce_4,test0_barbecue xxmf sauce_3,test0_mustard_1,test0_mustard_2,test0_mustard_5,test0_mustard_4,test0_mustard_3,test0_grape_1,test0_grape_2,test0_grape_5,test0_grape_4,test0_grape_3,test1_barbecue xxmf sauce_1,test1_barbecue xxmf sauce_2,test1_barbecue xxmf sauce_5,test1_barbecue xxmf sauce_4,test1_barbecue xxmf sauce_3,test1_mustard_1,test1_mustard_2,test1_mustard_5,test1_mustard_4,test1_mustard_3,test1_grape_1,test1_grape_2,test1_grape_5,test1_grape_4,test1_grape_3,test2_barbecue xxmf sauce_1,test2_barbecue xxmf sauce_2,test2_barbecue xxmf sauce_5,test2_barbecue xxmf sauce_4,test2_barbecue xxmf sauce_3,test2_mustard_1,test2_mustard_2,test2_mustard_5,test2_mustard_4,test2_mustard_3,test2_grape_1,test2_grape_2,test2_grape_5,test2_grape_4,test2_grape_3
barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,mustard,mustard,mustard,mustard,mustard,grape,grape,grape,grape,grape,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,grape,mustard,mustard,mustard,mustard,mustard,mustard,grape,grape,grape,grape,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,mustard,barbecue xxmf sauce,barbecue xxmf sauce,mustard,mustard,mustard,mustard,grape,grape,grape,grape,grape
0.7003482,0.86642337,0.8197155,0.9105112,0.8567811,0.96238637,0.9879188,0.99519956,0.9612365,0.9859692,0.97746766,0.9863697,0.989956,0.95799166,0.9750621,0.9179082,0.80944306,0.573525,0.5010743,0.52415043,0.9549803,0.93842095,0.9784992,0.9884248,0.9088431,0.9021247,0.9832496,0.9866984,0.9677224,0.9898079,0.394515,0.63427144,0.7025611,0.9578595,0.6730168,0.64492154,0.91693026,0.99470574,0.9840666,0.9742343,0.98761916,0.9238157,0.93293166,0.9615442,0.96527004
test0
test0_barbecue xxmf sauce_1,test0_barbecue xxmf sauce_2,test0_barbecue xxmf sauce_5,test0_barbecue xxmf sauce_4,test0_barbecue xxmf sauce_3,test0_mustard_1,test0_mustard_2,test0_mustard_5,test0_mustard_4,test0_mustard_3,test0_grape_1,test0_grape_2,test0_grape_5,test0_grape_4,test0_grape_3
barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,mustard,mustard,mustard,mustard,mustard,grape,grape,grape,grape,grape
0.7003482,0.86642337,0.8197155,0.9105112,0.8567811,0.96238637,0.9879188,0.99519956,0.9612365,0.9859692,0.97746766,0.9863697,0.989956,0.95799166,0.9750621
test
test1_barbecue xxmf sauce_1,test1_barbecue xxmf sauce_2,test1_barbecue xxmf sauce_5,test1_barbecue xxmf sauce_4,test1_barbecue xxmf sauce_3,test1_mustard_1,test1_mustard_2,test1_mustard_5,test1_mustard_4,test1_mustard_3,test1_grape_1,test1_grape_2,test1_grape_5,test1_grape_4,test1_grape_3
barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,grape,mustard,mustard,mustard,mustard,mustard,mustard,grape,grape,grape,grape
0.9179082,0.80944306,0.573525,0.5010743,0.52415043,0.9549803,0.93842095,0.9784992,0.9884248,0.9088431,0.9021247,0.9832496,0.9866984,0.9677224,0.9898079
