test all
test0_barbecue xxmf sauce_1,test0_barbecue xxmf sauce_2,test0_barbecue xxmf sauce_5,test0_barbecue xxmf sauce_4,test0_barbecue xxmf sauce_3,test0_mustard_1,test0_mustard_2,test0_mustard_5,test0_mustard_4,test0_mustard_3,test0_grape_1,test0_grape_2,test0_grape_5,test0_grape_4,test0_grape_3,test1_barbecue xxmf sauce_1,test1_barbecue xxmf sauce_2,test1_barbecue xxmf sauce_5,test1_barbecue xxmf sauce_4,test1_barbecue xxmf sauce_3,test1_mustard_1,test1_mustard_2,test1_mustard_5,test1_mustard_4,test1_mustard_3,test1_grape_1,test1_grape_2,test1_grape_5,test1_grape_4,test1_grape_3,test2_barbecue xxmf sauce_1,test2_barbecue xxmf sauce_2,test2_barbecue xxmf sauce_5,test2_barbecue xxmf sauce_4,test2_barbecue xxmf sauce_3,test2_mustard_1,test2_mustard_2,test2_mustard_5,test2_mustard_4,test2_mustard_3,test2_grape_1,test2_grape_2,test2_grape_5,test2_grape_4,test2_grape_3
barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,mustard,mustard,mustard,mustard,mustard,grape,grape,grape,grape,grape,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,grape,mustard,mustard,mustard,mustard,mustard,mustard,grape,grape,grape,grape,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,mustard,barbecue xxmf sauce,barbecue xxmf sauce,mustard,mustard,mustard,mustard,grape,grape,grape,grape,grape
0.6891667,0.8667893,0.82322663,0.91152465,0.85523707,0.9602664,0.9867107,0.99468094,0.95877737,0.984306,0.9776699,0.9865813,0.99037445,0.95892656,0.9745095,0.92027473,0.7986917,0.5761599,0.49659154,0.5339725,0.9534936,0.93809533,0.9771698,0.98714185,0.90786636,0.90271693,0.9833961,0.9869528,0.968566,0.990189,0.39919654,0.6343697,0.7035344,0.95339173,0.6728992,0.64670616,0.9051209,0.9943363,0.9825534,0.97129,0.9886481,0.92793405,0.9366529,0.9630851,0.9679041
test0
test0_barbecue xxmf sauce_1,test0_barbecue xxmf sauce_2,test0_barbecue xxmf sauce_5,test0_barbecue xxmf sauce_4,test0_barbecue xxmf sauce_3,test0_mustard_1,test0_mustard_2,test0_mustard_5,test0_mustard_4,test0_mustard_3,test0_grape_1,test0_grape_2,test0_grape_5,test0_grape_4,test0_grape_3
barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,mustard,mustard,mustard,mustard,mustard,grape,grape,grape,grape,grape
0.6891667,0.8667893,0.82322663,0.91152465,0.85523707,0.9602664,0.9867107,0.99468094,0.95877737,0.984306,0.9776699,0.9865813,0.99037445,0.95892656,0.9745095
test
test1_barbecue xxmf sauce_1,test1_barbecue xxmf sauce_2,test1_barbecue xxmf sauce_5,test1_barbecue xxmf sauce_4,test1_barbecue xxmf sauce_3,test1_mustard_1,test1_mustard_2,test1_mustard_5,test1_mustard_4,test1_mustard_3,test1_grape_1,test1_grape_2,test1_grape_5,test1_grape_4,test1_grape_3
barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,barbecue xxmf sauce,grape,mustard,mustard,mustard,mustard,mustard,mustard,grape,grape,grape,grape
0.92027473,0.7986917,0.5761599,0.49659154,0.5339725,0.9534936,0.93809533,0.9771698,0.98714185,0.90786636,0.90271693,0.9833961,0.9869528,0.968566,0.990189
