test all
test0_pepper_1,test0_pepper_2,test0_pepper_5,test0_pepper_4,test0_pepper_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_creole xxmf seasoning_1,test0_creole xxmf seasoning_2,test0_creole xxmf seasoning_5,test0_creole xxmf seasoning_4,test0_creole xxmf seasoning_3,test1_pepper_1,test1_pepper_2,test1_pepper_5,test1_pepper_4,test1_pepper_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_creole xxmf seasoning_1,test1_creole xxmf seasoning_2,test1_creole xxmf seasoning_5,test1_creole xxmf seasoning_4,test1_creole xxmf seasoning_3,test2_pepper_1,test2_pepper_2,test2_pepper_5,test2_pepper_4,test2_pepper_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_creole xxmf seasoning_1,test2_creole xxmf seasoning_2,test2_creole xxmf seasoning_5,test2_creole xxmf seasoning_4,test2_creole xxmf seasoning_3
pepper,pepper,pepper,pepper,pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,pepper,pepper,pepper,pepper,pepper,cinnamon,pepper,cinnamon,cinnamon,pepper,cinnamon,pepper,cinnamon,cinnamon,pepper,pepper,pepper,pepper,pepper,pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,pepper,cinnamon,cinnamon,cinnamon,cinnamon
0.99530065,0.99118924,0.9866985,0.9858807,0.9958978,0.6226581,0.61362255,0.7476523,0.60559016,0.597061,0.45919237,0.6854159,0.51172185,0.5581359,0.51800907,0.98916185,0.98521847,0.965702,0.9913898,0.99353445,0.5656534,0.5273729,0.5218165,0.5825731,0.48455682,0.6721111,0.41424978,0.62338644,0.63187367,0.4518157,0.9728141,0.9369772,0.97404724,0.97901446,0.9536817,0.6853279,0.7340453,0.6471831,0.73215294,0.5630585,0.5436616,0.4898178,0.58242506,0.52937883,0.5042498
test0
test0_pepper_1,test0_pepper_2,test0_pepper_5,test0_pepper_4,test0_pepper_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_creole xxmf seasoning_1,test0_creole xxmf seasoning_2,test0_creole xxmf seasoning_5,test0_creole xxmf seasoning_4,test0_creole xxmf seasoning_3
pepper,pepper,pepper,pepper,pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon
0.99530065,0.99118924,0.9866985,0.9858807,0.9958978,0.6226581,0.61362255,0.7476523,0.60559016,0.597061,0.45919237,0.6854159,0.51172185,0.5581359,0.51800907
test
test1_pepper_1,test1_pepper_2,test1_pepper_5,test1_pepper_4,test1_pepper_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_creole xxmf seasoning_1,test1_creole xxmf seasoning_2,test1_creole xxmf seasoning_5,test1_creole xxmf seasoning_4,test1_creole xxmf seasoning_3
pepper,pepper,pepper,pepper,pepper,cinnamon,pepper,cinnamon,cinnamon,pepper,cinnamon,pepper,cinnamon,cinnamon,pepper
0.98916185,0.98521847,0.965702,0.9913898,0.99353445,0.5656534,0.5273729,0.5218165,0.5825731,0.48455682,0.6721111,0.41424978,0.62338644,0.63187367,0.4518157
