test all
test0_pepper_1,test0_pepper_2,test0_pepper_5,test0_pepper_4,test0_pepper_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_creole xxmf seasoning_1,test0_creole xxmf seasoning_2,test0_creole xxmf seasoning_5,test0_creole xxmf seasoning_4,test0_creole xxmf seasoning_3,test1_pepper_1,test1_pepper_2,test1_pepper_5,test1_pepper_4,test1_pepper_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_creole xxmf seasoning_1,test1_creole xxmf seasoning_2,test1_creole xxmf seasoning_5,test1_creole xxmf seasoning_4,test1_creole xxmf seasoning_3,test2_pepper_1,test2_pepper_2,test2_pepper_5,test2_pepper_4,test2_pepper_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_creole xxmf seasoning_1,test2_creole xxmf seasoning_2,test2_creole xxmf seasoning_5,test2_creole xxmf seasoning_4,test2_creole xxmf seasoning_3
pepper,pepper,pepper,pepper,pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,pepper,pepper,pepper,pepper,pepper,cinnamon,pepper,cinnamon,cinnamon,pepper,cinnamon,cinnamon,cinnamon,cinnamon,pepper,pepper,pepper,pepper,pepper,pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,pepper,cinnamon,cinnamon,cinnamon,cinnamon
0.99585366,0.9925876,0.9887744,0.9883265,0.9963917,0.64957345,0.62381494,0.7641154,0.62014204,0.60204387,0.47212854,0.69163543,0.5031806,0.55580914,0.5265213,0.98940104,0.9866875,0.9646685,0.9916222,0.9938705,0.59244215,0.48999548,0.54079396,0.5860688,0.45459256,0.673533,0.41649523,0.62568873,0.6278765,0.4107091,0.97715604,0.94808984,0.9775074,0.98225224,0.9624132,0.68787605,0.7289294,0.65278417,0.73268956,0.5764963,0.52276194,0.49930966,0.591826,0.5321704,0.50009817
test0
test0_pepper_1,test0_pepper_2,test0_pepper_5,test0_pepper_4,test0_pepper_3,test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_creole xxmf seasoning_1,test0_creole xxmf seasoning_2,test0_creole xxmf seasoning_5,test0_creole xxmf seasoning_4,test0_creole xxmf seasoning_3
pepper,pepper,pepper,pepper,pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon
0.99585366,0.9925876,0.9887744,0.9883265,0.9963917,0.64957345,0.62381494,0.7641154,0.62014204,0.60204387,0.47212854,0.69163543,0.5031806,0.55580914,0.5265213
test
test1_pepper_1,test1_pepper_2,test1_pepper_5,test1_pepper_4,test1_pepper_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_creole xxmf seasoning_1,test1_creole xxmf seasoning_2,test1_creole xxmf seasoning_5,test1_creole xxmf seasoning_4,test1_creole xxmf seasoning_3
pepper,pepper,pepper,pepper,pepper,cinnamon,pepper,cinnamon,cinnamon,pepper,cinnamon,cinnamon,cinnamon,cinnamon,pepper
0.98940104,0.9866875,0.9646685,0.9916222,0.9938705,0.59244215,0.48999548,0.54079396,0.5860688,0.45459256,0.673533,0.41649523,0.62568873,0.6278765,0.4107091
