test all
test0_almonds_1,test0_almonds_2,test0_almonds_5,test0_almonds_4,test0_almonds_3,test0_tuna_1,test0_tuna_2,test0_tuna_5,test0_tuna_4,test0_tuna_3,test0_rice xxmf cakes_1,test0_rice xxmf cakes_2,test0_rice xxmf cakes_5,test0_rice xxmf cakes_4,test0_rice xxmf cakes_3,test1_almonds_1,test1_almonds_2,test1_almonds_5,test1_almonds_4,test1_almonds_3,test1_tuna_1,test1_tuna_2,test1_tuna_5,test1_tuna_4,test1_tuna_3,test1_rice xxmf cakes_1,test1_rice xxmf cakes_2,test1_rice xxmf cakes_5,test1_rice xxmf cakes_4,test1_rice xxmf cakes_3,test2_almonds_1,test2_almonds_2,test2_almonds_5,test2_almonds_4,test2_almonds_3,test2_tuna_1,test2_tuna_2,test2_tuna_5,test2_tuna_4,test2_tuna_3,test2_rice xxmf cakes_1,test2_rice xxmf cakes_2,test2_rice xxmf cakes_5,test2_rice xxmf cakes_4,test2_rice xxmf cakes_3
almonds,almonds,almonds,almonds,almonds,tuna,tuna,tuna,tuna,tuna,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,almonds,almonds,almonds,almonds,almonds,tuna,tuna,tuna,tuna,tuna,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,almonds,almonds,almonds,almonds,almonds,tuna,tuna,tuna,tuna,tuna,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes
0.98805994,0.98229444,0.9636913,0.9901322,0.9902901,0.9813369,0.9916578,0.98845357,0.9916509,0.9937535,0.98418844,0.9813681,0.99754024,0.9948301,0.9970988,0.97616935,0.98914284,0.9524115,0.9938526,0.943355,0.9926318,0.9978809,0.98642737,0.9761295,0.9954802,0.9976376,0.9757882,0.9952519,0.9881103,0.97492313,0.9339794,0.9121338,0.9606157,0.93606037,0.9530983,0.9986498,0.9951722,0.9692202,0.98776406,0.99897134,0.9763424,0.9713415,0.9786993,0.99321437,0.9930951
test0
test0_almonds_1,test0_almonds_2,test0_almonds_5,test0_almonds_4,test0_almonds_3,test0_tuna_1,test0_tuna_2,test0_tuna_5,test0_tuna_4,test0_tuna_3,test0_rice xxmf cakes_1,test0_rice xxmf cakes_2,test0_rice xxmf cakes_5,test0_rice xxmf cakes_4,test0_rice xxmf cakes_3
almonds,almonds,almonds,almonds,almonds,tuna,tuna,tuna,tuna,tuna,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes
0.98805994,0.98229444,0.9636913,0.9901322,0.9902901,0.9813369,0.9916578,0.98845357,0.9916509,0.9937535,0.98418844,0.9813681,0.99754024,0.9948301,0.9970988
test
test1_almonds_1,test1_almonds_2,test1_almonds_5,test1_almonds_4,test1_almonds_3,test1_tuna_1,test1_tuna_2,test1_tuna_5,test1_tuna_4,test1_tuna_3,test1_rice xxmf cakes_1,test1_rice xxmf cakes_2,test1_rice xxmf cakes_5,test1_rice xxmf cakes_4,test1_rice xxmf cakes_3
almonds,almonds,almonds,almonds,almonds,tuna,tuna,tuna,tuna,tuna,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes,rice xxmf cakes
0.97616935,0.98914284,0.9524115,0.9938526,0.943355,0.9926318,0.9978809,0.98642737,0.9761295,0.9954802,0.9976376,0.9757882,0.9952519,0.9881103,0.97492313
