test all
test0_olive xxmf oil_1,test0_olive xxmf oil_2,test0_olive xxmf oil_5,test0_olive xxmf oil_4,test0_olive xxmf oil_3,test0_beer_1,test0_beer_2,test0_beer_5,test0_beer_4,test0_beer_3,test0_acai xxmf juice_1,test0_acai xxmf juice_2,test0_acai xxmf juice_5,test0_acai xxmf juice_4,test0_acai xxmf juice_3,test1_olive xxmf oil_1,test1_olive xxmf oil_2,test1_olive xxmf oil_5,test1_olive xxmf oil_4,test1_olive xxmf oil_3,test1_beer_1,test1_beer_2,test1_beer_5,test1_beer_4,test1_beer_3,test1_acai xxmf juice_1,test1_acai xxmf juice_2,test1_acai xxmf juice_5,test1_acai xxmf juice_4,test1_acai xxmf juice_3,test2_olive xxmf oil_1,test2_olive xxmf oil_2,test2_olive xxmf oil_5,test2_olive xxmf oil_4,test2_olive xxmf oil_3,test2_beer_1,test2_beer_2,test2_beer_5,test2_beer_4,test2_beer_3,test2_acai xxmf juice_1,test2_acai xxmf juice_2,test2_acai xxmf juice_5,test2_acai xxmf juice_4,test2_acai xxmf juice_3
olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,beer,beer,beer,beer,beer,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,beer,beer,beer,beer,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,beer,beer,beer,beer,beer,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice
0.97587603,0.976712,0.95291406,0.9661312,0.9511879,0.99266523,0.9946673,0.99208426,0.99254817,0.9891922,0.99315476,0.97897106,0.99614775,0.984916,0.9756623,0.96641505,0.97191024,0.95552963,0.9498012,0.96351045,0.96130294,0.9954118,0.98842657,0.99539596,0.994936,0.99162966,0.99349964,0.96422696,0.99377835,0.9924332,0.959616,0.96500456,0.9699026,0.9742818,0.971007,0.99531,0.99511045,0.99360245,0.9932755,0.9945892,0.9893472,0.98333734,0.9769676,0.98130304,0.9664727
test0
test0_olive xxmf oil_1,test0_olive xxmf oil_2,test0_olive xxmf oil_5,test0_olive xxmf oil_4,test0_olive xxmf oil_3,test0_beer_1,test0_beer_2,test0_beer_5,test0_beer_4,test0_beer_3,test0_acai xxmf juice_1,test0_acai xxmf juice_2,test0_acai xxmf juice_5,test0_acai xxmf juice_4,test0_acai xxmf juice_3
olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,beer,beer,beer,beer,beer,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice
0.97587603,0.976712,0.95291406,0.9661312,0.9511879,0.99266523,0.9946673,0.99208426,0.99254817,0.9891922,0.99315476,0.97897106,0.99614775,0.984916,0.9756623
test
test1_olive xxmf oil_1,test1_olive xxmf oil_2,test1_olive xxmf oil_5,test1_olive xxmf oil_4,test1_olive xxmf oil_3,test1_beer_1,test1_beer_2,test1_beer_5,test1_beer_4,test1_beer_3,test1_acai xxmf juice_1,test1_acai xxmf juice_2,test1_acai xxmf juice_5,test1_acai xxmf juice_4,test1_acai xxmf juice_3
olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,olive xxmf oil,beer,beer,beer,beer,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice,acai xxmf juice
0.96641505,0.97191024,0.95552963,0.9498012,0.96351045,0.96130294,0.9954118,0.98842657,0.99539596,0.994936,0.99162966,0.99349964,0.96422696,0.99377835,0.9924332
