test all
test0_mountain xxmf dew_1,test0_mountain xxmf dew_2,test0_mountain xxmf dew_5,test0_mountain xxmf dew_4,test0_mountain xxmf dew_3,test0_sprite_1,test0_sprite_2,test0_sprite_5,test0_sprite_4,test0_sprite_3,test0_baja xxmf blast_1,test0_baja xxmf blast_2,test0_baja xxmf blast_5,test0_baja xxmf blast_4,test0_baja xxmf blast_3,test1_mountain xxmf dew_1,test1_mountain xxmf dew_2,test1_mountain xxmf dew_5,test1_mountain xxmf dew_4,test1_mountain xxmf dew_3,test1_sprite_1,test1_sprite_2,test1_sprite_5,test1_sprite_4,test1_sprite_3,test1_baja xxmf blast_1,test1_baja xxmf blast_2,test1_baja xxmf blast_5,test1_baja xxmf blast_4,test1_baja xxmf blast_3,test2_mountain xxmf dew_1,test2_mountain xxmf dew_2,test2_mountain xxmf dew_5,test2_mountain xxmf dew_4,test2_mountain xxmf dew_3,test2_sprite_1,test2_sprite_2,test2_sprite_5,test2_sprite_4,test2_sprite_3,test2_baja xxmf blast_1,test2_baja xxmf blast_2,test2_baja xxmf blast_5,test2_baja xxmf blast_4,test2_baja xxmf blast_3
baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,mountain xxmf dew,baja xxmf blast,mountain xxmf dew,baja xxmf blast,mountain xxmf dew,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast
0.593542,0.54219425,0.6566149,0.78943586,0.5224347,0.9503431,0.89293015,0.96057993,0.90464526,0.95901424,0.9841834,0.9938632,0.9925243,0.91635585,0.9878687,0.6910939,0.8401856,0.5199039,0.8574632,0.8421005,0.953867,0.9540672,0.8982383,0.9174579,0.978388,0.9754567,0.9801143,0.98698205,0.96871805,0.9955597,0.5612245,0.58161885,0.6035968,0.5519341,0.5540406,0.6138923,0.88692427,0.97534925,0.9194792,0.96106094,0.9940221,0.9802122,0.9729235,0.98332757,0.97374517
test0
test0_mountain xxmf dew_1,test0_mountain xxmf dew_2,test0_mountain xxmf dew_5,test0_mountain xxmf dew_4,test0_mountain xxmf dew_3,test0_sprite_1,test0_sprite_2,test0_sprite_5,test0_sprite_4,test0_sprite_3,test0_baja xxmf blast_1,test0_baja xxmf blast_2,test0_baja xxmf blast_5,test0_baja xxmf blast_4,test0_baja xxmf blast_3
baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast
0.593542,0.54219425,0.6566149,0.78943586,0.5224347,0.9503431,0.89293015,0.96057993,0.90464526,0.95901424,0.9841834,0.9938632,0.9925243,0.91635585,0.9878687
test
test1_mountain xxmf dew_1,test1_mountain xxmf dew_2,test1_mountain xxmf dew_5,test1_mountain xxmf dew_4,test1_mountain xxmf dew_3,test1_sprite_1,test1_sprite_2,test1_sprite_5,test1_sprite_4,test1_sprite_3,test1_baja xxmf blast_1,test1_baja xxmf blast_2,test1_baja xxmf blast_5,test1_baja xxmf blast_4,test1_baja xxmf blast_3
baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast
0.6910939,0.8401856,0.5199039,0.8574632,0.8421005,0.953867,0.9540672,0.8982383,0.9174579,0.978388,0.9754567,0.9801143,0.98698205,0.96871805,0.9955597
