test all
test0_mountain xxmf dew_1,test0_mountain xxmf dew_2,test0_mountain xxmf dew_5,test0_mountain xxmf dew_4,test0_mountain xxmf dew_3,test0_sprite_1,test0_sprite_2,test0_sprite_5,test0_sprite_4,test0_sprite_3,test0_baja xxmf blast_1,test0_baja xxmf blast_2,test0_baja xxmf blast_5,test0_baja xxmf blast_4,test0_baja xxmf blast_3,test1_mountain xxmf dew_1,test1_mountain xxmf dew_2,test1_mountain xxmf dew_5,test1_mountain xxmf dew_4,test1_mountain xxmf dew_3,test1_sprite_1,test1_sprite_2,test1_sprite_5,test1_sprite_4,test1_sprite_3,test1_baja xxmf blast_1,test1_baja xxmf blast_2,test1_baja xxmf blast_5,test1_baja xxmf blast_4,test1_baja xxmf blast_3,test2_mountain xxmf dew_1,test2_mountain xxmf dew_2,test2_mountain xxmf dew_5,test2_mountain xxmf dew_4,test2_mountain xxmf dew_3,test2_sprite_1,test2_sprite_2,test2_sprite_5,test2_sprite_4,test2_sprite_3,test2_baja xxmf blast_1,test2_baja xxmf blast_2,test2_baja xxmf blast_5,test2_baja xxmf blast_4,test2_baja xxmf blast_3
baja xxmf blast,mountain xxmf dew,baja xxmf blast,baja xxmf blast,mountain xxmf dew,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,mountain xxmf dew,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,mountain xxmf dew,baja xxmf blast,mountain xxmf dew,baja xxmf blast,mountain xxmf dew,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast
0.55699486,0.5193141,0.64124066,0.7478799,0.508264,0.9433252,0.8842745,0.94779956,0.8967415,0.9530002,0.98275894,0.9926784,0.99059147,0.90614885,0.9842487,0.64917994,0.8079885,0.4972604,0.83325607,0.8060238,0.9374525,0.9396442,0.88473725,0.9014549,0.9703091,0.9721157,0.97656757,0.9834472,0.9633394,0.9939505,0.58205503,0.5654824,0.58583057,0.5062464,0.5575985,0.5897273,0.88945705,0.96914095,0.9178165,0.95979697,0.99280906,0.9766035,0.97253245,0.98235774,0.97126365
test0
test0_mountain xxmf dew_1,test0_mountain xxmf dew_2,test0_mountain xxmf dew_5,test0_mountain xxmf dew_4,test0_mountain xxmf dew_3,test0_sprite_1,test0_sprite_2,test0_sprite_5,test0_sprite_4,test0_sprite_3,test0_baja xxmf blast_1,test0_baja xxmf blast_2,test0_baja xxmf blast_5,test0_baja xxmf blast_4,test0_baja xxmf blast_3
baja xxmf blast,mountain xxmf dew,baja xxmf blast,baja xxmf blast,mountain xxmf dew,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast
0.55699486,0.5193141,0.64124066,0.7478799,0.508264,0.9433252,0.8842745,0.94779956,0.8967415,0.9530002,0.98275894,0.9926784,0.99059147,0.90614885,0.9842487
test
test1_mountain xxmf dew_1,test1_mountain xxmf dew_2,test1_mountain xxmf dew_5,test1_mountain xxmf dew_4,test1_mountain xxmf dew_3,test1_sprite_1,test1_sprite_2,test1_sprite_5,test1_sprite_4,test1_sprite_3,test1_baja xxmf blast_1,test1_baja xxmf blast_2,test1_baja xxmf blast_5,test1_baja xxmf blast_4,test1_baja xxmf blast_3
baja xxmf blast,baja xxmf blast,mountain xxmf dew,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast,baja xxmf blast
0.64917994,0.8079885,0.4972604,0.83325607,0.8060238,0.9374525,0.9396442,0.88473725,0.9014549,0.9703091,0.9721157,0.97656757,0.9834472,0.9633394,0.9939505
