test all
test0_raisin xxmf bran_1,test0_raisin xxmf bran_2,test0_raisin xxmf bran_5,test0_raisin xxmf bran_4,test0_raisin xxmf bran_3,test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_special xxmf k_1,test0_special xxmf k_2,test0_special xxmf k_5,test0_special xxmf k_4,test0_special xxmf k_3,test1_raisin xxmf bran_1,test1_raisin xxmf bran_2,test1_raisin xxmf bran_5,test1_raisin xxmf bran_4,test1_raisin xxmf bran_3,test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_special xxmf k_1,test1_special xxmf k_2,test1_special xxmf k_5,test1_special xxmf k_4,test1_special xxmf k_3,test2_raisin xxmf bran_1,test2_raisin xxmf bran_2,test2_raisin xxmf bran_5,test2_raisin xxmf bran_4,test2_raisin xxmf bran_3,test2_lucky xxmf charms_1,test2_lucky xxmf charms_2,test2_lucky xxmf charms_5,test2_lucky xxmf charms_4,test2_lucky xxmf charms_3,test2_special xxmf k_1,test2_special xxmf k_2,test2_special xxmf k_5,test2_special xxmf k_4,test2_special xxmf k_3
lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k
0.7664719,0.7608044,0.6952624,0.8143015,0.93612295,0.65174294,0.51340556,0.64094836,0.52975756,0.5094328,0.9706279,0.9235766,0.95176506,0.47754398,0.9010176,0.90552413,0.8761182,0.83996546,0.89301664,0.83685285,0.5827522,0.8988543,0.86307347,0.79512125,0.92742294,0.9951637,0.98546356,0.98800594,0.98868805,0.9876676,0.62109035,0.46206403,0.54281455,0.5588031,0.510842,0.6102521,0.5641133,0.65160686,0.6988052,0.79338205,0.80526024,0.9092119,0.8954922,0.8330058,0.773782
test0
test0_raisin xxmf bran_1,test0_raisin xxmf bran_2,test0_raisin xxmf bran_5,test0_raisin xxmf bran_4,test0_raisin xxmf bran_3,test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_special xxmf k_1,test0_special xxmf k_2,test0_special xxmf k_5,test0_special xxmf k_4,test0_special xxmf k_3
lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k
0.7664719,0.7608044,0.6952624,0.8143015,0.93612295,0.65174294,0.51340556,0.64094836,0.52975756,0.5094328,0.9706279,0.9235766,0.95176506,0.47754398,0.9010176
test
test1_raisin xxmf bran_1,test1_raisin xxmf bran_2,test1_raisin xxmf bran_5,test1_raisin xxmf bran_4,test1_raisin xxmf bran_3,test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_special xxmf k_1,test1_special xxmf k_2,test1_special xxmf k_5,test1_special xxmf k_4,test1_special xxmf k_3
special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k
0.90552413,0.8761182,0.83996546,0.89301664,0.83685285,0.5827522,0.8988543,0.86307347,0.79512125,0.92742294,0.9951637,0.98546356,0.98800594,0.98868805,0.9876676
