test all
test0_raisin xxmf bran_1,test0_raisin xxmf bran_2,test0_raisin xxmf bran_5,test0_raisin xxmf bran_4,test0_raisin xxmf bran_3,test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_special xxmf k_1,test0_special xxmf k_2,test0_special xxmf k_5,test0_special xxmf k_4,test0_special xxmf k_3,test1_raisin xxmf bran_1,test1_raisin xxmf bran_2,test1_raisin xxmf bran_5,test1_raisin xxmf bran_4,test1_raisin xxmf bran_3,test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_special xxmf k_1,test1_special xxmf k_2,test1_special xxmf k_5,test1_special xxmf k_4,test1_special xxmf k_3,test2_raisin xxmf bran_1,test2_raisin xxmf bran_2,test2_raisin xxmf bran_5,test2_raisin xxmf bran_4,test2_raisin xxmf bran_3,test2_lucky xxmf charms_1,test2_lucky xxmf charms_2,test2_lucky xxmf charms_5,test2_lucky xxmf charms_4,test2_lucky xxmf charms_3,test2_special xxmf k_1,test2_special xxmf k_2,test2_special xxmf k_5,test2_special xxmf k_4,test2_special xxmf k_3
lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k
0.769212,0.7678308,0.7007596,0.8152831,0.9320575,0.6626046,0.50050056,0.6145847,0.54084915,0.5011305,0.96955836,0.91643333,0.9490072,0.48521328,0.89398396,0.90605235,0.8779983,0.8475716,0.8967259,0.844549,0.5774456,0.89516526,0.8587649,0.7882572,0.9238725,0.99490523,0.98476243,0.98749965,0.98828006,0.98736084,0.6048535,0.47731122,0.544758,0.55993557,0.52049506,0.6142066,0.5717468,0.65290743,0.70344037,0.7949676,0.8005123,0.904266,0.88382345,0.8167176,0.7619479
test0
test0_raisin xxmf bran_1,test0_raisin xxmf bran_2,test0_raisin xxmf bran_5,test0_raisin xxmf bran_4,test0_raisin xxmf bran_3,test0_lucky xxmf charms_1,test0_lucky xxmf charms_2,test0_lucky xxmf charms_5,test0_lucky xxmf charms_4,test0_lucky xxmf charms_3,test0_special xxmf k_1,test0_special xxmf k_2,test0_special xxmf k_5,test0_special xxmf k_4,test0_special xxmf k_3
lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,lucky xxmf charms,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k
0.769212,0.7678308,0.7007596,0.8152831,0.9320575,0.6626046,0.50050056,0.6145847,0.54084915,0.5011305,0.96955836,0.91643333,0.9490072,0.48521328,0.89398396
test
test1_raisin xxmf bran_1,test1_raisin xxmf bran_2,test1_raisin xxmf bran_5,test1_raisin xxmf bran_4,test1_raisin xxmf bran_3,test1_lucky xxmf charms_1,test1_lucky xxmf charms_2,test1_lucky xxmf charms_5,test1_lucky xxmf charms_4,test1_lucky xxmf charms_3,test1_special xxmf k_1,test1_special xxmf k_2,test1_special xxmf k_5,test1_special xxmf k_4,test1_special xxmf k_3
special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k,special xxmf k
0.90605235,0.8779983,0.8475716,0.8967259,0.844549,0.5774456,0.89516526,0.8587649,0.7882572,0.9238725,0.99490523,0.98476243,0.98749965,0.98828006,0.98736084
