test all
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_black xxmf pepper_1,test0_black xxmf pepper_2,test0_black xxmf pepper_5,test0_black xxmf pepper_4,test0_black xxmf pepper_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3,test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_black xxmf pepper_1,test1_black xxmf pepper_2,test1_black xxmf pepper_5,test1_black xxmf pepper_4,test1_black xxmf pepper_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3,test2_cinnamon_1,test2_cinnamon_2,test2_cinnamon_5,test2_cinnamon_4,test2_cinnamon_3,test2_black xxmf pepper_1,test2_black xxmf pepper_2,test2_black xxmf pepper_5,test2_black xxmf pepper_4,test2_black xxmf pepper_3,test2_paprika_1,test2_paprika_2,test2_paprika_5,test2_paprika_4,test2_paprika_3
cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,cinnamon,black xxmf pepper,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,paprika,black xxmf pepper
0.82368976,0.9436257,0.9734779,0.9407717,0.9558532,0.44660273,0.48538622,0.45985022,0.44445264,0.5147538,0.85383016,0.9522904,0.83602625,0.8759164,0.8694312,0.7472559,0.8377245,0.89327884,0.738418,0.85218793,0.93988866,0.5139198,0.72072285,0.83952504,0.74888676,0.86899406,0.94865674,0.77413815,0.60190845,0.879273,0.8807572,0.90645546,0.69891286,0.8371335,0.80748796,0.66461474,0.6621196,0.554641,0.56637657,0.5817293,0.8446178,0.77682626,0.921771,0.5001879,0.51670575
test0
test0_cinnamon_1,test0_cinnamon_2,test0_cinnamon_5,test0_cinnamon_4,test0_cinnamon_3,test0_black xxmf pepper_1,test0_black xxmf pepper_2,test0_black xxmf pepper_5,test0_black xxmf pepper_4,test0_black xxmf pepper_3,test0_paprika_1,test0_paprika_2,test0_paprika_5,test0_paprika_4,test0_paprika_3
cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper,black xxmf pepper
0.82368976,0.9436257,0.9734779,0.9407717,0.9558532,0.44660273,0.48538622,0.45985022,0.44445264,0.5147538,0.85383016,0.9522904,0.83602625,0.8759164,0.8694312
test
test1_cinnamon_1,test1_cinnamon_2,test1_cinnamon_5,test1_cinnamon_4,test1_cinnamon_3,test1_black xxmf pepper_1,test1_black xxmf pepper_2,test1_black xxmf pepper_5,test1_black xxmf pepper_4,test1_black xxmf pepper_3,test1_paprika_1,test1_paprika_2,test1_paprika_5,test1_paprika_4,test1_paprika_3
cinnamon,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,cinnamon,cinnamon,cinnamon,cinnamon,black xxmf pepper,black xxmf pepper,black xxmf pepper,cinnamon,black xxmf pepper
0.7472559,0.8377245,0.89327884,0.738418,0.85218793,0.93988866,0.5139198,0.72072285,0.83952504,0.74888676,0.86899406,0.94865674,0.77413815,0.60190845,0.879273
